"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L872","AgainstDisposed","Mpv.NET.Guard.AgainstDisposed(bool, string)void","L585","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Guard.cs","7","3","11","4","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L801","AgainstNull","Mpv.NET.Guard.AgainstNull(object)void","L585","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Guard.cs","13","3","17","4","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L588","AgainstNull","Mpv.NET.Guard.AgainstNull(object, string)void","L585","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Guard.cs","19","3","23","4","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L718","AgainstNullOrEmptyOrWhiteSpaceString","Mpv.NET.Guard.AgainstNullOrEmptyOrWhiteSpaceString(string, string)void","L585","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Guard.cs","25","3","31","4","0","0","0","0","0","0","0","0","0","0","0","6","7","2","0","0","0","1","3","2","0","0","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L251","get_EventClientMessage","Mpv.NET.API.MpvClientMessageEventArgs.EventClientMessage.getMpv.NET.API.MpvEventClientMessage","L247","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvClientMessageEventArgs.cs","7","53","7","57","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L257","set_EventClientMessage","Mpv.NET.API.MpvClientMessageEventArgs.EventClientMessage.setvoid","L247","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvClientMessageEventArgs.cs","7","58","7","70","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L262",".ctor","Mpv.NET.API.MpvClientMessageEventArgs.MpvClientMessageEventArgs(Mpv.NET.API.MpvEventClientMessage)void","L247","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvClientMessageEventArgs.cs","9","3","12","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L266","get_ReplyUserData","Mpv.NET.API.MpvCommandReplyEventArgs.ReplyUserData.getulong","L265","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvCommandReplyEventArgs.cs","7","32","7","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L272","set_ReplyUserData","Mpv.NET.API.MpvCommandReplyEventArgs.ReplyUserData.setvoid","L265","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvCommandReplyEventArgs.cs","7","37","7","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L274","get_Error","Mpv.NET.API.MpvCommandReplyEventArgs.Error.getMpv.NET.API.MpvError","L265","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvCommandReplyEventArgs.cs","9","27","9","31","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
