"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L549","Program","Program","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\Program.cs","19","1","483","2","0","6","0","0","0","0","0","0","0","0","11","0","0","7","0","0","345","434","0","2","0","0","0","0","2","11","0","5","0","11","0","0","0","7","0","175","0","5","0","0","6","18","0","11","373","465","0","3","0","3","15","0","8","0","15","185","0","8","0","73","0","0","9","0","0","2","0","1","2","0","2","0","4"
"L36274","configuration","configuration","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","19","1","2079","2","0.969325","4","0","0.0321464","1","1","0","1","0.0101892","0.0133673","1","0","1","0","21","21","1249","2061","0","162","0","0","0","0","162","325","0","325","162","325","0","0","0","0","0","403","0","325","162","316","10","325","0","1","1249","2061","0","162","0","162","325","0","325","162","325","403","0","325","162","325","0","0","33","0","0","2","9","0","1","1","1","0","21"
"L36420","configurationGPU","configurationGPU","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2082","1","2136","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","55","0","3","0","0","0","0","3","7","0","7","3","7","0","0","0","0","0","9","0","7","3","0","8","7","0","0","39","55","0","3","0","3","7","0","7","3","7","9","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L36454","configurationLogging","configurationLogging","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2139","1","2193","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","55","0","3","0","0","0","0","3","7","0","7","3","7","0","0","0","0","0","9","0","7","3","0","8","7","0","0","39","55","0","3","0","3","7","0","7","3","7","9","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L36467","configurationCloud","configurationCloud","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2196","1","2310","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79","115","0","7","0","0","0","0","7","15","0","15","7","15","0","0","0","0","0","21","0","15","7","0","16","15","0","0","79","115","0","7","0","7","15","0","15","7","15","21","0","15","7","15","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L4548","configurationServer","configurationServer","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2313","1","2449","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91","137","0","9","0","0","0","0","9","19","0","19","9","19","0","0","0","0","0","23","0","19","9","0","20","19","0","0","91","137","0","9","0","9","19","0","19","9","19","23","0","19","9","19","0","0","6","0","0","0","0","0","0","0","1","0","5"
"L34728","configurationGrid","configurationGrid","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2452","1","2652","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136","201","0","13","0","0","0","0","13","27","0","27","13","27","0","0","0","0","0","37","0","27","13","0","28","27","0","0","136","201","0","13","0","13","27","0","27","13","27","37","0","27","13","27","0","0","8","0","0","0","0","0","0","0","1","0","7"
"L34763","configurationGridGridItem","configurationGridGridItem","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2655","1","2700","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","46","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","6","0","6","3","0","7","6","0","0","32","46","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L35679","configurationGridGridItemItem","configurationGridGridItemItem","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2703","1","2735","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","23","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L36411","configurationJoystick","configurationJoystick","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","2738","1","3050","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211","313","0","20","0","0","0","0","20","41","0","41","20","41","0","0","0","0","0","60","0","41","20","0","42","41","0","0","211","313","0","20","0","20","41","0","41","20","41","60","0","41","20","41","0","0","11","0","0","0","0","0","0","0","1","0","10"
"L4561","configurationDirectory","configurationDirectory","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","3053","1","3182","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89","130","0","8","0","0","0","0","8","17","0","17","8","17","0","0","0","0","0","24","0","17","8","0","18","17","0","0","89","130","0","8","0","8","17","0","17","8","17","24","0","17","8","17","0","0","4","0","0","0","0","0","0","0","1","0","3"
"L32724","configurationGroup","configurationGroup","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\config.cs","3185","1","3230","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","46","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","6","0","6","3","0","7","6","0","0","31","46","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L29559","Files","Files","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\filelist.cs","19","1","39","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","21","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","17","21","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3381","FilesFile","FilesFile","L100","L103","D:\DataCollection\repos\ispysoftware_iSpy\XML\filelist.cs","42","1","204","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103","163","0","12","0","0","0","0","12","24","0","24","12","24","0","0","0","0","0","24","0","24","12","0","25","24","0","0","103","163","0","12","0","12","24","0","24","12","24","24","0","24","12","24","0","0","7","0","0","0","0","0","0","0","1","0","6"
