"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L25239","TestEngines","TestData.TestEngines","L25235","L25234","D:\DataCollection\repos\jaskie_PlayoutAutomation\Tests\TestData\TestData.cs","24","5","124","3","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","100","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","100","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25415","ChannelsViewModel","TVPlayClient.ChannelsViewModel","L25406","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ChannelsViewModel.cs","7","5","22","6","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","13","16","0","2","0","0","0","0","1","3","0","2","0","13","1","0","0","0","1","3","0","6","1","0","3","3","0","0","13","16","0","2","0","1","3","0","2","0","13","3","0","6","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L25462","ConfigurationView","TVPlayClient.ConfigurationView","L25406","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationView.xaml.cs","20","5","26","6","0.5","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","1","1","0","3","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L25465","ConfigurationViewModel","TVPlayClient.ConfigurationViewModel","L25406","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","11","5","85","6","0","3","0","0","0","0","0","0","0","0","0","1","0","3","0","0","62","75","0","6","0","0","0","0","5","13","0","7","1","23","1","0","0","3","1","23","0","11","2","0","8","16","0","0","62","75","0","6","0","5","13","0","7","1","23","23","0","11","2","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L25419","ChannelConfiguration","TVPlayClient.ChannelConfiguration","L25406","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","87","5","96","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","0","0","6","3","0","7","6","0","0","10","10","0","3","0","3","6","0","6","3","6","0","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L25401","MainWindow","TVPlayClient.MainWindow","L25406","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\MainWindow.xaml.cs","12","5","31","6","0.5","0","0","0","0","0","0","0","0","0","3","0","3","1","0","0","16","20","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","5","0","1","0","1","1","2","0","3","16","20","0","0","0","0","2","0","1","0","2","5","0","1","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L25562","MainWindowViewModel","TVPlayClient.MainWindowViewModel","L25406","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\MainWindowViewModel.cs","12","5","77","6","0","6","0","0","0","0","0","0","0","0","1","1","0","2","0","0","54","66","0","4","0","0","0","0","3","11","0","4","2","21","1","0","0","4","1","24","0","8","3","0","5","15","0","1","54","66","0","4","0","3","11","0","4","2","21","24","0","8","3","16","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L25427","ChannelWrapperViewModel","TVPlayClient.ChannelWrapperViewModel","L25406","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ChannelWrapperViewModel.cs","10","5","105","6","0","4","0","0","0","0","0","0","0","0","0","1","0","2","0","0","78","96","0","4","0","0","0","0","3","12","0","6","3","22","1","0","0","7","1","32","0","10","4","0","7","19","0","0","78","96","0","4","0","3","12","0","6","3","22","32","0","10","4","20","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L37303","EngineSerialization","SerializationTests.EngineSerialization","L37300","L37299","D:\DataCollection\repos\jaskie_PlayoutAutomation\Tests\SerializationTests\EngineSerialization.cs","21","5","107","6","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0","0","61","87","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","13","0","35","0","2","0","0","3","16","0","0","61","87","0","0","0","0","3","0","2","0","3","35","0","2","0","17","0","0","4","0","0","1","0","1","1","1","1","0","0"
"L40953","TvPlayService","TVPlaySvc.TvPlayService","L40949","L40948","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlaySvc\Program.cs","9","5","131","6","0","3","0","0","0","0","0","0","0","0","1","0","0","2","0","0","110","123","0","0","0","0","0","0","0","7","0","1","0","7","0","0","0","8","0","49","0","1","0","0","2","15","0","1","110","123","0","0","0","0","7","0","1","0","7","49","0","1","0","21","0","0","2","0","0","1","0","1","0","0","1","0","0"
