"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L25416",".ctor","TVPlayClient.ChannelsViewModel.ChannelsViewModel(System.Collections.Generic.IEnumerable<TVPlayClient.ChannelConfiguration>)void","L25415","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ChannelsViewModel.cs","9","9","13","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L25424","get_Channels","TVPlayClient.ChannelsViewModel.Channels.getSystem.Collections.Generic.List<TVPlayClient.ChannelWrapperViewModel>","L25415","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ChannelsViewModel.cs","15","57","15","61","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L25459","OnDispose","TVPlayClient.ChannelsViewModel.OnDispose()void","L25415","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ChannelsViewModel.cs","17","9","20","10","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25464",".ctor","TVPlayClient.ConfigurationView.ConfigurationView()void","L25462","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationView.xaml.cs","22","9","25","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25471",".ctor","TVPlayClient.ConfigurationViewModel.ConfigurationViewModel(string)void","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","15","9","30","10","0","0","0","0","0","0","0","0","0","0","0","16","16","2","0","0","0","6","10","1","0","0","16","16","10","0","0","0","0","0","0","0","0","0","0","0"
"L25488","_cancel","TVPlayClient.ConfigurationViewModel._cancel(object)void","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","32","9","35","10","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25490","_save","TVPlayClient.ConfigurationViewModel._save(object)void","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","37","9","48","10","0","0","0","0","0","0","0","0","0","0","0","12","12","4","0","0","0","0","9","1","0","0","12","12","9","0","0","0","0","0","0","0","0","0","0","0"
"L25495","_canDelete","TVPlayClient.ConfigurationViewModel._canDelete(object)bool","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","50","9","53","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25499","_delete","TVPlayClient.ConfigurationViewModel._delete(object)void","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","55","9","58","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25505","_add","TVPlayClient.ConfigurationViewModel._add(object)void","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","60","9","63","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25514","get_SelectedChannel","TVPlayClient.ConfigurationViewModel.SelectedChannel.getTVPlayClient.ChannelConfiguration","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","70","13","70","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L25517","set_SelectedChannel","TVPlayClient.ConfigurationViewModel.SelectedChannel.setvoid","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","71","13","71","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L25484","get_CommandSave","TVPlayClient.ConfigurationViewModel.CommandSave.getSystem.Windows.Input.ICommand","L25465","L25368","D:\DataCollection\repos\jaskie_PlayoutAutomation\TVPlayClient\ConfigurationViewModel.cs","74","39","74","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
