"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L18152","App","ImageViewer.App","L9223","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\App.xaml.cs","15","5","62","6","0.333333","1","0","0","0","0","0","0","0","0","3","0","3","1","0","0","31","43","0","1","0","0","0","0","1","5","0","2","1","5","0","0","0","0","0","8","0","2","1","1","2","5","0","3","37","48","0","1","0","1","5","0","2","1","5","8","0","2","1","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L18560","MainWindow","ImageViewer.MainWindow","L9223","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\MainWindow.xaml.cs","29","5","93","6","0.5","7","0","0","0","0","0","0","0","0","5","0","3","1","0","0","54","65","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","13","0","27","0","1","0","1","1","16","0","5","54","65","0","0","0","0","3","0","1","0","3","27","0","1","0","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L19457","TestData","FrameworkTests.TestData","L19071","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","13","5","168","6","0.0714286","7","0","0.486696","1","2","0","2","0.294872","0.3125","5","0","3","6","46","40","129","156","0","0","0","0","0","0","0","13","0","13","0","13","0","0","0","5","0","72","0","13","0","1","13","18","0","5","129","156","0","0","0","0","13","0","13","0","13","72","0","13","0","17","0","0","21","0","0","0","19","1","0","0","1","0","0"
"L20065","CubeSkippingShaderTest","ViewerTests.CubeSkippingShaderTest","L20060","L20059","D:\DataCollection\repos\kopaka1822_ImageViewer\ViewerTests\CubeSkippingShaderTest.cs","16","5","125","6","0","8","0","0","0","0","0","0","0","0","1","0","0","3","0","0","89","110","0","0","0","0","0","0","0","8","0","4","0","8","0","0","0","7","0","44","0","4","0","0","5","15","0","1","89","110","0","0","0","0","8","0","4","0","8","44","0","4","0","17","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L20084","EmptySpaceShaderTest","ViewerTests.EmptySpaceShaderTest","L20060","L20059","D:\DataCollection\repos\kopaka1822_ImageViewer\ViewerTests\EmptySpaceShaderTest.cs","12","5","131","6","0","8","0","0","0","0","0","0","0","0","2","0","1","1","0","0","90","120","0","2","0","0","0","0","2","7","0","3","0","7","0","0","0","7","0","38","0","3","0","0","4","14","0","2","90","120","0","2","0","2","7","0","3","0","7","38","0","3","0","17","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L20103","ViewShaderTest","ViewerTests.ViewShaderTest","L20060","L20059","D:\DataCollection\repos\kopaka1822_ImageViewer\ViewerTests\ViewShaderTest.cs","15","5","65","6","0","8","0","0","0","0","0","0","0","0","0","0","0","8","0","0","44","51","0","0","0","0","0","0","0","8","0","8","0","8","0","0","0","0","0","8","0","8","0","0","9","8","0","0","44","51","0","0","0","0","8","0","8","0","8","8","0","8","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L20133","ParameterReader","ImageConsole.ParameterReader","L20121","L20114","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageConsole\ParameterReader.cs","14","5","97","6","0.111111","1","0","0","0","0","0","0","0","0","3","0","3","1","0","0","67","84","0","0","0","0","0","0","0","9","0","8","0","9","0","0","0","0","0","36","0","8","0","1","8","9","0","3","67","84","0","0","0","0","9","0","8","0","9","36","0","8","0","25","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L20353","Program","ImageConsole.Program","L20121","L20114","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageConsole\Program.cs","21","5","217","6","0","33","0","0","0","0","0","0","0","0","8","0","0","2","0","0","162","197","0","3","0","0","0","0","3","14","0","8","3","14","0","0","0","36","0","91","0","8","3","0","9","50","0","8","162","197","0","3","0","3","14","0","8","3","14","91","0","8","3","35","0","0","4","0","0","0","0","1","0","2","1","0","0"
"L113","PipelineController","ImageFramework.Controller.PipelineController","L104","L103","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageFramework\Controller\PipelineController.cs","25","5","187","6","0.333333","9","0","0","0","0","0","0","0","0","9","0","3","1","0","0","142","163","0","0","0","0","0","0","0","9","0","2","0","9","0","0","0","22","0","56","0","2","0","1","2","31","0","9","142","163","0","0","0","0","9","0","2","0","9","56","0","2","0","40","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L340","ByteImageData","ImageFramework.DirectX.ByteImageData","L317","L103","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageFramework\DirectX\ByteImageData.cs","12","5","48","6","0","6","0","0","0","0","0","0","0","0","4","1","0","1","0","0","29","37","0","3","0","0","0","0","0","3","0","2","0","8","1","0","0","9","1","12","0","6","0","0","3","12","0","4","29","37","0","3","0","0","3","0","2","0","8","12","0","6","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
