"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L18362","get_StartupArgs","ImageViewer.App.StartupArgs.getstring[]","L18152","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\App.xaml.cs","28","46","28","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L18365","set_StartupArgs","ImageViewer.App.StartupArgs.setvoid","L18152","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\App.xaml.cs","28","51","28","63","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L18367","OnStartup","ImageViewer.App.OnStartup(System.Windows.StartupEventArgs)void","L18152","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\App.xaml.cs","30","9","37","10","0","0","0","0","0","0","0","0","0","0","0","6","8","1","0","0","0","2","3","1","0","0","6","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L18378","LoadIcons","ImageViewer.App.LoadIcons()void","L18152","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\App.xaml.cs","39","9","56","10","0","0","0","0","0","0","0","0","0","0","0","15","18","1","0","0","0","0","4","0","0","0","15","18","4","0","0","0","0","0","0","0","0","0","0","0"
"L18160","GetResourceImage","ImageViewer.App.GetResourceImage(ImageViewer.App.ResourceIcon)System.Windows.Media.Imaging.BitmapImage","L18152","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\App.xaml.cs","58","9","61","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L18564",".ctor","ImageViewer.MainWindow.MainWindow()void","L18560","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\MainWindow.xaml.cs","35","9","63","10","0","0","0","0","0","0","0","2","0","0","0","24","29","4","0","0","0","7","17","0","0","2","24","29","17","0","0","0","0","0","0","0","0","0","0","0"
"L18607","LoadStartupArgsAsync","ImageViewer.MainWindow.LoadStartupArgsAsync()void","L18560","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\MainWindow.xaml.cs","67","9","86","10","0","0","0","0","0","0","0","0","0","0","0","20","20","4","0","0","0","6","8","0","0","0","20","20","8","0","0","0","0","0","0","0","0","0","0","0"
"L18610","OnClosed","ImageViewer.MainWindow.OnClosed(System.EventArgs)void","L18560","L9176","D:\DataCollection\repos\kopaka1822_ImageViewer\ImageViewer\MainWindow.xaml.cs","88","9","92","10","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L19492","CompareWithSmall","FrameworkTests.TestData.CompareWithSmall(ImageFramework.ImageLoader.DllImageData, ImageFramework.Utility.Color.Channel)void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","27","9","33","10","0","0","0","0","0","0","0","0","0","0","0","6","7","1","0","0","0","3","3","2","0","0","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L19647","CompareWithSmall","FrameworkTests.TestData.CompareWithSmall(ImageFramework.Utility.Color[], ImageFramework.Utility.Color.Channel)void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","35","9","42","10","0","0","0","0","0","0","0","1","0","0","0","8","8","2","0","0","0","1","3","2","0","1","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L19664","GetSlice","FrameworkTests.TestData.GetSlice(ImageFramework.Utility.Color[], int, int)ImageFramework.Utility.Color[]","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","44","9","50","10","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","4","3","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L19460","TestCheckersLevel0","FrameworkTests.TestData.TestCheckersLevel0(ImageFramework.Utility.Color[])void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","52","9","74","10","1","1","1","0","1","1","1","0","0","23","20","20","23","1","0","0","0","1","17","1","0","0","20","23","17","0","0","7","0","0","0","7","0","0","0","0"
"L19666","TestCheckersLevel0Inverted","FrameworkTests.TestData.TestCheckersLevel0Inverted(ImageFramework.Utility.Color[])void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","76","9","98","10","1","1","1","0","1","1","1","0","0","23","20","20","23","1","0","0","0","1","17","1","0","0","20","23","17","0","0","7","0","0","0","7","0","0","0","0"
"L19472","TestCheckers3DLevel0","FrameworkTests.TestData.TestCheckers3DLevel0(ImageFramework.Utility.Color[])void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","100","9","107","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","3","5","1","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L19481","TestCheckersLevel1","FrameworkTests.TestData.TestCheckersLevel1(ImageFramework.Utility.Color[])void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","109","9","116","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","1","5","1","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L19668","TestCheckersLevel1Inverted","FrameworkTests.TestData.TestCheckersLevel1Inverted(ImageFramework.Utility.Color[])void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","118","9","125","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","1","5","1","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L19474","TestCheckers3DLevel1","FrameworkTests.TestData.TestCheckers3DLevel1(ImageFramework.Utility.Color[])void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","127","9","132","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","3","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L19476","TestCheckersLevel2","FrameworkTests.TestData.TestCheckersLevel2(ImageFramework.Utility.Color[])void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","134","9","138","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L19467","CompareColors","FrameworkTests.TestData.CompareColors(ImageFramework.Utility.Color[], ImageFramework.Utility.Color[], ImageFramework.Utility.Color.Channel, float)void","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","140","9","147","10","0","0","0","0","0","0","0","0","0","0","0","8","8","2","0","0","0","1","3","4","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L19651","GetColors","FrameworkTests.TestData.GetColors(string)ImageFramework.Utility.Color[]","L19457","L19063","D:\DataCollection\repos\kopaka1822_ImageViewer\FrameworkTests\TestData.cs","152","9","158","10","0","0","0","0","0","0","0","3","3","0","0","7","7","1","0","0","0","3","2","1","0","3","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
