"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L145","ABPCMSConsts","ABPCMS.ABPCMSConsts","L104","L103","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Core\ABPCMSConsts.cs","3","5","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L157","ABPCMSCoreModule","ABPCMS.ABPCMSCoreModule","L104","L103","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Core\ABPCMSCoreModule.cs","15","5","54","6","0","5","0","0","0","0","0","0","0","0","3","0","0","2","0","0","29","40","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","11","0","2","0","0","3","3","0","3","29","40","0","0","0","0","2","0","2","0","2","11","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L339","AppVersionHelper","ABPCMS.AppVersionHelper","L104","L103","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Core\AppVersionHelper.cs","10","5","26","6","1","0","0","0","0","0","0","0","0","0","7","0","7","0","0","0","6","17","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","2","0","1","0","7","6","17","0","1","0","1","1","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1310","ABPCMSApplicationModule","ABPCMS.ABPCMSApplicationModule","L104","L1244","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Application\ABPCMSApplicationModule.cs","23","5","91","6","0","0","0","0","0","0","0","0","0","0","10","0","0","3","0","0","29","40","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","4","0","3","0","0","4","3","0","10","29","69","0","0","0","0","3","0","3","0","3","4","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1480","ABPCMSAppServiceBase","ABPCMS.ABPCMSAppServiceBase","L104","L1244","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Application\ABPCMSAppServiceBase.cs","16","5","47","6","0.2","5","0","0","0","0","0","0","0","0","3","0","3","3","0","0","26","32","0","2","0","0","0","0","2","8","0","4","2","8","0","3","3","0","0","7","0","4","2","1","4","8","0","3","26","32","0","2","0","2","8","0","4","2","8","7","0","4","2","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L5585","ABPCMSDataModule","ABPCMS.ABPCMSDataModule","L104","L3501","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.EntityFramework\ABPCMSDataModule.cs","9","5","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","13","15","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","3","0","2","0","0","3","2","0","0","13","15","0","0","0","0","2","0","2","0","2","3","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L364","Article","ABPCMS.Articles.Article","L363","L103","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Core\Articles\Article.cs","10","5","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","0","0","2","1","0","3","2","0","0","5","5","0","1","0","1","2","0","2","1","2","0","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L291","ABPCMSAuthorizationProvider","ABPCMS.Authorization.ABPCMSAuthorizationProvider","L410","L103","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Core\Authorization\ABPCMSAuthorizationProvider.cs","7","5","24","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","18","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","4","0","1","0","0","2","2","0","0","13","18","0","0","0","0","2","0","1","0","2","4","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L458","LogInManager","ABPCMS.Authorization.LogInManager","L410","L103","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Core\Authorization\LoginManager.cs","15","5","38","6","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","24","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","0","2","2","0","0","24","24","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","2","0","0","1","0","0","0","0","1","0","1"
"L507","PermissionChecker","ABPCMS.Authorization.PermissionChecker","L410","L103","D:\DataCollection\repos\laochiangx_ABP-ASP.NET-Boilerplate-Project-CMS\src\ABPCMS.Core\Authorization\PermissionChecker.cs","7","5","14","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","0","2","2","0","0","7","8","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
