"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L378","CRC","SevenZip.CRC","L114","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CRC.cs","5","2","54","3","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","41","50","0","0","0","0","0","0","0","6","0","4","0","6","0","0","0","0","0","9","0","4","0","0","5","6","0","1","41","50","0","0","0","0","6","0","4","0","6","9","0","4","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L448","DataErrorException","SevenZip.DataErrorException","L114","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\ICoder.cs","10","2","13","3","0.5","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","4","4","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","1","1","2","0","3","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L462","InvalidParamException","SevenZip.InvalidParamException","L114","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\ICoder.cs","18","2","21","3","0.5","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","4","4","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","1","1","2","0","3","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1732","CDoubleStream","SevenZip.CDoubleStream","L114","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Compress\LzmaAlone\LzmaAlone.cs","7","2","58","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","48","52","0","5","0","0","0","0","5","11","0","11","1","11","0","0","0","0","0","21","0","11","1","0","12","11","0","0","48","52","0","5","0","5","11","0","11","1","11","21","0","11","1","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1773","LzmaAlone","SevenZip.LzmaAlone","L114","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Compress\LzmaAlone\LzmaAlone.cs","60","2","363","3","0","10","0","0","0","0","0","0","0","0","9","0","0","1","0","0","255","290","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","15","0","160","0","0","0","0","1","20","0","9","269","304","0","0","0","0","5","0","0","0","5","160","0","0","0","52","0","0","9","0","0","2","0","0","1","1","1","0","6"
"L1828","LzmaBench","SevenZip.LzmaBench","L114","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Compress\LzmaAlone\LzmaBench.cs","11","2","339","3","0.5","7","0","0","0","0","0","0","0","0","3","0","3","1","0","0","161","199","0","0","0","0","0","0","0","9","0","1","0","9","0","0","0","16","0","102","0","1","0","1","1","25","0","3","296","329","0","5","0","5","38","0","25","1","39","161","0","26","1","22","0","0","12","0","0","1","0","1","0","1","6","0","4"
"L136","SwitchForm","SevenZip.CommandLineParser.SwitchForm","L104","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CommandLineParser.cs","17","2","44","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","28","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","6","0","3","0","0","4","3","0","0","27","28","0","0","0","0","3","0","3","0","3","6","0","3","0","3","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L182","SwitchResult","SevenZip.CommandLineParser.SwitchResult","L104","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CommandLineParser.cs","46","2","56","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","11","11","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L192","Parser","SevenZip.CommandLineParser.Parser","L104","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CommandLineParser.cs","58","2","256","3","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0","0","190","199","0","1","0","0","0","0","1","7","0","4","0","7","0","0","0","1","0","110","0","4","0","0","5","8","0","0","190","199","0","1","0","1","7","0","4","0","7","110","0","4","0","49","0","0","4","0","0","2","0","1","1","0","1","0","1"
"L315","CommandForm","SevenZip.CommandLineParser.CommandForm","L104","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CommandLineParser.cs","258","2","267","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","2","0","1","0","0","2","1","0","0","10","10","0","0","0","0","1","0","1","0","1","2","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
