"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L407","Init","SevenZip.CRC.Init()void","L378","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CRC.cs","27","3","27","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L409","UpdateByte","SevenZip.CRC.UpdateByte(byte)void","L378","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CRC.cs","29","3","32","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L418","Update","SevenZip.CRC.Update(byte[], uint, uint)void","L378","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CRC.cs","34","3","38","4","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","2","3","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L427","GetDigest","SevenZip.CRC.GetDigest()uint","L378","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CRC.cs","40","3","40","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L428","CalculateDigest","SevenZip.CRC.CalculateDigest(byte[], uint, uint)uint","L378","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CRC.cs","42","3","48","4","0","0","0","0","0","0","0","1","0","0","0","6","7","1","0","0","0","2","3","3","0","1","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L437","VerifyDigest","SevenZip.CRC.VerifyDigest(uint, byte[], uint, uint)bool","L378","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\Common\CRC.cs","50","3","53","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","4","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L459",".ctor","SevenZip.DataErrorException.DataErrorException()void","L448","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\ICoder.cs","12","3","12","54","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L464",".ctor","SevenZip.InvalidParamException.InvalidParamException()void","L462","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\ICoder.cs","20","3","20","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L466","SetProgress","SevenZip.ICodeProgress.SetProgress(long, long)void","L465","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\ICoder.cs","34","3","34","49","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L473","Code","SevenZip.ICoder.Code(System.IO.Stream, System.IO.Stream, long, long, SevenZip.ICodeProgress)void","L472","L103","D:\DataCollection\repos\lllyasviel_YGOProUnity_V2\Assets\Plugins\7zip\ICoder.cs","60","3","61","57","0","","","0","","0","0","0","0","0","0","2","2","1","0","0","0","","0","5","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
