"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L145","Config","SimplexIde.Config","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\Config.cs","10","5","17","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L161","ControlInterface","SimplexIde.ControlInterface","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ControlInterface.cs","15","5","53","6","0","2","0","0","0","0","0","0","0","0","12","0","8","4","0","0","55","85","0","0","0","0","0","0","0","5","0","2","0","5","0","0","0","1","0","23","0","2","0","0","3","6","0","12","55","85","0","0","0","0","5","0","2","0","5","23","0","2","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L334","DrawTest","SimplexIde.DrawTest","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","46","5","2171","6","0","45","0","0","0","0","0","0","0","0","89","0","1","4","0","0","1657","2123","0","0","0","0","0","0","0","36","0","26","0","36","0","0","0","132","0","946","0","26","0","0","27","168","0","89","1657","2126","0","0","0","0","36","0","26","0","36","946","0","26","0","315","0","0","45","0","0","7","0","1","6","7","1","0","30"
"L448","Form1","SimplexIde.Form1","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\Form1.cs","29","5","524","6","0","16","0","0.331383","20","25","0","25","0","0","206","0","9","40","0","0","1022","1359","0","0","0","0","0","0","0","72","0","6","1","72","0","0","0","43","0","650","0","6","1","0","7","115","0","206","1022","1359","0","0","0","0","72","0","6","1","72","650","0","6","1","81","0","0","26","0","0","2","10","1","0","2","1","0","12"
"L2555","FormNew","SimplexIde.FormNew","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\FormNew.cs","17","5","166","6","0","0","0","0","0","0","0","0","0","0","43","0","8","8","0","0","218","301","0","0","0","0","0","0","0","17","0","1","0","17","0","0","0","0","0","141","0","1","0","0","2","17","0","43","218","301","0","0","0","0","17","0","1","0","17","141","0","1","0","23","0","0","4","0","0","1","0","1","0","0","1","0","2"
"L430","LayerTool","SimplexIde.LayerTool","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\LayerTool.cs","21","5","211","6","0","12","0","0","0","0","0","0","0","0","29","0","8","5","0","0","210","284","0","0","0","0","0","0","0","12","0","2","0","12","0","0","0","9","0","118","0","2","0","0","3","21","0","29","210","284","0","0","0","0","12","0","2","0","12","118","0","2","0","33","0","0","3","0","0","2","0","1","0","1","1","0","0"
"L3367","ObjectPropertiesEditor","SimplexIde.ObjectPropertiesEditor","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ObjectPropertiesEditor.cs","15","5","38","6","0","1","0","0","0","0","0","0","0","0","66","0","8","2","0","0","201","283","0","0","0","0","0","0","0","5","0","1","0","5","0","0","0","3","0","155","0","1","0","0","2","8","0","66","201","283","0","0","0","0","5","0","1","0","5","155","0","1","0","9","0","0","8","0","0","1","0","1","0","0","1","0","6"
"L3461","Program","SimplexIde.Program","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\Program.cs","11","5","25","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","15","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","5","0","0","0","0","1","2","0","0","12","15","0","0","0","0","1","0","0","0","1","5","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L486","RoomsControl","SimplexIde.RoomsControl","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\RoomsControl.cs","19","5","90","6","0","7","0","0","0","0","0","0","0","0","14","0","8","5","0","0","95","136","0","0","0","0","0","0","0","7","0","1","0","7","0","0","0","7","0","47","0","1","0","0","2","14","0","14","95","136","0","0","0","0","7","0","1","0","7","47","0","1","0","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3591","ScriptEditor","SimplexIde.ScriptEditor","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ScriptEditor.cs","16","5","205","6","0","1","0","0.305839","9","9","0","9","0","0","52","0","8","4","0","0","249","344","0","0","0","0","0","0","0","11","0","1","0","11","0","0","0","4","0","165","0","1","0","0","2","15","0","52","249","344","0","0","0","0","11","0","1","0","11","165","0","1","0","31","0","0","14","0","0","1","10","1","0","0","1","0","2"
"L2243","SimplexRender","SimplexIde.SimplexRender","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\SimplexRender.cs","15","5","78","6","0","1","0","0","0","0","0","0","0","0","14","0","8","3","0","0","94","132","0","0","0","0","0","0","0","11","0","1","0","11","0","0","0","8","0","43","0","1","0","0","2","19","0","14","94","132","0","0","0","0","11","0","1","0","11","43","0","1","0","16","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2229","Sounds_Manager","SimplexIde.Sounds_Manager","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\Sounds manager.cs","25","5","695","6","0","7","0","0.567254","13","16","0","14","0.388972","0.353057","87","0","8","6","261","179","713","951","0","0","0","0","0","0","0","20","0","3","0","20","0","0","0","8","0","512","0","3","0","0","4","28","0","87","713","951","0","0","0","0","20","0","3","0","20","512","0","3","0","66","0","0","47","0","0","4","28","1","2","0","1","0","15"
"L2225","Sprites_manager","SimplexIde.Sprites_manager","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\Sprites manager.cs","30","5","1452","6","0","19","0","0.377609","33","67","0","65","0.0316233","0.0451807","845","0","8","32","45","30","1684","2736","0","0","0","0","0","0","0","88","0","3","0","88","0","0","0","89","0","1143","0","3","0","0","4","177","0","845","1684","2736","0","0","0","0","88","0","3","0","88","1143","0","3","0","124","0","0","45","0","0","4","19","1","1","5","1","0","18"
"L3970","Subsprite","SimplexIde.Subsprite","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\Sprites manager.cs","1454","5","1470","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","17","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","4","0","1","0","0","2","1","0","0","16","17","0","0","0","0","1","0","1","0","1","4","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4934","SpritesEditorRenderer","SimplexIde.SpritesEditorRenderer","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\SpritesEditorRenderer.cs","27","5","838","6","0","13","0","0","0","0","0","0","0","0","19","0","0","4","0","0","636","812","0","0","0","0","0","0","0","25","0","15","0","25","0","0","0","38","0","367","0","15","0","0","16","63","0","19","637","812","0","0","0","0","25","0","15","0","25","367","0","15","0","140","0","0","20","0","0","3","0","1","3","4","1","0","11"
"L4395","SpritesRenderPreviewForm","SimplexIde.SpritesRenderPreviewForm","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\SpritesRenderPreviewForm.cs","15","5","49","6","0","2","0","0","0","0","0","0","0","0","17","0","8","7","0","0","61","97","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","1","0","27","0","1","0","0","2","9","0","17","61","97","0","0","0","0","8","0","1","0","8","27","0","1","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2233","TilesetControl","SimplexIde.TilesetControl","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\TilesetControl.cs","20","5","218","6","0","7","0","0.177344","5","5","0","5","0","0","48","0","8","8","0","0","268","369","0","0","0","0","0","0","0","19","0","4","0","19","0","0","0","4","0","164","0","4","0","0","5","23","0","48","268","369","0","0","0","0","19","0","4","0","19","164","0","4","0","30","0","0","15","0","0","1","10","1","0","0","1","0","3"
"L2237","ToolWindow","SimplexIde.ToolWindow","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ToolWindow.cs","23","5","408","6","0","13","0","0.229404","4","9","0","9","0","0","97","0","8","7","0","0","499","685","0","0","0","0","0","0","0","24","0","1","0","24","0","0","0","22","0","310","0","1","0","0","2","46","0","97","499","685","0","0","0","0","24","0","1","0","24","310","0","1","0","54","0","0","20","0","0","2","10","1","0","1","1","0","7"
"L8703","TimeLines","SimplexIde.TimeLines","L104","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexCore\SgmlTimelines.cs","6","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","0","0","4","2","0","5","4","0","0","5","5","0","2","0","2","4","0","4","2","4","0","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L5375","AnimationFrame","SimplexCore.AnimationFrame","L6210","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexCore\AnimationFrame.cs","8","5","13","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4890","AnimationLayer","SimplexCore.AnimationLayer","L6210","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexCore\AnimationFrame.cs","15","5","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","11","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","10","11","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
