"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L197",".ctor","SimplexIde.ControlInterface.ControlInterface()void","L161","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ControlInterface.cs","20","9","23","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L203","ControlInterface_Load","SimplexIde.ControlInterface.ControlInterface_Load(object, System.EventArgs)void","L161","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ControlInterface.cs","25","9","28","10","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L209","RegisterControls","SimplexIde.ControlInterface.RegisterControls(System.Windows.Forms.Control[])void","L161","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ControlInterface.cs","30","9","52","10","0","0","0","0","0","0","0","1","0","0","0","18","23","4","0","0","0","0","9","1","0","1","18","23","9","0","0","0","0","0","0","0","0","0","0","0"
"L256","Dispose","SimplexIde.ControlInterface.Dispose(bool)void","L161","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ControlInterface.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L201","InitializeComponent","SimplexIde.ControlInterface.InitializeComponent()void","L161","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\ControlInterface.Designer.cs","29","9","45","10","0","0","0","0","0","0","0","7","4","0","0","13","17","1","0","0","0","1","10","0","0","7","13","17","10","0","0","0","0","0","0","0","0","0","0","0"
"L575","Initialize","SimplexIde.DrawTest.Initialize()void","L334","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","134","9","180","10","0","0","0","0","0","0","0","2","1","0","0","36","47","2","0","0","0","3","28","0","0","2","36","47","28","0","0","0","0","0","0","0","0","0","0","0"
"L719","OnKeyPressed","SimplexIde.DrawTest.OnKeyPressed(object, SimplexCore.GlobalKeyboardHookEventArgs)void","L334","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","182","9","185","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L731","Rsize","SimplexIde.DrawTest.Rsize()void","L334","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","187","9","196","10","0","0","0","0","0","0","0","1","0","0","0","9","10","2","0","0","0","0","3","0","0","1","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L744","Update","SimplexIde.DrawTest.Update(Microsoft.Xna.Framework.GameTime)void","L334","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","198","9","277","10","0","0","0","0","0","0","0","1","0","0","0","62","80","10","0","0","0","12","42","1","0","1","62","80","42","0","0","1","0","0","1","0","0","1","0","0"
"L879","ToggleGrid","SimplexIde.DrawTest.ToggleGrid(bool)void","L334","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","279","9","282","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L882","ClickRelease","SimplexIde.DrawTest.ClickRelease(System.Windows.Forms.MouseButtons)void","L334","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","284","9","324","10","0","0","0","0","0","0","0","0","0","0","0","32","41","11","0","0","0","2","28","1","0","0","32","41","28","0","0","1","0","0","1","0","1","0","0","0"
"L950","InitializeNodes","SimplexIde.DrawTest.InitializeNodes(DarkUI.Collections.ObservableList<DarkUI.Controls.DarkTreeNode>)void","L334","L103","D:\DataCollection\repos\lofcz_SimplexRpgEngine\SimplexIde\DrawTest.cs","326","9","329","10","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","1","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
