"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L130","AppSetting","XWall.AppSetting","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\AppSetting.cs","16","5","126","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","110","111","0","0","0","0","0","0","0","6","0","5","0","6","0","0","0","2","0","51","0","5","0","0","6","8","0","0","110","111","0","0","0","0","6","0","5","0","6","51","0","5","0","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L370","WebClientWithCookies","XWall.WebClientWithCookies","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","17","5","28","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","12","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","0","0","0","0","1","1","0","0","11","12","0","0","0","0","1","0","0","0","1","5","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L406","GAESimulator","XWall.GAESimulator","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","30","5","372","6","0","8","0","0","0","0","0","0","0","0","0","0","0","8","0","0","263","109","0","0","0","0","0","0","0","8","0","6","0","8","0","0","0","0","0","42","0","6","0","0","7","8","0","0","268","343","0","0","0","0","14","0","12","0","14","42","0","12","0","10","0","0","4","0","0","0","0","1","0","0","2","0","1"
"L834","GoAgent","XWall.GoAgent","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GoAgent.cs","13","5","114","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","83","82","0","0","0","0","0","0","0","5","0","4","0","5","0","0","0","10","0","31","0","4","0","0","5","15","0","0","83","102","0","0","0","0","5","0","4","0","5","31","0","4","0","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L928","Profile","XWall.Profile","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\Profiles.cs","9","5","83","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","67","75","0","0","0","0","6","0","6","0","8","27","0","8","0","0","0","0","4","0","0","0","0","0","0","0","4","0","0"
"L996","CustomRulesEditor","XWall.CustomRulesEditor","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\CustomRulesEditor.xaml.cs","20","5","150","6","0.5","4","0","0","0","0","0","0","0","0","4","0","3","4","0","0","112","129","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","1","0","65","0","1","0","1","1","9","0","4","112","136","0","0","0","0","8","0","1","0","8","65","0","1","0","24","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L842","Operation","XWall.Operation","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\Operation.cs","17","5","527","6","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","125","196","0","0","0","0","0","0","0","11","0","5","0","11","0","0","0","6","0","66","0","5","0","0","6","17","0","57","348","511","0","2","0","2","22","0","12","0","22","185","0","12","0","26","0","0","13","0","0","3","0","3","1","1","8","0","0"
"L1064","Rules","XWall.Rules","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\Rules.cs","17","5","301","6","0.166667","5","0","0","0","0","0","0","0","0","16","0","4","3","0","0","150","100","0","1","0","0","0","0","1","6","0","5","1","6","0","0","0","6","0","29","0","5","1","1","5","12","0","17","214","285","0","1","0","1","11","0","9","1","11","54","0","9","1","16","0","0","6","0","0","0","0","2","0","0","3","0","1"
"L1935","MainWindow","XWall.MainWindow","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\NotificationController.cs","10","5","137","6","0.5","19","0","0","0","0","0","0","0","0","48","0","4","15","0","0","1089","845","0","0","0","0","0","0","0","42","0","1","0","42","0","0","0","48","0","334","0","1","0","1","1","90","0","55","1176","1450","0","1","0","1","46","0","5","0","46","369","0","5","0","112","0","0","19","0","0","10","0","1","1","3","2","0","12"
"L2277","IntegerToVisibilityConverter","XWall.IntegerToVisibilityConverter","L104","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\UIBinding.cs","449","5","457","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","8","9","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","8","9","0","0","0","0","2","0","2","0","2","2","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
