"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L145","SettingUpgrade","XWall.AppSetting.SettingUpgrade()void","L130","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\AppSetting.cs","21","9","36","10","0","0","0","0","0","0","0","0","0","0","0","16","16","2","0","0","0","1","12","0","0","0","16","16","12","0","0","0","0","0","0","0","0","0","0","0"
"L237","ReadSetting","XWall.AppSetting.ReadSetting(string)string","L130","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\AppSetting.cs","37","9","57","10","0","0","0","0","0","0","0","0","0","0","0","20","21","3","0","0","0","1","7","1","0","0","20","21","7","0","0","0","0","0","0","0","0","0","0","0"
"L239","IsFileExist","XWall.AppSetting.IsFileExist()bool","L130","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\AppSetting.cs","58","9","68","11","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","0","3","0","0","0","11","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L268","WriteSetting","XWall.AppSetting.WriteSetting(string, string)bool","L130","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\AppSetting.cs","69","9","91","11","0","0","0","0","0","0","0","0","0","0","0","23","23","3","0","0","0","1","10","2","0","0","23","23","10","0","0","0","0","0","0","0","0","0","0","0"
"L280","MoveOldConfig","XWall.AppSetting.MoveOldConfig()void","L130","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\AppSetting.cs","92","10","121","11","0","0","0","0","0","0","0","0","0","0","0","30","30","4","0","0","0","2","18","0","0","0","30","30","18","0","0","0","0","0","0","0","0","0","0","0"
"L309","SortAsFolderModifyTime","XWall.AppSetting.SortAsFolderModifyTime(ref System.IO.DirectoryInfo[])void","L130","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\AppSetting.cs","122","10","125","11","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L384","GetWebRequest","XWall.WebClientWithCookies.GetWebRequest(System.Uri)System.Net.WebRequest","L370","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","20","9","27","10","0","0","0","0","0","0","0","0","0","0","0","8","8","2","0","0","0","0","5","1","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L411","initQuery","XWall.GAESimulator.initQuery(string)System.Collections.Specialized.NameValueCollection","L406","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","37","9","48","10","0","0","0","0","0","0","0","0","0","0","0","9","12","2","0","0","0","0","6","1","0","0","9","12","6","0","0","0","0","0","0","0","0","0","0","0"
"L472","Login","XWall.GAESimulator.Login(string, string, XWall.GAESimulator.LoginCallback)void","L406","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","56","9","150","10","0","0","0","0","0","0","0","0","0","0","0","79","11","1","0","0","0","0","6","3","0","0","80","95","6","0","0","1","0","0","0","0","0","0","0","1"
"L606","CreateApps","XWall.GAESimulator.CreateApps(string, int, XWall.GAESimulator.CreateAppsCallback)void","L406","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","158","9","244","10","0","0","0","0","0","0","0","0","0","0","0","59","16","1","0","0","0","0","8","3","0","0","60","87","8","0","0","0","0","0","0","0","0","0","0","0"
"L661","SendVerifier","XWall.GAESimulator.SendVerifier(string, string, string, XWall.GAESimulator.SendVerifierCallback)void","L406","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","247","9","269","10","0","0","0","0","0","0","0","0","0","0","0","20","14","1","0","0","0","0","9","4","0","0","21","23","9","0","0","0","0","0","0","0","0","0","0","0"
"L676","Verify","XWall.GAESimulator.Verify(string, XWall.GAESimulator.VerifyCallback)void","L406","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","272","9","284","10","0","0","0","0","0","0","0","0","0","0","0","10","10","1","0","0","0","0","5","2","0","0","11","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L642","CheckAppIdAvailability","XWall.GAESimulator.CheckAppIdAvailability(string, XWall.GAESimulator.CheckAppIdCallback)void","L406","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","287","9","299","10","0","0","0","0","0","0","0","0","0","0","0","13","7","1","0","0","0","0","4","2","0","0","14","13","4","0","0","0","0","0","0","0","0","0","0","0"
"L702","Deploy","XWall.GAESimulator.Deploy(string, string, string[], XWall.GAESimulator.DeployChallback)void","L406","L103","D:\DataCollection\repos\lunadream_XWall\src\Classes\GAESimulator.cs","302","9","363","10","0","0","0","0","0","0","0","0","0","0","0","51","4","1","0","0","0","0","1","4","0","0","52","62","1","0","0","0","0","0","0","0","0","0","0","0"
