"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L6775","Account","Example.Account","L6769","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","6","5","18","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","13","0","1","0","0","0","0","1","3","0","3","1","3","0","0","0","0","0","4","0","3","1","0","4","3","0","0","11","13","0","1","0","1","3","0","3","1","3","4","0","3","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6788","TestAssemblyContext","Example.TestAssemblyContext","L6769","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","20","5","35","6","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","13","16","0","0","0","0","0","0","0","2","0","2","0","4","1","0","0","0","1","2","0","4","0","0","3","2","0","0","13","16","0","0","0","0","2","0","2","0","4","2","0","4","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L6795","when_transferring_between_two_accounts","Example.when_transferring_between_two_accounts","L6769","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","37","5","54","6","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","14","18","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","14","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6803","when_transferring_an_amount_larger_than_the_balance_of_the_from_account","Example.when_transferring_an_amount_larger_than_the_balance_of_the_from_account","L6769","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","56","5","73","6","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","14","18","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","14","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6796","AccountSpecs","Example.AccountSpecs","L6769","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","75","5","80","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L6810","when_a_customer_first_views_the_account_summary_page","Example.when_a_customer_first_views_the_account_summary_page","L6769","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","82","5","90","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L117","CanBeNullAttribute","JetBrains.Annotations.CanBeNullAttribute","L105","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","49","5","55","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L121","NotNullAttribute","JetBrains.Annotations.NotNullAttribute","L105","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","65","5","71","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L122","ItemNotNullAttribute","JetBrains.Annotations.ItemNotNullAttribute","L105","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","87","5","92","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L123","ItemCanBeNullAttribute","JetBrains.Annotations.ItemCanBeNullAttribute","L105","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","109","5","114","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
