"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L6776","get_Balance","Example.Account.Balance.getdecimal","L6775","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","8","34","8","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6779","set_Balance","Example.Account.Balance.setvoid","L6775","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","8","39","8","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6781","Transfer","Example.Account.Transfer(decimal, Example.Account)void","L6775","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","10","9","17","10","0","0","0","0","0","0","0","0","0","0","0","7","8","2","0","0","0","2","4","2","0","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L6791","OnAssemblyStart","Example.TestAssemblyContext.OnAssemblyStart()void","L6788","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","26","9","29","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L6793","OnAssemblyComplete","Example.TestAssemblyContext.OnAssemblyComplete()void","L6788","L6768","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Fixtures\ExampleFixture.cs","31","9","34","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L125",".ctor","JetBrains.Annotations.StringFormatMethodAttribute.StringFormatMethodAttribute(string)void","L124","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","137","9","140","10","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","1","1","1","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L134","get_FormatParameterName","JetBrains.Annotations.StringFormatMethodAttribute.FormatParameterName.getstring","L124","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","143","45","143","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L140",".ctor","JetBrains.Annotations.ValueProviderAttribute.ValueProviderAttribute(string)void","L139","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","194","9","197","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L142","get_Name","JetBrains.Annotations.ValueProviderAttribute.Name.getstring","L139","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","200","30","200","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","get_From","JetBrains.Annotations.ValueRangeAttribute.From.getobject","L146","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","221","30","221","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","get_To","JetBrains.Annotations.ValueRangeAttribute.To.getobject","L146","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","223","28","223","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L156",".ctor","JetBrains.Annotations.ValueRangeAttribute.ValueRangeAttribute(long, long)void","L146","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","225","9","229","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L164",".ctor","JetBrains.Annotations.ValueRangeAttribute.ValueRangeAttribute(ulong, ulong)void","L146","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","231","9","235","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L170",".ctor","JetBrains.Annotations.ValueRangeAttribute.ValueRangeAttribute(long)void","L146","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","237","9","240","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L172",".ctor","JetBrains.Annotations.ValueRangeAttribute.ValueRangeAttribute(ulong)void","L146","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","242","9","245","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L177",".ctor","JetBrains.Annotations.NotifyPropertyChangedInvocatorAttribute.NotifyPropertyChangedInvocatorAttribute()void","L176","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","322","9","324","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L178",".ctor","JetBrains.Annotations.NotifyPropertyChangedInvocatorAttribute.NotifyPropertyChangedInvocatorAttribute(string)void","L176","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","326","9","329","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L180","get_ParameterName","JetBrains.Annotations.NotifyPropertyChangedInvocatorAttribute.ParameterName.getstring","L176","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","332","39","332","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L185",".ctor","JetBrains.Annotations.ContractAnnotationAttribute.ContractAnnotationAttribute(string)void","L184","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","382","9","385","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","0","1","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L187",".ctor","JetBrains.Annotations.ContractAnnotationAttribute.ContractAnnotationAttribute(string, bool)void","L184","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","387","9","391","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L194","get_Contract","JetBrains.Annotations.ContractAnnotationAttribute.Contract.getstring","L184","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","394","34","394","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L196","get_ForceFullStates","JetBrains.Annotations.ContractAnnotationAttribute.ForceFullStates.getbool","L184","L104","D:\DataCollection\repos\machine_machine.specifications\src\Machine.Specifications.Core\Annotations\ReSharperAttributes.cs","396","39","396","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
