"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L116","Geohash","GeoTimeZone.Geohash","L104","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\Geohash.cs","8","1","78","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","56","71","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","25","0","1","0","0","2","1","0","0","56","71","0","0","0","0","1","0","1","0","1","25","0","1","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L177","TimezoneFileReader","GeoTimeZone.TimezoneFileReader","L104","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimezoneFileReader.cs","5","1","60","2","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","32","56","0","0","0","0","0","0","0","6","0","2","0","6","0","0","0","0","0","12","0","2","0","0","3","6","0","0","32","56","0","0","0","0","6","0","2","0","6","12","0","2","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L246","TimeZoneLookup","GeoTimeZone.TimeZoneLookup","L104","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimeZoneLookup.cs","8","1","222","2","1","3","0","0","0","0","0","0","0","0","9","0","9","3","0","0","161","215","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","5","0","83","0","1","0","2","0","13","0","9","161","215","0","0","0","0","8","0","1","0","8","83","0","1","0","34","0","0","2","0","0","1","0","1","1","0","0","0","0"
"L249","TimeZoneResult","GeoTimeZone.TimeZoneResult","L104","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimeZoneResult.cs","8","1","32","2","1","0","0","0","0","0","0","0","0","0","10","0","10","0","0","0","15","25","0","2","0","0","0","0","2","4","0","2","0","4","0","0","0","0","0","4","0","2","0","3","0","4","0","10","15","25","0","2","0","2","4","0","2","0","4","4","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L342","NauticalTimeZoneLookupTests","GeoTimeZone.Tests.NauticalTimeZoneLookupTests","L337","L336","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\test\GeoTimeZone.Tests\NauticalTimeZoneLookupTests.cs","3","1","32","2","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","27","30","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","1","0","8","0","4","0","0","5","5","0","0","27","30","0","0","0","0","4","0","4","0","4","8","0","4","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L347","TimeZoneLookupTests","GeoTimeZone.Tests.TimeZoneLookupTests","L337","L336","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\test\GeoTimeZone.Tests\TimeZoneLookupTests.cs","3","1","95","2","0","1","0","0","0","0","0","0","0","0","0","0","0","13","0","0","81","93","0","0","0","0","0","0","0","13","0","13","0","13","0","0","0","1","0","26","0","13","0","0","14","14","0","0","81","93","0","0","0","0","13","0","13","0","13","26","0","13","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L373","ConsoleOutput","GeoTimeZone.DataBuilder.ConsoleOutput","L362","L361","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone.DataBuilder\ConsoleOutput.cs","5","1","34","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","26","30","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","10","0","3","0","0","4","4","0","0","26","30","0","0","0","0","4","0","3","0","4","10","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L385","GeohashTree","GeoTimeZone.DataBuilder.GeohashTree","L362","L361","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone.DataBuilder\GeohashTree.cs","6","1","131","2","0","1","0","0","0","0","0","0","0","0","1","0","0","6","0","0","107","126","0","0","0","0","0","0","0","7","0","6","0","7","0","0","0","3","0","45","0","6","0","0","7","10","0","1","107","126","0","0","0","0","7","0","6","0","7","45","0","6","0","22","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L387","GeohashTreeNode","GeoTimeZone.DataBuilder.GeohashTreeNode","L362","L361","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone.DataBuilder\GeohashTreeNode.cs","5","1","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","14","19","0","2","0","0","0","0","2","5","0","5","0","5","0","0","0","0","0","2","0","5","0","0","6","5","0","0","14","19","0","2","0","2","5","0","5","0","5","2","0","5","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L476","Program","GeoTimeZone.DataBuilder.Program","L362","L361","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone.DataBuilder\Program.cs","7","1","66","2","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","49","60","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","3","0","31","0","0","0","0","1","6","0","0","49","60","0","0","0","0","3","0","0","0","3","31","0","0","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
