"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L131","Encode","GeoTimeZone.Geohash.Encode(double, double, Span<byte>)void","L116","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\Geohash.cs","16","5","77","6","0","0","0","0","0","0","0","0","0","0","0","50","62","6","0","0","0","0","25","3","0","0","50","62","25","0","0","0","0","0","0","0","0","0","0","0"
"L192","LoadData","GeoTimeZone.TimezoneFileReader.LoadData()MemoryStream","L177","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimezoneFileReader.cs","13","5","23","6","0","0","0","0","0","0","0","0","0","0","0","10","11","1","0","0","0","0","7","0","0","0","10","11","7","0","0","0","0","0","0","0","0","0","0","0"
"L217","GetCount","GeoTimeZone.TimezoneFileReader.GetCount()int","L177","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimezoneFileReader.cs","25","5","25","99","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","GetGeohash","GeoTimeZone.TimezoneFileReader.GetGeohash(int)ReadOnlySpan<byte>","L177","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimezoneFileReader.cs","30","5","30","98","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L224","GetLineNumber","GeoTimeZone.TimezoneFileReader.GetLineNumber(int)int","L177","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimezoneFileReader.cs","35","5","39","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L235","GetDigit","GeoTimeZone.TimezoneFileReader.GetDigit(byte)int","L177","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimezoneFileReader.cs","41","5","41","52","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","GetLine","GeoTimeZone.TimezoneFileReader.GetLine(int, int, int)ReadOnlySpan<byte>","L177","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimezoneFileReader.cs","44","5","59","6","0","0","0","0","0","0","0","0","0","0","0","6","16","1","0","0","0","0","3","3","0","0","6","16","3","0","0","0","0","0","0","0","0","0","0","0"
"L248","GetTimeZone","GeoTimeZone.TimeZoneLookup.GetTimeZone(double, double)GeoTimeZone.TimeZoneResult","L246","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimeZoneLookup.cs","16","5","34","6","0","0","0","0","0","0","0","6","6","0","0","13","19","2","0","0","0","6","8","2","0","6","13","19","8","0","0","0","0","0","0","0","0","0","0","0"
"L273","GetTzDataLineNumbers","GeoTimeZone.TimeZoneLookup.GetTzDataLineNumbers(ReadOnlySpan<byte>)int[]","L246","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimeZoneLookup.cs","37","5","84","6","0","0","0","0","0","0","0","0","0","0","0","40","48","7","0","0","0","4","19","1","0","0","40","48","19","0","0","0","0","0","0","0","0","0","0","0"
"L282","GeohashEquals","GeoTimeZone.TimeZoneLookup.GeohashEquals(ReadOnlySpan<byte>, ReadOnlySpan<byte>)bool","L246","L103","D:\DataCollection\repos\mattjohnsonpint_GeoTimeZone\src\GeoTimeZone\TimeZoneLookup.cs","87","5","99","6","0","0","0","0","0","0","0","0","0","0","0","9","13","2","0","0","0","0","4","2","0","0","9","13","4","0","0","0","0","0","0","0","0","0","0","0"
