"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L2497","ExpressionBenchmarks","OAT.Benchmarks.ExpressionBenchmarks","L2491","L2490","D:\DataCollection\repos\microsoft_OAT\OAT.Benchmarks\ExpressionBenchmarks.cs","8","5","200","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","177","193","0","1","0","0","0","0","1","7","0","7","0","7","0","0","0","0","0","6","0","7","0","0","8","7","0","0","177","193","0","1","0","1","7","0","7","0","7","6","0","7","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2533","OperationsBenchmarks","OAT.Benchmarks.OperationsBenchmarks","L2491","L2490","D:\DataCollection\repos\microsoft_OAT\OAT.Benchmarks\OperationsBenchmarks.cs","7","5","41","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","35","0","1","0","0","0","0","1","4","0","4","0","4","0","0","0","0","0","3","0","4","0","0","5","4","0","0","31","35","0","1","0","1","4","0","4","0","4","3","0","4","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2543","Program","OAT.Benchmarks.Program","L2491","L2490","D:\DataCollection\repos\microsoft_OAT\OAT.Benchmarks\Program.cs","5","5","11","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","7","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","7","7","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L150","Analyzer","Microsoft.CST.OAT.Analyzer","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Analyzer.cs","20","5","940","6","1","30","0","0","0","0","0","0","0","0","160","0","115","10","0","0","679","886","0","4","0","0","0","0","4","26","0","22","2","26","0","0","0","35","0","299","0","22","2","23","0","61","0","175","679","921","0","4","0","4","26","0","22","2","26","299","0","22","2","185","0","0","18","0","0","7","0","1","6","2","0","0","9"
"L160","AnalyzerOptions","Microsoft.CST.OAT.AnalyzerOptions","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\AnalyzerOptions.cs","7","5","28","6","1","0","0","0","0","0","0","0","0","0","14","0","14","0","0","0","10","22","0","2","0","0","0","0","2","3","0","3","0","3","0","0","0","0","0","2","0","3","0","4","0","3","0","14","10","22","0","2","0","2","3","0","3","0","3","2","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L352","Clause","Microsoft.CST.OAT.Clause","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Clause.cs","9","5","75","6","1","2","0","0","0","0","0","0","0","0","42","0","42","0","0","0","19","67","0","10","0","0","0","0","10","21","0","21","10","21","0","0","0","0","0","2","0","21","10","22","0","21","0","42","19","67","0","10","0","10","21","0","21","10","21","2","0","21","10","21","0","0","6","0","0","0","0","0","0","0","0","0","6"
"L434","ClauseCapture","Microsoft.CST.OAT.ClauseCapture","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\ClauseCapture.cs","6","5","35","6","1","1","0","0","0","0","0","0","0","0","18","0","18","0","0","0","12","30","0","3","0","0","0","0","3","4","0","4","0","4","0","1","1","0","0","3","0","4","0","5","0","4","0","18","12","30","0","3","0","3","4","0","4","0","4","3","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L879","OperationArguments","Microsoft.CST.OAT.OperationArguments","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\OperationArguments.cs","8","5","44","6","1","1","0","0","0","0","0","0","0","0","22","0","22","0","0","0","14","37","0","4","0","0","0","0","4","5","0","5","0","5","0","0","0","0","0","4","0","5","0","6","0","5","0","22","14","37","0","4","0","4","5","0","5","0","5","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L577","OperationResult","Microsoft.CST.OAT.OperationResult","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\OperationResult.cs","6","5","28","6","1","1","0","0","0","0","0","0","0","0","14","0","14","0","0","0","10","23","0","2","0","0","0","0","2","3","0","3","0","3","0","0","0","0","0","2","0","3","0","4","0","3","0","14","10","23","0","2","0","2","3","0","3","0","3","2","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1391","Resources","Microsoft.CST.OAT.Resources","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Resources.Designer.cs","22","5","404","6","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","141","383","0","40","0","0","0","0","40","42","0","0","1","42","0","0","0","0","0","44","0","0","1","0","1","42","0","114","141","383","0","40","0","40","42","0","0","1","42","44","0","0","1","43","0","0","7","0","0","0","0","0","0","0","1","0","6"
"L333","Rule","Microsoft.CST.OAT.Rule","L104","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Rule.cs","10","5","48","6","1","0","0","0","0","0","0","0","0","0","30","0","30","0","0","0","11","39","0","7","0","0","0","0","7","15","0","15","7","15","0","1","1","0","0","0","0","15","7","16","0","15","0","30","11","39","0","7","0","7","15","0","15","7","15","0","0","15","7","15","0","0","2","0","0","0","0","0","0","0","0","0","2"
