"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1310",".ctor","System.Index.Index(int, bool)void","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","27","9","39","10","0","0","0","0","0","0","0","0","0","0","0","12","13","3","0","0","0","0","5","2","0","0","12","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L1314",".ctor","System.Index.Index(int)void","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","42","9","45","10","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","1","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1317","FromStart","System.Index.FromStart(int)System.Index","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","55","9","64","10","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","1","3","1","0","0","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L1322","FromEnd","System.Index.FromEnd(int)System.Index","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","68","9","77","10","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","0","3","1","0","0","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L1324","get_Value","System.Index.Value.getint","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","82","13","92","14","0","0","0","0","0","0","0","1","1","0","0","11","11","2","0","0","0","0","3","0","0","1","11","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L1326","GetOffset","System.Index.GetOffset(int)int","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","106","9","119","10","0","0","0","0","0","0","0","3","0","0","0","10","14","2","0","0","0","0","4","1","0","3","10","14","4","0","0","0","0","0","0","0","0","0","0","0"
"L1328","Equals","System.Index.Equals(object?)bool","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","123","9","123","105","0","0","0","0","0","0","0","2","2","0","0","1","1","2","0","0","0","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1331","Equals","System.Index.Equals(System.Index)bool","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","127","9","127","67","0","0","0","0","0","0","0","2","2","0","0","1","1","1","0","0","0","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1334","GetHashCode","System.Index.GetHashCode()int","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","130","9","130","53","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L568","op_Implicit","System.Index.implicit operator System.Index(int)System.Index","L1304","L103","D:\DataCollection\repos\microsoft_OAT\OAT\Range.cs","133","9","133","78","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
