"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L8768","AccessTokenWizard","Office365APIEditor.AccessTokenWizard","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","19","5","1137","6","0","17","0","0.774226","135","380","0","353","0.247542","0.276978","477","0","8","7","277","231","2229","2918","0","0","0","0","0","0","0","30","0","4","0","30","0","0","0","68","0","1603","0","4","0","0","5","98","0","477","2231","2935","0","0","0","0","30","0","4","0","30","1603","0","4","0","137","0","0","111","0","0","3","83","1","2","5","1","0","19"
"L10247","AcquireViewerTokenForm","Office365APIEditor.AcquireViewerTokenForm","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AcquireViewerTokenForm.cs","11","5","133","6","0","3","0","0.324879","6","6","0","6","0","0","35","0","8","4","0","0","207","276","0","0","0","0","0","0","0","11","0","2","0","11","0","0","0","5","0","137","0","2","0","0","3","16","0","35","207","276","0","0","0","0","11","0","2","0","11","137","0","2","0","25","0","0","14","0","0","1","10","1","0","0","1","0","2"
"L10313","AttachmentViewerForm","Office365APIEditor.AttachmentViewerForm","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AttachmentViewerForm.cs","15","5","501","6","0","8","0","0.25032","7","17","0","8","0.143737","0.145833","72","0","8","2","70","56","523","684","0","0","0","0","0","0","0","14","0","1","0","14","0","0","0","6","0","282","0","1","0","0","2","20","0","72","523","686","0","0","0","0","14","0","1","0","14","282","0","1","0","76","0","0","43","0","0","3","31","1","2","0","1","0","8"
"L8785","ClientInformation","Office365APIEditor.ClientInformation","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\ClientInformation.cs","6","5","47","6","0","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","34","42","0","9","0","0","0","0","9","19","0","11","8","19","0","0","0","1","0","12","0","11","8","0","12","20","0","1","34","42","0","9","0","9","19","0","11","8","19","12","0","11","8","21","0","0","5","0","0","1","0","0","0","0","1","0","4"
"L11102","DetailedTokenViewer","Office365APIEditor.DetailedTokenViewer","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\DetailedTokenViewer.cs","10","5","178","6","0","2","0","0.252805","3","4","0","4","0","0","66","0","8","5","0","0","366","462","0","0","0","0","0","0","0","11","0","1","0","11","0","0","0","2","0","267","0","1","0","0","2","13","0","66","366","462","0","0","0","0","11","0","1","0","11","267","0","1","0","35","0","0","20","0","0","2","10","1","1","0","1","0","7"
"L11567","FolderViewerForm","Office365APIEditor.FolderViewerForm","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\FolderViewerForm.cs","16","5","773","6","0","11","0","0.186904","7","13","0","7","0.060686","0.0571429","101","0","8","4","46","34","757","952","0","0","0","0","0","0","0","29","0","1","0","29","0","0","0","16","0","370","0","1","0","0","2","45","0","101","757","982","0","0","0","0","29","0","1","0","29","370","0","1","0","145","0","0","43","0","0","6","24","1","6","2","1","0","9"
"L127","GetCodeForm","Office365APIEditor.GetCodeForm","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\GetCodeForm.cs","11","5","249","6","0","1","0","0","0","0","0","0","0","0","29","0","8","2","0","0","216","302","0","0","0","0","0","0","0","11","0","3","0","11","0","0","0","1","0","96","0","3","0","0","4","12","0","29","216","302","0","0","0","0","11","0","3","0","11","96","0","3","0","31","0","0","5","0","0","1","0","1","1","0","1","0","2"
"L11804","MailboxViewerForm","Office365APIEditor.MailboxViewerForm","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\MailboxViewerForm.cs","15","5","846","6","0","20","0","0.221244","4","11","0","6","0.0456731","0.0394537","143","0","8","8","38","26","886","1106","0","0","0","0","0","0","0","38","0","1","0","38","0","0","0","34","0","424","0","1","0","0","2","72","0","143","886","1153","0","0","0","0","38","0","1","0","38","424","0","1","0","118","0","0","33","0","0","5","17","1","2","2","1","0","10"
"L12079","MyApplicationContext","Office365APIEditor.MyApplicationContext","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\Program.cs","12","5","497","6","0","8","0","0.196266","1","6","0","2","0.144033","0.166189","32","0","0","3","70","58","350","486","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","71","0","142","0","1","0","0","2","77","0","32","350","486","0","0","0","0","6","0","1","0","6","142","0","1","0","38","0","0","27","0","0","3","11","1","2","4","1","0","8"
"L10428","PropertyViewerForm","Office365APIEditor.PropertyViewerForm","L116","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\PropertyViewerForm.cs","10","5","45","6","0","2","0","0.487805","8","8","0","8","0","0","33","0","8","3","0","0","134","185","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","3","0","94","0","1","0","0","2","9","0","33","134","185","0","0","0","0","6","0","1","0","6","94","0","1","0","9","0","0","14","0","0","1","10","1","0","0","1","0","2"
