"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L8804",".ctor","Office365APIEditor.AccessTokenWizard.AccessTokenWizard()void","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","47","9","50","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L8807","AccessTokenWizard_Load","Office365APIEditor.AccessTokenWizard.AccessTokenWizard_Load(object, EventArgs)void","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","52","9","122","10","0","0","0","0","0","0","0","4","0","0","0","54","71","2","0","0","0","3","32","2","0","4","54","71","32","0","0","0","0","0","0","0","0","0","0","0"
"L8887","ShowDialog","Office365APIEditor.AccessTokenWizard.ShowDialog(out Office365APIEditor.ClientInformation)DialogResult","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","124","9","135","10","0","0","0","0","0","0","0","0","0","0","0","10","12","2","0","0","0","1","5","1","0","0","10","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L8873","ShowPage","Office365APIEditor.AccessTokenWizard.ShowPage(Office365APIEditor.AccessTokenWizard.PageIndex)void","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","137","9","168","10","0","0","0","0","0","0","0","0","0","0","0","28","32","5","0","0","0","0","16","1","0","0","28","32","16","0","0","0","0","0","0","0","0","0","0","0"
"L8901","button_Back_Click","Office365APIEditor.AccessTokenWizard.button_Back_Click(object, EventArgs)void","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","170","9","203","10","0","0","0","0","0","0","0","0","0","0","0","29","34","5","0","0","0","0","17","2","0","0","29","34","17","0","0","0","0","0","0","0","0","0","0","0"
"L8904","button_Next_Click","Office365APIEditor.AccessTokenWizard.button_Next_Click(object, EventArgs)void","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","205","9","675","10","0.0640704","1","8","0","2","0.104034","0.0960961","54","0","49","32","334","471","61","0","0","0","47","169","2","0","54","334","471","169","0","0","12","0","0","1","4","1","1","0","6"
"L9063","button_Cancel_Click","Office365APIEditor.AccessTokenWizard.button_Cancel_Click(object, EventArgs)void","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","677","9","680","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L9057","ValidateSharePointOnlineAppOnlyByKeyParam","Office365APIEditor.AccessTokenWizard.ValidateSharePointOnlineAppOnlyByKeyParam()bool","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","684","9","707","10","1","1","4","0","1","1","1","1","0","24","22","22","24","4","0","0","0","0","10","0","0","1","22","24","10","0","0","7","0","0","0","7","0","0","0","0"
"L9059","AcquireSharePointOnlineAppOnlyAccessTokenByKey","Office365APIEditor.AccessTokenWizard.AcquireSharePointOnlineAppOnlyAccessTokenByKey()Office365APIEditor.TokenResponse","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","709","9","721","10","0","0","0","0","0","0","0","1","0","0","0","10","13","1","0","0","0","0","4","0","0","1","10","13","4","0","0","0","0","0","0","0","0","0","0","0"
"L9070","button_Page05_SelectCert_Click","Office365APIEditor.AccessTokenWizard.button_Page05_SelectCert_Click(object, EventArgs)void","L8768","L103","D:\DataCollection\repos\microsoft_Office365APIEditor\Office365APIEditor\UI\AccessTokenWizard.cs","728","9","736","10","0","0","0","0","0","0","0","0","0","0","0","8","9","2","0","0","0","0","3","2","0","0","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
