"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L1777","SanitizePathTests","RecursiveExtractor.Tests.SanitizePathTests","L1559","L1546","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor.Tests\SanitizePathTests.cs","10","5","40","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","27","31","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","6","0","2","0","0","3","2","0","0","27","31","0","0","0","0","2","0","2","0","2","6","0","2","0","4","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L143","ArFile","Microsoft.CST.RecursiveExtractor.ArFile","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ArFile.cs","14","5","574","6","1","5","0","0.464249","4","38","0","8","0.406417","0.462222","60","0","20","3","228","208","451","561","0","0","0","0","0","0","0","6","0","4","0","6","0","0","0","3","0","235","0","4","0","5","0","9","0","60","451","561","0","0","0","0","6","0","4","0","6","235","0","4","0","76","0","0","34","0","0","2","21","1","2","0","0","0","10"
"L237","DebArchiveFile","Microsoft.CST.RecursiveExtractor.DebArchiveFile","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\DebArchiveFile.cs","11","5","92","6","1","3","0","0","0","0","0","0","0","0","24","0","18","2","0","0","59","82","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","32","0","2","0","3","0","3","0","24","59","82","0","0","0","0","2","0","2","0","2","32","0","2","0","8","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L262","Extractor","Microsoft.CST.RecursiveExtractor.Extractor","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Extractor.cs","26","5","666","6","1","22","0","0","0","0","0","0","0","0","149","0","146","1","0","0","450","610","0","1","0","0","0","0","1","22","0","21","0","22","0","0","0","30","0","213","0","21","0","22","0","52","0","149","450","641","0","1","0","1","22","0","21","0","22","213","0","21","0","98","0","0","11","0","0","5","0","0","3","2","0","0","6"
"L158","ExtractorOptions","Microsoft.CST.RecursiveExtractor.ExtractorOptions","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ExtractorOptions.cs","12","5","144","6","1","1","0","0","0","0","0","0","0","0","67","0","67","2","0","0","44","133","0","17","0","0","0","0","17","36","0","36","17","36","0","0","0","0","0","6","0","36","17","37","0","36","0","67","44","133","0","17","0","17","36","0","36","17","36","6","0","36","17","42","0","0","11","0","0","0","0","1","0","0","0","0","10"
"L151","FileEntry","Microsoft.CST.RecursiveExtractor.FileEntry","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\FileEntry.cs","15","5","332","6","0.882353","2","0","0","0","0","0","0","0","0","74","0","67","3","0","0","181","318","0","10","0","0","0","0","10","19","0","16","2","19","0","0","0","1","0","72","0","16","2","15","2","20","0","74","181","318","0","10","0","10","19","0","16","2","19","72","0","16","2","53","0","0","11","0","0","4","0","1","2","1","1","0","6"
"L1256","FileEntryInfo","Microsoft.CST.RecursiveExtractor.FileEntryInfo","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\FileEntryInfo.cs","6","5","32","6","1","0","0","0","0","0","0","0","0","0","18","0","18","0","0","0","12","27","0","3","0","0","0","0","3","4","0","4","0","4","0","0","0","0","0","3","0","4","0","5","0","4","0","18","12","27","0","3","0","3","4","0","4","0","4","3","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1298","MiniMagic","Microsoft.CST.RecursiveExtractor.MiniMagic","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\MiniMagic.cs","92","5","275","6","1","2","0","0","0","0","0","0","0","0","30","0","18","3","0","0","139","184","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","76","0","3","0","4","0","3","0","30","139","184","0","0","0","0","3","0","3","0","3","76","0","3","0","80","0","0","5","0","0","2","0","1","1","0","0","0","3"
"L162","ResourceGovernor","Microsoft.CST.RecursiveExtractor.ResourceGovernor","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ResourceGovernor.cs","12","5","101","6","1","1","0","0","0","0","0","0","0","0","21","0","18","1","0","0","55","90","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","4","0","21","0","1","0","2","0","8","0","21","55","90","0","0","0","0","4","0","1","0","4","21","0","1","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L189","StreamFactory","Microsoft.CST.RecursiveExtractor.StreamFactory","L104","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\StreamFactory.cs","9","1","83","2","1","2","0","0","0","0","0","0","0","0","29","0","29","1","0","0","45","75","0","0","0","0","0","0","0","5","0","2","0","5","0","0","0","3","0","13","0","2","0","3","0","8","0","29","45","75","0","0","0","0","5","0","2","0","5","13","0","2","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
