"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1318",".ctor","System.Index.Index(int, bool)void","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","27","9","39","10","0","0","0","0","0","0","0","0","0","0","0","12","13","3","0","0","0","0","5","2","0","0","12","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L1322",".ctor","System.Index.Index(int)void","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","42","9","45","10","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","1","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1325","FromStart","System.Index.FromStart(int)System.Index","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","55","9","64","10","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","1","3","1","0","0","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L1330","FromEnd","System.Index.FromEnd(int)System.Index","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","68","9","77","10","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","0","3","1","0","0","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L1332","get_Value","System.Index.Value.getint","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","82","13","92","14","0","0","0","0","0","0","0","1","1","0","0","11","11","2","0","0","0","0","3","0","0","1","11","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L1334","GetOffset","System.Index.GetOffset(int)int","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","106","9","119","10","0","0","0","0","0","0","0","3","0","0","0","10","14","2","0","0","0","0","4","1","0","3","10","14","4","0","0","0","0","0","0","0","0","0","0","0"
"L1336","Equals","System.Index.Equals(object?)bool","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","123","9","123","105","0","0","0","0","0","0","0","2","2","0","0","1","1","2","0","0","0","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1342","Equals","System.Index.Equals(System.Index)bool","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","127","9","127","67","0","0","0","0","0","0","0","2","2","0","0","1","1","1","0","0","0","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1345","GetHashCode","System.Index.GetHashCode()int","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","130","9","130","53","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1347","op_Implicit","System.Index.implicit operator System.Index(int)System.Index","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","133","9","133","78","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1350","ToString","System.Index.ToString()string","L1312","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","136","9","142","10","0","0","0","0","0","0","0","1","1","0","0","6","7","2","0","0","0","1","3","0","0","1","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L1355","get_Start","System.Range.Start.getSystem.Index","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","157","30","157","34","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1359","get_End","System.Range.End.getSystem.Index","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","160","28","160","32","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1363",".ctor","System.Range.Range(System.Index, System.Index)void","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","165","9","169","10","0","0","0","0","0","0","0","3","3","0","0","5","5","1","0","0","0","2","2","2","0","3","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L1369","Equals","System.Range.Equals(object?)bool","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","173","9","176","31","0","0","0","0","0","0","0","2","2","0","0","4","4","3","0","0","0","0","0","1","0","2","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L1372","Equals","System.Range.Equals(System.Range)bool","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","180","9","180","95","0","0","0","0","0","0","0","2","2","0","0","1","1","2","0","0","0","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1377","GetHashCode","System.Range.GetHashCode()int","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","183","9","186","10","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","3","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1379","ToString","System.Range.ToString()string","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","189","9","192","10","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","2","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1381","StartAt","System.Range.StartAt(System.Index)System.Range","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","195","9","195","81","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1384","EndAt","System.Range.EndAt(System.Index)System.Range","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","198","9","198","77","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1387","GetOffsetAndLength","System.Range.GetOffsetAndLength(int)(int Offset, int Length)","L1353","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\Range.cs","210","9","233","10","0","0","0","0","0","0","0","0","0","0","0","21","24","5","0","0","0","3","13","1","0","0","21","24","13","0","0","0","0","0","0","0","0","0","0","0"
"L1778","TestSanitizePathWindows","RecursiveExtractor.Tests.SanitizePathTests.TestSanitizePathWindows(string, string)void","L1777","L1546","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor.Tests\SanitizePathTests.cs","13","9","24","10","0","0","0","0","0","0","0","0","0","0","0","11","12","2","0","0","0","0","3","2","0","0","11","12","3","0","0","0","0","0","0","0","0","0","0","0"
"L1781","TestSanitizePathLinux","RecursiveExtractor.Tests.SanitizePathTests.TestSanitizePathLinux(string, string)void","L1777","L1546","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor.Tests\SanitizePathTests.cs","26","9","37","10","0","0","0","0","0","0","0","0","0","0","0","11","12","2","0","0","0","0","3","2","0","0","11","12","3","0","0","0","0","0","0","0","0","0","0","0"
"L148","GetFileEntries","Microsoft.CST.RecursiveExtractor.ArFile.GetFileEntries(Microsoft.CST.RecursiveExtractor.FileEntry, Microsoft.CST.RecursiveExtractor.ExtractorOptions, Microsoft.CST.RecursiveExtractor.ResourceGovernor)IEnumerable<Microsoft.CST.RecursiveExtractor.FileEntry>","L143","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ArFile.cs","23","9","263","10","0.542577","3","20","0","4","0.506224","0.552764","27","7","122","110","199","241","32","0","0","0","5","107","3","0","27","199","241","107","0","0","13","0","0","1","7","1","0","0","5"
"L194","GetFileEntriesAsync","Microsoft.CST.RecursiveExtractor.ArFile.GetFileEntriesAsync(Microsoft.CST.RecursiveExtractor.FileEntry, Microsoft.CST.RecursiveExtractor.ExtractorOptions, Microsoft.CST.RecursiveExtractor.ResourceGovernor)IAsyncEnumerable<Microsoft.CST.RecursiveExtractor.FileEntry>","L143","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ArFile.cs","272","9","506","10","0.485437","3","18","0","4","0.451064","0.494949","27","7","106","98","198","235","32","0","0","0","3","105","3","0","27","198","235","105","0","0","13","0","0","1","7","1","0","0","5"
"L192","Int64FromBigEndianBytes","Microsoft.CST.RecursiveExtractor.ArFile.Int64FromBigEndianBytes(byte[])long","L143","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ArFile.cs","513","9","524","10","0","0","0","0","0","0","0","5","5","0","0","12","12","3","0","0","0","0","5","1","0","5","12","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L185","IntFromBigEndianBytes","Microsoft.CST.RecursiveExtractor.ArFile.IntFromBigEndianBytes(byte[])int","L143","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ArFile.cs","531","9","542","10","0","0","0","0","0","0","0","5","5","0","0","12","12","3","0","0","0","0","5","1","0","5","12","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L216","CopyStreamBytes","Microsoft.CST.RecursiveExtractor.ArFile.CopyStreamBytes(Stream, Stream, long)void","L143","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ArFile.cs","544","9","554","10","0","0","0","0","0","0","0","0","0","0","0","11","11","3","0","0","0","0","5","3","0","0","11","11","5","0","0","0","0","0","0","0","0","0","0","0"
"L226","CopyStreamBytesAsync","Microsoft.CST.RecursiveExtractor.ArFile.CopyStreamBytesAsync(Stream, Stream, long)Task<long>","L143","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\ArFile.cs","556","9","569","10","0","0","0","0","0","0","0","0","0","0","0","14","14","3","0","0","0","0","8","3","0","0","14","14","8","0","0","0","0","0","0","0","0","0","0","0"
"L239","GetFileEntries","Microsoft.CST.RecursiveExtractor.DebArchiveFile.GetFileEntries(Microsoft.CST.RecursiveExtractor.FileEntry, Microsoft.CST.RecursiveExtractor.ExtractorOptions, Microsoft.CST.RecursiveExtractor.ResourceGovernor)IEnumerable<Microsoft.CST.RecursiveExtractor.FileEntry>","L237","L103","D:\DataCollection\repos\microsoft_RecursiveExtractor\RecursiveExtractor\DebArchiveFile.cs","20","9","51","10","0","0","0","0","0","0","0","10","7","0","0","28","32","4","0","0","0","1","16","3","0","10","28","32","16","0","0","0","0","0","0","0","0","0","0","0"
