"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L1836","Settings","PowerApps_Theme_Editor.Settings","L805","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Settings.xaml.cs","9","5","32","6","0.5","2","0","0","0","0","0","0","0","0","3","0","3","2","0","0","21","24","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","2","0","8","0","1","0","1","1","5","0","3","21","24","0","0","0","0","3","0","1","0","3","8","0","1","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2501","AddPalette","PowerApps_Theme_Editor.AddPalette","L805","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\AddPalette.xaml.cs","10","5","75","6","0.333333","2","0","0","0","0","0","0","0","0","3","0","3","2","0","0","54","66","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","3","0","27","0","2","0","1","2","7","0","3","54","66","0","0","0","0","4","0","2","0","4","27","0","2","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2535","App","PowerApps_Theme_Editor.App","L805","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\App.xaml.cs","9","5","15","6","1","0","0","0","0","0","0","0","0","0","3","0","3","1","0","0","7","7","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","3","7","7","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1873","MainWindow","PowerApps_Theme_Editor.MainWindow","L805","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\MainWindow.xaml.cs","16","5","252","6","0.666667","7","0","0","0","0","0","0","0","0","6","0","6","4","0","0","201","237","0","1","0","0","0","0","1","24","0","2","1","24","0","0","0","25","0","88","0","2","1","2","1","49","0","6","201","237","0","1","0","1","24","0","2","1","24","88","0","2","1","44","0","0","3","0","0","0","0","1","0","0","1","0","1"
"L806","PowerAppsButton","PowerApps_Theme_Editor.Controls.PowerAppsButton","L797","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Controls\PowerAppsButton.cs","6","5","16","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","8","11","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L856","PowerAppsCheckBox","PowerApps_Theme_Editor.Controls.PowerAppsCheckBox","L797","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Controls\PowerAppsCheckBox.cs","8","5","29","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","22","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","15","22","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L873","PowerAppsComboBox","PowerApps_Theme_Editor.Controls.PowerAppsComboBox","L797","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Controls\PowerAppsComboBox.cs","8","5","29","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","22","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","15","22","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L893","PowerAppsRadioButton","PowerApps_Theme_Editor.Controls.PowerAppsRadioButton","L797","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Controls\PowerAppsRadioButton.cs","8","5","29","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","22","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","15","22","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L928","AddingPaletteTypeConverter","PowerApps_Theme_Editor.Converters.AddingPaletteTypeConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\AddingPaletteTypeConverter.cs","7","5","49","6","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","33","43","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","13","0","2","0","0","3","2","0","1","33","43","0","0","0","0","2","0","2","0","2","13","0","2","0","11","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L956","AlignStyleFormatConverter","PowerApps_Theme_Editor.Converters.AlignStyleFormatConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\AlignStyleFormatConverter.cs","7","5","32","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","26","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","9","0","2","0","0","3","2","0","0","21","26","0","0","0","0","2","0","2","0","2","9","0","2","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L974","BorderStyleFormatConverter","PowerApps_Theme_Editor.Converters.BorderStyleFormatConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\BorderStyleFormatConverter.cs","7","5","32","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","26","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","9","0","2","0","0","3","2","0","0","21","26","0","0","0","0","2","0","2","0","2","9","0","2","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L987","PropertyValueVisibilityConverter","PowerApps_Theme_Editor.Converters.PropertyValueVisibilityConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\PropertyValueVisibilityConverter.cs","8","5","32","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","24","25","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","8","0","2","0","0","3","2","0","0","24","25","0","0","0","0","2","0","2","0","2","8","0","2","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1009","ColorConverter","PowerApps_Theme_Editor.Converters.ColorConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\ColorConverter.cs","8","5","76","6","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","57","69","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","0","0","32","0","4","0","0","5","4","0","1","57","69","0","0","0","0","4","0","4","0","4","32","0","4","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1119","FontFormatConverter","PowerApps_Theme_Editor.Converters.FontFormatConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\FontFormatConverter.cs","10","5","42","6","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","24","33","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","12","0","2","0","0","3","3","0","1","24","33","0","0","0","0","2","0","2","0","2","12","0","2","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1157","FontWeightFormatConverter","PowerApps_Theme_Editor.Converters.FontWeightFormatConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\FontWeightFormatConverter.cs","9","5","38","6","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","22","30","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","10","0","2","0","0","3","2","0","1","22","30","0","0","0","0","2","0","2","0","2","10","0","2","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1170","KeyToColorConverter","PowerApps_Theme_Editor.Converters.KeyToColorConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\KeyToColorConverter.cs","11","5","67","6","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","48","57","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","5","0","26","0","2","0","0","3","7","0","0","48","57","0","0","0","0","2","0","2","0","2","26","0","2","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1254","KeyToFontConverter","PowerApps_Theme_Editor.Converters.KeyToFontConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\KeyToFontConverter.cs","10","5","58","6","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","42","49","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","6","0","23","0","2","0","0","3","8","0","0","42","49","0","0","0","0","2","0","2","0","2","23","0","2","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1297","KeyToFontWeightConverter","PowerApps_Theme_Editor.Converters.KeyToFontWeightConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\KeyToFontWeightConverter.cs","10","5","45","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","30","36","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","12","0","2","0","0","3","3","0","0","30","36","0","0","0","0","2","0","2","0","2","12","0","2","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1312","KeyToNumberConverter","PowerApps_Theme_Editor.Converters.KeyToNumberConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\KeyToNumberConverter.cs","10","5","51","6","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","38","42","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","5","0","16","0","2","0","0","3","7","0","0","38","42","0","0","0","0","2","0","2","0","2","16","0","2","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1332","KeyToNumberThicknessConverter","PowerApps_Theme_Editor.Converters.KeyToNumberThicknessConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\KeyToNumberThicknessConverter.cs","11","5","52","6","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","37","42","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","5","0","15","0","2","0","0","3","7","0","0","37","42","0","0","0","0","2","0","2","0","2","15","0","2","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1355","LookUpConverter","PowerApps_Theme_Editor.Converters.LookUpConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\LookUpConverter.cs","10","5","27","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","15","18","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","6","0","2","0","0","3","2","0","0","15","18","0","0","0","0","2","0","2","0","2","6","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1373","NullVisibilityConverter","PowerApps_Theme_Editor.Converters.NullVisibilityConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\NullVisibilityConverter.cs","8","5","19","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","11","12","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","11","12","0","0","0","0","2","0","2","0","2","2","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1384","PaletteNameToValue","PowerApps_Theme_Editor.Converters.PaletteNameToValue","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\PaletteNameToValue.cs","10","5","66","6","0","9","0","0","0","0","0","0","0","0","0","0","0","2","0","0","46","57","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","9","0","23","0","2","0","0","3","11","0","0","46","57","0","0","0","0","2","0","2","0","2","23","0","2","0","11","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L1436","PropertyPaletteConverter","PowerApps_Theme_Editor.Converters.PropertyPaletteConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\PropertyPaletteConverter.cs","12","5","38","6","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","21","27","0","1","0","0","0","0","1","4","0","4","1","4","0","0","0","5","0","7","0","4","1","0","5","9","0","0","21","27","0","1","0","1","4","0","4","1","4","7","0","4","1","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1397","StringToIntConverter","PowerApps_Theme_Editor.Converters.StringToIntConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\StringToIntConverter.cs","7","5","21","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","13","15","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","4","0","2","0","0","3","2","0","0","13","15","0","0","0","0","2","0","2","0","2","4","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1480","StyleNameConverter","PowerApps_Theme_Editor.Converters.StyleNameConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\StyleNameConverter.cs","7","5","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","5","0","2","0","0","3","2","0","0","15","17","0","0","0","0","2","0","2","0","2","5","0","2","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1424","VerticalAlignStyleFormatConverter","PowerApps_Theme_Editor.Converters.VerticalAlignStyleFormatConverter","L907","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Converters\VerticalAlignStyleFormatConverter.cs","7","5","32","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","26","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","9","0","2","0","0","3","2","0","0","21","26","0","0","0","0","2","0","2","0","2","9","0","2","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1511","DesignDataService","PowerApps_Theme_Editor.Design.DesignDataService","L1508","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Design\DesignDataService.cs","7","5","445","6","0","5","0","0","0","0","0","0","0","0","0","1","0","1","0","0","436","439","0","0","0","0","0","0","0","1","0","1","0","2","1","0","0","11","1","2","0","2","0","0","2","12","0","0","436","439","0","0","0","0","1","0","1","0","2","2","0","2","0","1","0","0","6","0","0","1","0","0","0","1","1","0","4"
