"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1848",".ctor","PowerApps_Theme_Editor.Settings.Settings()void","L1836","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Settings.xaml.cs","13","9","19","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","1","4","0","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L1871","ShowDialog","PowerApps_Theme_Editor.Settings.ShowDialog(PowerApps_Theme_Editor.MainWindow)void","L1836","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Settings.xaml.cs","21","9","25","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L1885","Button_Save","PowerApps_Theme_Editor.Settings.Button_Save(object, System.Windows.RoutedEventArgs)void","L1836","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\Settings.xaml.cs","27","9","31","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L2504",".ctor","PowerApps_Theme_Editor.AddPalette.AddPalette()void","L2501","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\AddPalette.xaml.cs","14","9","19","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","3","0","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L2520","AddPalette_Click","PowerApps_Theme_Editor.AddPalette.AddPalette_Click(object, System.Windows.RoutedEventArgs)void","L2501","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\AddPalette.xaml.cs","21","9","25","10","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","1","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L2525","PaletteTypeGallery_Selected","PowerApps_Theme_Editor.AddPalette.PaletteTypeGallery_Selected(object, System.Windows.RoutedEventArgs)void","L2501","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\AddPalette.xaml.cs","27","9","68","10","0","0","0","0","0","0","0","0","0","0","0","34","42","9","0","0","0","2","20","2","0","0","34","42","20","0","0","0","0","0","0","0","0","0","0","0"
"L2533","ShowDialog","PowerApps_Theme_Editor.AddPalette.ShowDialog(System.Windows.Window)void","L2501","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\AddPalette.xaml.cs","70","9","74","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L2540",".cctor","PowerApps_Theme_Editor.App.App()void","L2535","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\App.xaml.cs","11","9","14","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2545","get_Hidden","PowerApps_Theme_Editor.MainWindow.Hidden.getSystem.Windows.Visibility","L1873","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\MainWindow.xaml.cs","22","36","22","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L2548","set_Hidden","PowerApps_Theme_Editor.MainWindow.Hidden.setvoid","L1873","L796","D:\DataCollection\repos\microsoft_powerapps-tools\Tools\Apps\Microsoft.PowerApps.ThemeEditor\MainWindow.xaml.cs","22","41","22","53","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
