"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L75513","CommandOptions","ScriptGenerator.CommandOptions","L75507","L75506","D:\DataCollection\repos\microsoft_sqltoolsservice\test\ScriptGenerator\CommandOptions.cs","15","5","159","6","0.5","0","0","0","0","0","0","0","0","0","16","0","15","0","0","0","124","145","0","8","0","0","0","0","8","16","0","9","7","16","0","0","0","0","0","37","0","9","7","5","5","16","0","16","124","145","0","8","0","8","16","0","9","7","16","37","0","9","7","39","0","0","5","0","0","1","0","0","1","0","1","0","3"
"L75565","Program","ScriptGenerator.Program","L75507","L75506","D:\DataCollection\repos\microsoft_sqltoolsservice\test\ScriptGenerator\Program.cs","14","5","72","6","0","2","0","0","0","0","0","0","0","0","6","0","0","6","0","0","50","59","0","0","0","0","0","0","0","6","0","0","0","6","0","0","0","12","0","18","0","0","0","0","1","18","0","6","50","59","0","0","0","0","6","0","0","0","6","18","0","0","0","10","0","0","3","0","0","0","0","1","0","1","1","0","0"
"L75581","Resources","ScriptGenerator.Properties.Resources","L75608","L75506","D:\DataCollection\repos\microsoft_sqltoolsservice\test\ScriptGenerator\Properties\Resources.Designer.cs","22","5","197","6","0","0","0","0","0","0","0","0","0","0","102","0","102","0","0","0","45","176","0","8","0","0","0","0","8","10","0","0","1","10","0","0","0","0","0","12","0","0","1","0","1","10","0","102","45","176","0","8","0","8","10","0","0","1","10","12","0","0","1","11","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L43993","HostLoader","Microsoft.SqlTools.ServiceLayer.HostLoader","L155","L15483","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.ServiceLayer\HostLoader.cs","52","5","217","6","1","36","0","0.362319","1","2","0","2","0.26506","0.272727","22","0","8","1","44","30","111","163","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","51","0","78","0","0","0","1","0","54","0","22","111","166","0","0","0","0","3","0","0","0","3","78","0","0","0","8","0","0","17","0","0","0","12","0","0","3","0","0","2"
"L24849","InteractionMetrics","Microsoft.SqlTools.ServiceLayer.InteractionMetrics<T>","L155","L15483","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.ServiceLayer\LanguageServices\InteractionMetrics.cs","19","5","97","6","1","1","0","0","0","0","0","0","0","0","18","0","18","1","0","0","55","79","0","3","0","0","0","0","3","7","0","4","1","7","0","0","0","0","0","22","0","4","1","5","0","7","0","18","55","79","0","3","0","3","7","0","4","1","7","22","0","4","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17166","SR","Microsoft.SqlTools.ServiceLayer.SR","L155","L15483","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.ServiceLayer\Localization\sr.cs","13","5","15812","6","0","1","0","0","0","0","0","0","0","0","0","0","0","91","0","0","5831","11381","0","1364","0","0","0","0","1364","1457","0","1456","1","1457","0","0","0","8","0","1456","0","1456","1","0","1457","1465","0","0","7326","15800","0","1365","0","1365","1466","0","1464","2","1466","1464","0","1464","2","1457","0","0","30","0","0","3","0","1","1","1","2","0","25"
"L62986","Program","Microsoft.SqlTools.ServiceLayer.Program","L155","L15483","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.ServiceLayer\Program.cs","21","5","95","6","1","10","0","0","0","0","0","0","0","0","12","0","6","1","0","0","58","71","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","13","0","26","0","0","0","1","0","14","0","12","58","75","0","0","0","0","1","0","0","0","1","26","0","0","0","8","0","0","1","0","0","0","0","0","0","1","0","0","0"
"L365","SR","Microsoft.SqlTools.ManagedBatchParser.SR","L2484","L103","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.ManagedBatchParser\Localization\sr.cs","13","5","424","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","147","286","0","34","0","0","0","0","34","36","0","35","1","36","0","0","0","3","0","35","0","35","1","0","36","39","0","0","201","412","0","35","0","35","40","0","38","2","40","38","0","38","2","36","0","0","10","0","0","0","0","0","0","0","2","0","8"
"L5042","ExportStandardMetadataAttribute","Microsoft.SqlTools.Extensibility.ExportStandardMetadataAttribute","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\ExportStandardMetadataAttribute.cs","14","5","43","6","0.8","1","0","0","0","0","0","0","0","0","12","1","12","0","0","0","14","30","0","6","0","0","0","0","3","7","0","4","3","10","1","0","0","0","1","2","0","7","3","4","1","7","0","12","14","30","0","6","0","3","7","0","4","3","10","2","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L5074","ExtensionServiceHost","Microsoft.SqlTools.Extensibility.ExtensionServiceHost","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\ExtensionServiceHost.cs","21","5","233","6","0.714286","20","0","0","0","0","0","0","0","0","46","4","33","2","0","0","129","213","0","1","0","0","0","0","0","15","0","6","0","41","5","0","0","20","4","49","0","24","1","5","2","35","0","52","130","213","0","1","0","0","15","0","6","0","41","49","0","24","1","22","0","0","5","0","0","0","0","1","0","2","1","1","0"
"L5088","ExtensibleServiceHostOptions","Microsoft.SqlTools.Extensibility.ExtensibleServiceHostOptions","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\ExtensionServiceHost.cs","238","5","292","6","0.941176","2","0","0","0","0","0","0","0","0","27","0","27","0","0","0","20","55","0","8","0","0","0","0","8","16","0","16","8","16","0","0","0","0","0","0","0","16","8","16","1","16","0","27","20","55","0","8","0","8","17","0","17","8","17","0","0","17","8","16","0","0","4","0","0","0","0","0","0","0","1","0","3"
"L5092","ExtensionServiceProvider","Microsoft.SqlTools.Extensibility.ExtensionServiceProvider","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\ExtensionServiceProvider.cs","18","5","203","6","0.333333","5","0","0","0","0","0","0","0","0","23","3","15","7","0","0","136","181","0","0","0","0","0","0","0","11","0","8","0","28","3","0","0","2","2","56","0","19","0","3","6","13","0","23","136","186","0","0","0","0","11","0","8","0","28","56","0","19","0","24","0","0","3","0","0","0","0","1","0","0","1","1","0"
"L5361","ExtensionStore","Microsoft.SqlTools.Extensibility.ExtensionStore","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\ExtensionServiceProvider.cs","209","5","268","6","0.5","1","0","0","0","0","0","0","0","0","15","0","14","4","0","0","43","60","0","0","0","0","0","0","0","6","0","5","0","6","0","0","0","0","0","17","0","5","0","3","3","6","0","15","43","60","0","0","0","0","6","0","5","0","6","17","0","5","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L5452","ContainerConfigurationExtensions","Microsoft.SqlTools.Extensibility.ContainerConfigurationExtensions","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\ExtensionServiceProvider.cs","270","5","288","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","19","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","5","0","2","0","0","3","2","0","0","16","19","0","0","0","0","2","0","2","0","2","5","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L5475","IEnumerableExt","Microsoft.SqlTools.Extensibility.IEnumerableExt","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\IEnumerableExt.cs","11","5","17","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L5487","ServiceProviderBase","Microsoft.SqlTools.Extensibility.ServiceProviderBase","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\IMultiServiceProvider.cs","51","5","102","6","0","3","0","0","0","0","0","0","0","0","5","1","5","5","0","0","39","49","0","0","0","0","0","0","0","6","0","4","0","10","1","1","2","1","1","12","0","8","0","0","5","7","0","5","39","52","0","0","0","0","6","0","4","0","10","12","0","8","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L5329","RegisteredServiceProvider","Microsoft.SqlTools.Extensibility.RegisteredServiceProvider","L5031","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Extensibility\RegisteredServiceProvider.cs","20","5","109","6","1","5","0","0","0","0","0","0","0","0","28","2","28","2","0","0","55","90","0","0","0","0","0","0","0","7","0","3","0","17","2","1","1","4","2","23","0","11","0","4","0","11","0","28","55","90","0","0","0","0","8","0","4","0","18","23","0","12","0","10","0","0","2","0","0","0","0","1","0","0","0","1","0"
"L6011","HostedService","Microsoft.SqlTools.Hosting.HostedService<T>","L5587","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Hosting\IHostedService.cs","52","5","89","6","0.25","6","0","0","0","0","0","0","0","0","18","1","18","2","0","0","29","38","0","3","0","0","0","0","2","6","0","3","1","9","2","9","9","2","2","9","0","6","1","1","3","8","0","18","29","38","0","3","0","2","6","0","3","1","9","9","0","6","1","7","0","0","3","0","0","0","0","1","0","0","1","1","0"
"L5075","ServiceHostBase","Microsoft.SqlTools.Hosting.ServiceHostBase","L5587","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Hosting\ServiceHostBase.cs","13","5","45","6","0","8","0","0","0","0","0","0","0","0","3","3","0","1","0","0","24","33","0","1","0","0","0","0","0","3","0","0","0","26","4","4","4","2","4","6","0","18","1","0","1","5","0","3","24","33","0","1","0","0","3","0","0","0","26","6","0","18","1","4","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L5558","SR","Microsoft.SqlTools.Hosting.SR","L5587","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Localization\sr.cs","13","5","204","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67","126","0","14","0","0","0","0","14","16","0","15","1","16","0","0","0","3","0","15","0","15","1","0","16","19","0","0","101","192","0","15","0","15","20","0","18","2","20","18","0","18","2","16","0","0","4","0","0","0","0","0","0","0","2","0","2"
"L6915","AsyncContext","Microsoft.SqlTools.Utility.AsyncContext","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\AsyncContext.cs","16","5","50","6","1","1","0","0","0","0","0","0","0","0","17","0","12","1","0","0","19","35","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","8","0","1","0","2","0","2","0","17","19","35","0","0","0","0","1","0","1","0","1","8","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6338","AsyncContextThread","Microsoft.SqlTools.Utility.AsyncContextThread","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\AsyncContextThread.cs","16","5","83","6","1","0","0","0","0","0","0","0","0","0","24","0","22","1","0","0","29","61","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","4","0","3","0","4","0","3","0","24","29","68","0","0","0","0","3","0","3","0","3","4","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6586","AsyncLock","Microsoft.SqlTools.Utility.AsyncLock","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\AsyncLock.cs","17","5","101","6","1","1","0","0","0","0","0","0","0","0","21","0","21","2","0","0","30","70","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","1","0","4","0","3","0","4","0","4","0","25","42","85","0","0","0","0","5","0","4","0","5","6","0","4","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L6976","AsyncQueue","Microsoft.SqlTools.Utility.AsyncQueue<T>","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\AsyncQueue.cs","18","5","153","6","1","1","0","0","0","0","0","0","0","0","53","0","45","2","0","0","59","136","0","1","0","0","0","0","1","7","0","6","1","7","0","0","0","2","0","23","0","6","1","7","0","9","0","53","59","136","0","1","0","1","7","0","6","1","7","23","0","6","1","10","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L7019","AutoLock","Microsoft.SqlTools.Utility.AutoLock","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\AutoLock.cs","14","5","55","6","1","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","38","42","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","13","0","1","0","2","0","1","0","6","38","42","0","0","0","0","1","0","1","0","1","13","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7035","CommandOptions","Microsoft.SqlTools.Utility.CommandOptions","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\CommandOptions.cs","14","5","232","6","0.736842","0","0","0","0","0","0","0","0","0","57","0","50","1","0","0","136","219","0","15","0","0","0","0","15","32","0","18","14","32","0","2","2","0","0","59","0","18","14","14","5","32","0","57","136","219","0","15","0","15","32","0","18","14","32","59","0","18","14","56","0","0","10","0","0","1","0","0","1","1","1","0","7"
"L7153","ConcurrentCache","Microsoft.SqlTools.Utility.ConcurrentCache<T>","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\ConcurrentCache.cs","12","5","79","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","62","46","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","16","0","3","0","0","4","3","0","0","62","68","0","0","0","0","3","0","3","0","3","16","0","3","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L7175","ObjectExtensions","Microsoft.SqlTools.Utility.ObjectExtensions","L6898","L5030","D:\DataCollection\repos\microsoft_sqltoolsservice\src\Microsoft.SqlTools.Hosting\Utility\Extensions.cs","11","5","42","6","0.666667","0","0","0","0","0","0","0","0","0","9","0","9","2","0","0","20","32","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","6","0","2","0","2","1","2","0","9","20","32","0","0","0","0","2","0","2","0","2","6","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
