"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L344","AuthenticationException","Microsoft.Graph.PowerShell.AuthenticationException","L137","L103","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication.Core\Exceptions\AuthenticationException.cs","9","5","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2326","PSCmdletExtensions","Microsoft.Graph.PowerShell.PSCmdletExtensions","L137","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","15","5","97","6","0.666667","2","0","0","0","0","0","0","0","0","25","0","25","10","0","0","49","83","0","0","0","0","0","0","0","10","0","2","0","10","0","0","0","1","0","10","0","2","0","2","1","11","0","25","49","83","0","0","0","0","10","0","2","0","10","10","0","2","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L141","GraphSession","Microsoft.Graph.PowerShell.Authentication.GraphSession","L104","L103","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication.Core\Common\GraphSession.cs","19","5","227","6","0.928571","10","0","0","0","0","0","0","0","0","53","1","53","1","0","0","138","209","0","16","0","0","0","0","12","27","0","27","10","35","1","0","0","0","1","39","0","35","14","26","2","27","0","53","138","209","0","16","0","12","27","0","27","10","35","39","0","35","14","39","0","0","9","0","0","0","0","0","0","0","1","0","8"
"L1224","Constants","Microsoft.Graph.PowerShell.Authentication.Constants","L104","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Constants.cs","9","5","51","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","42","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0"
"L1173","ErrorConstants","Microsoft.Graph.PowerShell.Authentication.ErrorConstants","L104","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\ErrorConstants.cs","7","5","40","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","33","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0"
"L1186","GraphEnvironmentConstants","Microsoft.Graph.PowerShell.Authentication.GraphEnvironmentConstants","L104","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\GraphEnvironmentConstants.cs","10","5","108","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","64","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1208","AuthContext","Microsoft.Graph.PowerShell.Authentication.AuthContext","L104","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Models\AuthContext.cs","12","5","35","6","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","23","24","0","30","0","0","0","0","15","31","0","31","15","61","1","0","0","0","1","1","0","61","30","0","32","31","0","0","23","24","0","30","0","15","31","0","31","15","61","1","0","61","30","31","0","0","14","0","0","0","0","0","0","0","1","0","13"
"L1975","GraphOption","Microsoft.Graph.PowerShell.Authentication.GraphOption","L104","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Models\GraphOption.cs","9","5","12","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","4","0","2","0","0","0","0","1","2","0","2","1","4","1","0","0","0","1","0","0","4","2","0","3","2","0","0","4","4","0","2","0","1","2","0","2","1","4","0","0","4","2","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3365","ModuleInitializer","Microsoft.Graph.PowerShell.Authentication.ModuleInitializer","L104","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\ModuleInitializer.cs","18","5","147","6","1","2","0","0","0","0","0","0","0","0","38","0","31","3","0","0","80","130","0","0","0","0","0","0","0","7","0","2","0","7","0","0","0","3","0","29","0","2","0","3","0","10","0","38","80","130","0","0","0","0","7","0","2","0","7","29","0","2","0","23","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L3375","AssemblyLoadContextProxy","Microsoft.Graph.PowerShell.Authentication.AssemblyLoadContextProxy","L104","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\ModuleInitializer.cs","152","5","181","6","1","0","0","0","0","0","0","0","0","0","3","0","3","2","0","0","26","30","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","8","0","0","0","1","0","3","0","3","26","30","0","0","0","0","3","0","0","0","3","8","0","0","0","5","0","0","1","0","0","0","0","1","0","0","0","0","0"
