"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L348",".ctor","Microsoft.Graph.PowerShell.AuthenticationException.AuthenticationException(string, Exception)void","L344","L103","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication.Core\Exceptions\AuthenticationException.cs","11","9","13","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","2","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L2327","OverrideOnDefault","Microsoft.Graph.PowerShell.PSCmdletExtensions.OverrideOnDefault(PSCmdlet, System.Net.Http.HttpResponseMessage, ref System.Threading.Tasks.Task<bool>)void","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","23","9","33","10","0","0","0","0","0","0","0","6","6","0","0","11","11","5","0","0","0","0","4","3","0","6","11","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L2339","IsParameterBound","Microsoft.Graph.PowerShell.PSCmdletExtensions.IsParameterBound(PSCmdlet, string)bool","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","41","9","44","10","0","0","0","0","0","0","0","6","6","0","0","4","4","3","0","0","0","0","1","2","0","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2343","IsParameterBound","Microsoft.Graph.PowerShell.PSCmdletExtensions.IsParameterBound<TPSCmdlet, TProp>(TPSCmdlet, Expression<Func<TPSCmdlet, TProp>>)bool","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","54","9","58","10","0","0","0","0","0","0","0","8","8","0","0","5","5","1","0","0","0","0","2","2","0","8","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L2360","ThrowParameterError","Microsoft.Graph.PowerShell.PSCmdletExtensions.ThrowParameterError(PSCmdlet, string, params object[])void","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","60","9","63","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","3","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2364","ThrowParameterError","Microsoft.Graph.PowerShell.PSCmdletExtensions.ThrowParameterError(PSCmdlet, string)void","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","65","9","68","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2367","ThrowError","Microsoft.Graph.PowerShell.PSCmdletExtensions.ThrowError(PSCmdlet, string, ErrorCategory)void","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","70","9","79","10","0","0","0","0","0","0","0","0","0","0","0","10","10","1","0","0","0","0","1","3","0","0","10","10","1","0","0","0","0","0","0","0","0","0","0","0"
"L2374","GetContextSettings","Microsoft.Graph.PowerShell.PSCmdletExtensions.GetContextSettings(PSCmdlet)Microsoft.Graph.PowerShell.Authentication.Common.GraphSettings","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","86","9","87","134","0","0","0","0","0","0","0","5","5","0","0","2","2","1","0","0","0","0","0","1","0","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2377","RunScript","Microsoft.Graph.PowerShell.PSCmdletExtensions.RunScript<T>(string)IEnumerable<T>","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","89","9","90","95","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2382","RunScript","Microsoft.Graph.PowerShell.PSCmdletExtensions.RunScript<T>(PSCmdlet, string)IEnumerable<T>","L2326","L1048","D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell\src\Authentication\Authentication\Extensions\PSCmdletExtensions.cs","92","9","93","81","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
