"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L689","AboutPartialForm","Mi899.AboutPartialForm","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","13","5","60","6","0","3","0","0.451262","15","20","0","20","0","0","50","1","8","4","0","0","224","292","0","1","0","0","0","0","0","9","0","3","0","12","1","0","0","1","1","167","0","6","0","0","4","10","0","50","224","292","0","1","0","0","9","0","3","0","12","167","0","6","0","11","0","0","18","0","0","1","10","1","0","0","1","0","6"
"L1094","BiosesPartialForm","Mi899.BiosesPartialForm","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","15","5","199","6","0","7","0","0.302737","1","1","0","1","0","0","35","1","8","1","0","0","279","348","0","1","0","0","0","0","0","10","0","3","0","13","1","0","0","5","1","137","0","6","0","0","4","15","0","35","279","350","0","1","0","0","10","0","3","0","13","137","0","6","0","19","0","0","15","0","0","2","10","0","0","0","1","0","4"
"L1097","BiosManager","Mi899.BiosManager","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosManager.cs","13","5","65","6","0","3","0","0","0","0","0","0","0","0","0","1","0","2","0","0","43","53","0","1","0","0","0","0","0","4","0","4","0","7","1","0","0","1","1","16","0","7","0","0","5","5","0","0","43","53","0","1","0","0","4","0","4","0","7","16","0","7","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1156","BiosRowData","Mi899.BiosRowData","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosRowData.cs","10","5","55","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","28","46","0","12","0","0","0","0","2","4","0","3","1","14","1","0","0","1","1","4","0","13","1","0","4","5","0","0","28","46","0","12","0","2","4","0","3","1","14","4","0","13","1","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1253","GenericBindingList","Mi899.GenericBindingList<T>","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\GenericBindingList.cs","9","5","80","6","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","53","72","0","3","0","0","0","0","3","13","0","10","3","13","0","0","0","1","0","15","0","10","3","0","11","14","0","0","53","72","0","3","0","3","13","0","10","3","13","15","0","10","3","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1529","GenericComparer","Mi899.GenericComparer<T>","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\GenericComparer.cs","12","5","86","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","67","75","0","2","0","0","0","0","2","6","0","4","2","6","0","0","0","0","0","28","0","4","2","0","5","6","0","0","67","75","0","2","0","2","6","0","4","2","6","28","0","4","2","25","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L1710","I18nExtensions","Mi899.I18nExtensions","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\I18nExtensions.cs","10","5","132","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","105","123","0","0","0","0","0","0","0","10","0","10","0","10","0","0","0","4","0","49","0","10","0","0","11","14","0","0","105","123","0","0","0","0","10","0","10","0","10","49","0","10","0","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1825","MainForm","Mi899.MainForm","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\MainForm.cs","15","5","207","6","0","13","0","0.109419","3","3","0","3","0","0","68","1","8","5","0","0","346","452","0","1","0","0","0","0","0","21","0","3","0","24","1","0","0","9","1","186","0","6","0","0","4","30","0","68","346","454","0","1","0","0","21","0","3","0","24","186","0","6","0","33","0","0","18","0","0","2","8","1","0","1","1","0","7"
"L2160","MdToHtmlConverter","Mi899.MdToHtmlConverter","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\MdToHtmlConverter.cs","8","5","21","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","14","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","4","0","1","0","0","2","1","0","0","12","14","0","0","0","0","1","0","1","0","1","4","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1837","MotherboardPartialForm","Mi899.MotherboardPartialForm","L123","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\MotherboardPartialForm.cs","15","5","295","6","0","11","0","0.203005","17","24","0","24","0","0","98","1","8","5","0","0","585","736","0","2","0","0","0","0","1","14","0","6","1","17","1","0","0","12","1","388","0","9","1","0","7","26","0","98","585","742","0","5","0","4","17","0","9","1","20","388","0","12","1","31","0","0","21","0","0","2","10","1","0","1","2","0","7"
