"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L765",".ctor","Mi899.AboutPartialForm.AboutPartialForm()void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","15","9","18","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L768","ApplyI18n","Mi899.AboutPartialForm.ApplyI18n(Mi899.Data.I18n)void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","20","9","23","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L772","SelectI18nCompatibleComponents","Mi899.AboutPartialForm.SelectI18nCompatibleComponents()System.Collections.Generic.IEnumerable<System.ComponentModel.IComponent>","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","25","9","33","10","0","0","0","0","0","0","0","0","0","0","0","9","9","1","0","0","0","0","1","0","0","0","9","9","1","0","0","0","0","0","0","0","0","0","0","0"
"L789","OnLinkLabelClick","Mi899.AboutPartialForm.OnLinkLabelClick(System.Windows.Forms.LinkLabel)void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","35","9","44","10","0","0","0","0","0","0","0","0","0","0","0","9","10","1","0","0","0","0","3","1","0","0","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L811","lblGitHub_LinkClicked","Mi899.AboutPartialForm.lblGitHub_LinkClicked(object, System.Windows.Forms.LinkLabelLinkClickedEventArgs)void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","46","9","49","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L818","lblYouTube_LinkClicked","Mi899.AboutPartialForm.lblYouTube_LinkClicked(object, System.Windows.Forms.LinkLabelLinkClickedEventArgs)void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","51","9","54","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L821","lblAuthor_LinkClicked","Mi899.AboutPartialForm.lblAuthor_LinkClicked(object, System.Windows.Forms.LinkLabelLinkClickedEventArgs)void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.cs","56","9","59","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L828","Dispose","Mi899.AboutPartialForm.Dispose(bool)void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L766","InitializeComponent","Mi899.AboutPartialForm.InitializeComponent()void","L689","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\AboutPartialForm.Designer.cs","29","9","229","10","0.506981","15","20","0","20","0.512438","0.5","46","4","103","79","158","201","1","0","0","0","0","155","0","0","46","158","201","155","0","0","13","0","0","1","7","0","0","0","6"
"L1100",".ctor","Mi899.BiosesPartialForm.BiosesPartialForm(Mi899.Data.Model, Mi899.BiosManager)void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","20","9","26","10","0","0","0","0","0","0","0","0","0","0","0","7","7","3","0","0","0","2","4","2","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L1112","ApplyI18n","Mi899.BiosesPartialForm.ApplyI18n(Mi899.Data.I18n)void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","28","9","32","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L1116","SelectI18nCompatibleComponents","Mi899.BiosesPartialForm.SelectI18nCompatibleComponents()System.Collections.Generic.IEnumerable<System.ComponentModel.IComponent>","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","34","9","45","10","0","0","0","0","0","0","0","0","0","0","0","10","12","1","0","0","0","0","3","0","0","0","10","12","3","0","0","0","0","0","0","0","0","0","0","0"
"L1110","InitializeDataGridComponent","Mi899.BiosesPartialForm.InitializeDataGridComponent()void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","47","9","139","10","0","0","0","0","0","0","0","0","0","0","0","86","93","1","0","0","0","2","11","0","0","0","86","93","11","0","0","1","0","0","1","0","0","0","0","1"
"L1208","PopulateDataSource","Mi899.BiosesPartialForm.PopulateDataSource()void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","141","9","158","10","0","0","0","0","0","0","0","0","0","0","0","13","16","2","0","0","0","1","5","0","0","0","15","18","5","0","0","0","0","0","0","0","0","0","0","0"
"L1258","grdBioses_CellContentClick","Mi899.BiosesPartialForm.grdBioses_CellContentClick(object, System.Windows.Forms.DataGridViewCellEventArgs)void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","160","9","185","10","0","0","0","0","0","0","0","0","0","0","0","21","26","4","0","0","0","1","11","2","0","0","21","26","11","0","0","0","0","0","0","0","0","0","0","0"
"L1298","txtSearch_KeyPress","Mi899.BiosesPartialForm.txtSearch_KeyPress(object, System.Windows.Forms.KeyPressEventArgs)void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","187","9","193","10","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","1","2","2","0","0","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L1313","btnSearch_Click","Mi899.BiosesPartialForm.btnSearch_Click(object, System.EventArgs)void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.cs","195","9","198","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1320","Dispose","Mi899.BiosesPartialForm.Dispose(bool)void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L1108","InitializeComponent","Mi899.BiosesPartialForm.InitializeComponent()void","L1094","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosesPartialForm.Designer.cs","29","9","154","10","0.481581","1","1","0","1","0.444444","0.44898","31","4","56","44","98","126","1","0","0","0","0","95","0","0","31","98","126","95","0","0","10","0","0","1","7","0","0","0","3"
"L1395",".ctor","Mi899.BiosManager.BiosManager()void","L1097","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosManager.cs","18","9","20","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L1114","ApplyI18n","Mi899.BiosManager.ApplyI18n(Mi899.Data.I18n)void","L1097","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosManager.cs","24","9","28","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L1291","DownloadBiosIfMissingAsync","Mi899.BiosManager.DownloadBiosIfMissingAsync(Mi899.BiosRowData)System.Threading.Tasks.Task<bool>","L1097","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosManager.cs","30","9","59","10","0","0","0","0","0","0","0","0","0","0","0","25","30","4","0","0","0","0","13","1","0","0","25","30","13","0","0","0","0","0","0","0","0","0","0","0"
"L1461","SelectI18nCompatibleComponents","Mi899.BiosManager.SelectI18nCompatibleComponents()System.Collections.Generic.IEnumerable<System.ComponentModel.IComponent>","L1097","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosManager.cs","61","9","64","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1227",".ctor","Mi899.BiosRowData.BiosRowData(Mi899.Data.IBios)void","L1156","L661","D:\DataCollection\repos\miyconst_Mi899\src\Mi899\BiosRowData.cs","12","9","15","10","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
