"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L3331","App","KinectFittingRoom.App","L118","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\App.xaml.cs","9","5","27","6","1","1","0","0","0","0","0","0","0","0","8","0","7","1","0","0","11","19","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0","2","0","0","0","1","0","3","0","8","11","19","0","0","0","0","2","0","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2611","MainWindow","KinectFittingRoom.MainWindow","L118","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","10","5","101","6","1","1","0","0","0","0","0","0","0","0","28","0","28","1","0","0","46","92","0","2","0","0","0","0","2","7","0","5","2","7","0","0","0","2","0","22","0","5","2","6","0","9","0","28","46","92","0","2","0","2","7","0","5","2","7","22","0","5","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3391","KinectChecking","KinectFittingRoom_UnitTests.KinectChecking","L3387","L3386","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom_UnitTests\KinectChecking.cs","7","5","29","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","21","23","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","9","0","2","0","0","3","4","0","0","21","23","0","0","0","0","2","0","2","0","2","9","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3395","PointMapping","KinectFittingRoom_UnitTests.PointMapping","L3387","L3386","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom_UnitTests\PointMapping.cs","7","5","25","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","19","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","9","0","1","0","0","2","2","0","0","17","19","0","0","0","0","1","0","1","0","1","9","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L119","BitmapToImageSourceConverter","KinectFittingRoom.Converters.BitmapToImageSourceConverter","L104","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\Converters\BitmapToImageSourceConverter.cs","8","5","30","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","20","23","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","11","0","2","0","0","3","2","0","0","20","23","0","0","0","0","2","0","2","0","2","11","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L193","BoolToVisibilityConverter","KinectFittingRoom.Converters.BoolToVisibilityConverter","L104","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\Converters\BoolToVisibilityConverter.cs","9","5","24","6","0.333333","0","0","0","0","0","0","0","0","0","3","0","3","2","0","0","15","16","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","6","0","2","0","1","2","2","0","3","15","16","0","0","0","0","2","0","2","0","2","6","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L215","DebugConverter","KinectFittingRoom.Converters.DebugConverter","L104","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\Converters\DebugConverter.cs","9","5","22","6","0.333333","0","0","0","0","0","0","0","0","0","3","0","3","2","0","0","13","14","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","4","0","2","0","1","2","2","0","3","13","14","0","0","0","0","2","0","2","0","2","4","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L232","IncreasedValueConverter","KinectFittingRoom.Converters.IncreasedValueConverter","L104","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\Converters\IncreasedValueConverter.cs","9","5","23","6","0.333333","0","0","0","0","0","0","0","0","0","3","0","3","2","0","0","13","15","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","4","0","2","0","1","2","2","0","3","13","15","0","0","0","0","2","0","2","0","2","4","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L265","ReducedValueConverter","KinectFittingRoom.Converters.ReducedValueConverter","L104","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\Converters\ReducedValueConverter.cs","9","5","40","6","1","0","0","0","0","0","0","0","0","0","24","0","24","2","0","0","11","32","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","3","0","2","0","24","11","32","0","0","0","0","2","0","2","0","2","2","0","2","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L283","ValueToVisibilityConverter","KinectFittingRoom.Converters.ValueToVisibilityConverter","L104","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\Converters\ValueToVisibilityConverter.cs","7","5","19","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","11","13","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","11","13","0","0","0","0","2","0","2","0","2","2","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
