"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L3333",".ctor","KinectFittingRoom.App.App()void","L3331","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\App.xaml.cs","11","9","14","10","0","0","0","0","0","0","0","1","0","0","0","3","4","1","0","0","0","0","0","0","0","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L3334","OnExit","KinectFittingRoom.App.OnExit(System.Windows.ExitEventArgs)void","L3331","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\App.xaml.cs","21","9","25","10","0","0","0","0","0","0","0","4","4","0","0","5","5","1","0","0","0","1","2","1","0","4","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L3344","get_LeftPosition","KinectFittingRoom.MainWindow.LeftPosition.getSystem.Windows.Point","L2611","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","21","13","21","66","0","0","0","0","0","0","0","6","6","0","0","1","1","1","0","0","0","0","1","0","0","6","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L3348","set_LeftPosition","KinectFittingRoom.MainWindow.LeftPosition.setvoid","L2611","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","22","13","22","59","0","0","0","0","0","0","0","6","6","0","0","1","1","1","0","0","0","0","1","1","0","6","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L3350","get_RightPosition","KinectFittingRoom.MainWindow.RightPosition.getSystem.Windows.Point","L2611","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","32","13","32","67","0","0","0","0","0","0","0","6","6","0","0","1","1","1","0","0","0","0","1","0","0","6","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L3354","set_RightPosition","KinectFittingRoom.MainWindow.RightPosition.setvoid","L2611","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","33","13","33","60","0","0","0","0","0","0","0","6","6","0","0","1","1","1","0","0","0","0","1","1","0","6","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L3356",".ctor","KinectFittingRoom.MainWindow.MainWindow()void","L2611","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","54","9","58","10","0","0","0","0","0","0","0","3","3","0","0","5","5","1","0","0","0","0","2","0","0","3","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L3361","Hand_PropertyChanged","KinectFittingRoom.MainWindow.Hand_PropertyChanged(System.Windows.DependencyObject, System.Windows.DependencyPropertyChangedEventArgs)void","L2611","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","66","9","71","10","0","0","0","0","0","0","0","5","5","0","0","6","6","2","0","0","0","3","3","2","0","5","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L3367","HandleHandMoved","KinectFittingRoom.MainWindow.HandleHandMoved(System.Windows.Point, System.Windows.Point)void","L2611","L103","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom\MainWindow.xaml.cs","77","9","99","10","0","0","0","0","0","0","0","5","5","0","0","20","23","5","0","0","0","2","13","2","0","5","20","23","13","0","0","0","0","0","0","0","0","0","0","0"
"L3392","CheckNoKinectExceptionHandlingText","KinectFittingRoom_UnitTests.KinectChecking.CheckNoKinectExceptionHandlingText()void","L3391","L3386","D:\DataCollection\repos\monkog_3D-Virtual-Fitting-Room\KinectFittingRoom\KinectFittingRoom_UnitTests\KinectChecking.cs","10","9","17","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","2","4","0","0","0","8","8","4","0","0","0","0","0","0","0","0","0","0","0"
