"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L25210","ReadFromUri","ReadFromUri","L100","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","6","1","124","2","0","7","0","0","0","0","0","0","0","0","0","0","0","2","0","0","97","119","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","43","0","75","0","3","0","0","4","46","0","0","97","119","0","0","0","0","3","0","3","0","3","75","0","3","0","17","0","0","6","0","0","1","0","1","1","1","1","0","2"
"L25226","FileAbstraction","FileAbstraction","L100","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","126","1","143","2","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","14","18","0","4","0","0","0","0","1","3","0","3","0","7","1","0","0","0","1","2","0","7","0","0","4","3","0","0","14","18","0","4","0","1","3","0","3","0","7","2","0","7","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L235","ByteVector","TagLib.ByteVector","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\ByteVector.cs","80","2","2851","3","0.981132","5","0","0","0","0","0","0","0","0","1497","0","1480","1","0","0","877","2772","0","10","0","0","0","0","10","110","0","105","2","110","0","2","2","3","0","420","0","105","2","104","2","113","0","1497","877","2772","0","10","0","10","110","0","105","2","110","420","0","105","2","284","0","0","20","0","0","7","0","0","5","1","1","0","13"
"L3917","ByteVectorCollection","TagLib.ByteVectorCollection","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\ByteVectorList.cs","40","2","271","3","0.888889","2","0","0","0","0","0","0","0","0","138","1","136","1","0","0","74","232","0","7","0","0","0","0","0","8","0","8","0","37","1","0","0","12","1","37","0","36","1","8","1","20","0","138","74","232","0","7","0","0","8","0","8","0","37","37","0","36","1","26","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3983","CombinedTag","TagLib.CombinedTag","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\CombinedTag.cs","33","2","2050","3","1","3","0","0.879696","4","270","0","45","0.468285","0.893692","878","1","878","1","945","765","761","2018","0","114","0","0","0","0","50","105","0","101","47","225","1","4","4","97","1","490","0","217","95","102","0","202","0","878","761","2018","0","114","0","50","105","0","101","47","225","490","0","217","95","356","0","0","525","0","0","1","503","0","1","2","0","0","19"
"L305","CorruptFileException","TagLib.CorruptFileException","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\CorruptFileException.cs","101","2","166","3","0.75","0","0","0","0","0","0","0","0","0","45","0","45","0","0","0","18","66","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","2","0","0","0","3","0","3","1","6","0","45","18","66","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4370","Debugger","TagLib.Debugger","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\Debugger.cs","29","2","136","3","0","3","0","0.329225","1","7","0","1","0.240741","0.258824","0","0","0","3","26","22","77","99","0","0","0","0","0","0","0","6","0","5","0","6","0","0","0","3","0","40","0","5","0","0","6","9","0","0","87","108","0","0","0","0","8","0","7","0","8","42","0","7","0","25","0","0","16","0","0","1","12","1","1","0","2","0","0"
"L210","File","TagLib.File","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\File.cs","86","2","1793","3","1","13","0","0","0","0","0","0","0","0","714","0","653","5","0","0","349","1542","0","7","0","0","0","0","7","45","0","33","5","45","0","11","33","19","0","203","0","33","5","34","0","64","0","874","385","1708","0","13","0","10","52","0","40","5","56","209","0","44","5","104","0","0","14","0","0","1","0","1","1","1","1","1","9"
"L4801","FileTypes","TagLib.FileTypes","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\FileTypes.cs","42","2","148","3","1","1","0","0","0","0","0","0","0","0","40","0","40","1","0","0","54","107","0","1","0","0","0","0","1","4","0","2","0","4","0","0","0","1","0","12","0","2","0","3","0","5","0","40","54","107","0","1","0","1","4","0","2","0","4","12","0","2","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2800","Genres","TagLib.Genres","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\Genres.cs","37","2","401","3","1","0","0","0","0","0","0","0","0","0","110","0","110","1","0","0","238","365","0","2","0","0","0","0","2","9","0","8","0","9","0","0","0","0","0","20","0","8","0","9","0","9","0","110","238","365","0","2","0","2","9","0","8","0","9","20","0","8","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3919","ListBase","TagLib.ListBase<T>","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\ListBase.cs","40","2","457","3","1","0","0","0","0","0","0","0","0","0","221","0","221","1","0","0","124","418","0","7","0","0","0","0","7","29","0","28","1","29","0","2","2","0","0","48","0","28","1","29","0","29","0","221","124","418","0","7","0","7","29","0","28","1","29","48","0","28","1","42","0","0","4","0","0","0","0","0","0","0","0","0","4"
"L15012","TextBox","TagLib.TextBox","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\Mpeg4\Boxes\TextBox.cs","30","2","94","3","1","5","0","0","0","0","0","0","0","0","31","1","31","0","0","0","14","65","0","10","0","0","0","0","1","3","0","3","1","28","1","0","0","2","1","5","0","18","3","4","0","5","0","31","14","65","0","10","0","1","3","0","3","1","28","5","0","18","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15038","UrlBox","TagLib.UrlBox","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\Mpeg4\Boxes\UrlBox.cs","30","2","94","3","1","5","0","0","0","0","0","0","0","0","31","1","31","0","0","0","14","65","0","10","0","0","0","0","1","3","0","3","1","28","1","0","0","2","1","5","0","18","3","4","0","5","0","31","14","65","0","10","0","1","3","0","3","1","28","5","0","18","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1663","Picture","TagLib.Picture","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\Picture.cs","223","2","628","3","0.904762","4","0","0","0","0","0","0","0","0","126","1","122","1","0","0","198","406","0","10","0","0","0","0","5","20","0","20","5","30","1","0","0","12","1","69","0","30","10","19","2","32","0","126","198","406","0","10","0","5","20","0","20","5","30","69","0","30","10","48","0","0","4","0","0","1","0","0","1","1","1","0","1"
"L12172","PictureLazy","TagLib.PictureLazy","L115","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\PictureLazy.cs","39","2","376","3","1","8","0","0.245142","1","5","0","1","0.10355","0.185714","121","1","117","1","35","26","133","338","0","12","0","0","0","0","6","17","0","17","5","29","2","1","1","17","2","81","0","29","10","18","0","34","0","121","133","338","0","12","0","6","17","0","17","5","29","81","0","29","10","41","0","0","15","0","0","1","11","0","1","0","0","1","2"
