"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L25213","Write","ReadFromUri.Write(string, object)void","L25210","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","8","2","11","3","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25216","Write","ReadFromUri.Write(string, string[])void","L25210","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","13","2","16","3","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25224","Main","ReadFromUri.Main(string[])void","L25210","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","18","2","123","3","0","0","0","0","0","0","0","0","0","0","0","86","106","13","0","0","0","44","73","1","0","0","86","106","73","0","0","4","0","0","1","0","1","1","0","2"
"L25229",".ctor","FileAbstraction.FileAbstraction(string)void","L25226","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","128","2","131","3","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25239","get_Name","FileAbstraction.Name.getstring","L25226","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","133","23","133","27","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L25243","CloseStream","FileAbstraction.CloseStream(Stream)void","L25226","L25209","D:\DataCollection\repos\mono_taglib-sharp\examples\ReadFromUri\ReadFromUri.cs","139","2","142","3","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L566",".ctor","TagLib.ByteVector.ByteVector()void","L235","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\ByteVector.cs","205","3","207","4","0","0","0","0","0","0","0","4","4","0","0","3","3","1","0","0","0","0","0","0","0","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L1848",".ctor","TagLib.ByteVector.ByteVector(TagLib.ByteVector)void","L235","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\ByteVector.cs","218","3","222","4","0","0","0","0","0","0","0","9","9","0","0","5","5","2","0","0","0","1","2","1","0","9","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L2721",".ctor","TagLib.ByteVector.ByteVector(params byte[])void","L235","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\ByteVector.cs","233","3","237","4","0","0","0","0","0","0","0","9","9","0","0","5","5","2","0","0","0","0","2","1","0","9","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L3392",".ctor","TagLib.ByteVector.ByteVector(byte[], int)void","L235","L103","D:\DataCollection\repos\mono_taglib-sharp\src\TaglibSharp\ByteVector.cs","257","3","272","4","0","0","0","0","0","0","0","17","17","0","0","14","16","4","0","0","0","0","9","2","0","17","14","16","9","0","0","0","0","0","0","0","0","0","0","0"
