"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L182","Constants","JSNLog.Constants","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Constants.cs","11","5","49","6","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","24","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","24","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L319","ContextWrapperCommon","JSNLog.ContextWrapperCommon","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","10","5","88","6","0.2","1","0","0","0","0","0","0","0","0","17","0","13","1","0","0","49","79","0","0","0","0","0","0","0","10","0","9","0","10","0","1","1","0","0","18","0","9","0","2","8","10","0","17","49","79","0","0","0","0","10","0","9","0","10","18","0","9","0","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L344","ContextWrapperExtensions","JSNLog.ContextWrapperExtensions","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperExtensions.cs","9","5","15","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L346","CoreContextWrapper","JSNLog.CoreContextWrapper","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\CoreContextWrapper.cs","11","5","57","6","0.142857","2","0","0","0","0","0","0","0","0","11","1","10","2","0","0","29","47","0","0","0","0","0","0","0","6","0","6","0","16","1","0","0","0","1","7","0","15","0","1","6","6","0","11","29","47","0","0","0","0","6","0","6","0","16","7","0","15","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L815","LogRequest","JSNLog.LogRequest","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\LogHandling\LogRequest.cs","6","5","33","6","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","26","28","0","25","0","0","0","0","6","14","0","8","6","43","2","0","0","2","2","7","0","30","13","0","9","16","0","0","26","28","0","25","0","6","14","0","8","6","43","7","0","30","13","14","0","0","7","0","0","1","0","0","0","0","1","1","5"
"L524","LogRequestBase","JSNLog.LogRequestBase","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\LogHandling\LogRequestBase.cs","6","5","52","6","0.0909091","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","42","47","0","7","0","0","0","0","7","17","0","10","7","17","0","1","1","0","0","15","0","10","7","1","10","17","0","1","42","47","0","7","0","7","17","0","10","7","17","15","0","10","7","20","0","0","5","0","0","1","0","0","0","1","1","0","3"
"L964","LoggingAdapter","JSNLog.LoggingAdapter","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\PublicFacing\AspNet5\Configuration\LoggingAdapter.cs","13","5","38","6","0.333333","4","0","0","0","0","0","0","0","0","2","1","2","1","0","0","22","26","0","0","0","0","0","0","0","2","0","2","0","3","1","0","0","4","1","16","0","3","0","1","2","6","0","2","22","26","0","0","0","0","2","0","2","0","3","16","0","3","0","8","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L992","ApplicationBuilderExtensions","JSNLog.ApplicationBuilderExtensions","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\PublicFacing\AspNet5\Configuration\Middleware\ApplicationBuilderExtensions.cs","10","5","36","6","0.333333","5","0","0","0","0","0","0","0","0","11","0","11","1","0","0","15","27","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","4","0","2","0","1","2","4","0","11","15","27","0","0","0","0","2","0","2","0","2","4","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1003","JSNLogMiddleware","JSNLog.JSNLogMiddleware","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\PublicFacing\AspNet5\LogRequestHandling\Middleware\JSNLogMiddleware.cs","31","5","103","6","0.333333","5","0","0","0","0","0","0","0","0","8","0","4","1","0","0","28","73","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","5","0","11","0","2","0","1","2","7","0","8","28","73","0","0","0","0","2","0","2","0","2","11","0","2","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1041","JlJavascriptLoggerDefinitionsTagHelper","JSNLog.JlJavascriptLoggerDefinitionsTagHelper","L104","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\PublicFacing\AspNet5\TagHelpers\JlJavascriptLoggerDefinitionsTagHelper.cs","14","5","42","6","0.285714","0","0","0","0","0","0","0","0","0","3","0","2","2","0","0","19","29","0","2","0","0","0","0","2","6","0","6","2","6","0","0","0","0","0","6","0","6","2","2","5","6","0","3","19","29","0","2","0","2","6","0","6","2","6","6","0","6","2","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
