"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L320","GetRequestUserIp","JSNLog.ContextWrapperCommon.GetRequestUserIp()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","12","9","12","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L321","GetRequestHeader","JSNLog.ContextWrapperCommon.GetRequestHeader(string)string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","13","9","13","75","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L323","GetRequestIdFromContext","JSNLog.ContextWrapperCommon.GetRequestIdFromContext()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","14","9","14","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L324","SetRequestIdInContext","JSNLog.ContextWrapperCommon.SetRequestIdInContext(string)void","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","15","9","15","70","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L326","IISRequestId","JSNLog.ContextWrapperCommon.IISRequestId()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","16","9","16","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L327","GetUserIp","JSNLog.ContextWrapperCommon.GetUserIp()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","18","9","29","10","0","0","0","0","0","0","0","0","0","0","0","10","12","2","0","0","0","2","5","0","0","0","10","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L331","GetLogRequestId","JSNLog.ContextWrapperCommon.GetLogRequestId()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","39","9","42","10","0","0","0","0","0","0","0","8","8","0","0","4","4","1","0","0","0","1","1","0","0","8","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L334","GetRequestId","JSNLog.ContextWrapperCommon.GetRequestId()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","49","9","66","10","0","0","0","0","0","0","0","5","5","0","0","14","18","3","0","0","0","4","7","0","0","5","14","18","7","0","0","0","0","0","0","0","0","0","0","0"
"L341","RequestId","JSNLog.ContextWrapperCommon.RequestId()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","68","9","82","10","0","0","0","0","0","0","0","4","0","0","0","9","15","2","0","0","0","2","4","0","0","4","9","15","4","0","0","0","0","0","0","0","0","0","0","0"
"L338","CreateNewRequestId","JSNLog.ContextWrapperCommon.CreateNewRequestId()string","L319","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperCommon.cs","84","9","87","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L345","Wrapper","JSNLog.ContextWrapperExtensions.Wrapper(Microsoft.AspNetCore.Http.HttpContext)JSNLog.CoreContextWrapper","L344","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\ContextWrapperExtensions.cs","11","9","14","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L359",".ctor","JSNLog.CoreContextWrapper.CoreContextWrapper(HttpContext)void","L346","L103","D:\DataCollection\repos\mperdeck_jsnlog\jsnlog\Infrastructure\ContextWrapper\CoreContextWrapper.cs","15","9","18","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
