"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L242","FFmpeg","Cupscale.FFmpeg","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpeg.cs","9","5","85","6","0","5","0","0","0","0","0","0","0","0","0","0","0","4","0","0","64","77","0","0","0","0","0","0","0","5","0","3","0","5","0","0","0","4","0","47","0","3","0","0","4","9","0","0","64","77","0","0","0","0","5","0","3","0","5","47","0","3","0","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L368","FFmpegCommands","Cupscale.FFmpegCommands","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","13","5","195","6","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0","0","169","183","0","0","0","0","0","0","0","14","0","13","0","14","0","0","0","6","0","122","0","13","0","0","14","20","0","0","169","183","0","0","0","0","14","0","13","0","14","122","0","13","0","44","0","0","6","0","0","1","0","1","0","0","1","0","4"
"L387","FFmpegStrings","Cupscale.FFmpegStrings","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegStrings.cs","9","5","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1476","ImageProcessing","Cupscale.ImageProcessing","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","15","5","440","6","0","17","0","0.11054","1","12","0","2","0.119718","0.137143","8","0","0","1","51","48","349","426","0","0","0","0","0","0","0","12","0","9","0","12","0","0","0","13","0","234","0","9","0","0","10","25","0","8","351","426","0","0","0","0","12","0","9","0","12","234","0","9","0","96","0","0","25","0","0","10","16","0","4","1","1","0","3"
"L1546","Config","Cupscale.Config","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\Config.cs","14","5","286","6","0.0833333","7","0","0","0","0","0","0","0","0","12","0","2","1","0","0","206","271","0","0","0","0","0","0","0","29","0","23","0","29","0","0","0","7","0","123","0","23","0","2","22","36","0","12","209","273","0","0","0","0","29","0","23","0","29","123","0","23","0","66","0","0","4","0","0","2","0","0","1","0","1","0","2"
"L414","IoUtils","Cupscale.IoUtils","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\IOUtils.cs","19","5","603","6","0.05","2","0","0","0","0","0","0","0","0","11","0","6","25","0","0","499","585","0","0","0","0","0","0","0","40","0","39","0","40","0","0","0","3","0","266","0","39","0","2","38","43","0","11","499","585","0","0","0","0","40","0","39","0","40","266","0","39","0","117","0","0","9","0","0","1","0","1","1","0","1","0","6"
"L4144","EsrganData","Cupscale.EsrganData","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\Main\EsrganData.cs","8","2","60","3","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","50","53","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","4","0","24","0","3","0","0","4","7","0","0","50","53","0","0","0","0","3","0","3","0","3","24","0","3","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L277","Logger","Cupscale.Logger","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\Main\Logger.cs","10","2","89","3","0","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","64","80","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","3","0","29","0","6","0","0","7","9","0","1","64","80","0","0","0","0","6","0","6","0","6","29","0","6","0","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L342","Program","Cupscale.Program","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\Main\Program.cs","23","5","148","6","0","10","0","0","0","0","0","0","0","0","0","0","0","6","0","0","110","126","0","0","0","0","0","0","0","9","0","7","0","9","0","0","0","16","0","50","0","7","0","0","8","25","0","0","110","126","0","0","0","0","9","0","7","0","9","50","0","7","0","14","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L4697","ClipboardComparison","Cupscale.ClipboardComparison","L112","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\Preview\ClipboardComparison.cs","21","5","337","6","0","13","0","0","0","0","0","0","0","0","5","0","0","2","0","0","267","317","0","0","0","0","0","0","0","8","0","4","0","8","0","0","0","12","0","163","0","4","0","0","5","20","0","5","267","317","0","0","0","0","8","0","4","0","8","163","0","4","0","33","0","0","6","0","0","1","0","1","0","2","1","0","2"
