"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L247","Run","Cupscale.FFmpeg.Run(string)System.Threading.Tasks.Task","L242","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpeg.cs","13","9","30","10","0","0","0","0","0","0","0","0","0","0","0","16","18","2","0","0","0","3","13","1","0","0","16","18","13","0","0","0","0","0","0","0","0","0","0","0"
"L320","OutputHandler","Cupscale.FFmpeg.OutputHandler(object, System.Diagnostics.DataReceivedEventArgs)void","L242","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpeg.cs","32","9","41","10","0","0","0","0","0","0","0","0","0","0","0","9","10","4","0","0","0","2","7","2","0","0","9","10","7","0","0","0","0","0","0","0","0","0","0","0"
"L347","RunGifski","Cupscale.FFmpeg.RunGifski(string)System.Threading.Tasks.Task","L242","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpeg.cs","43","9","59","10","0","0","0","0","0","0","0","0","0","0","0","15","17","2","0","0","0","3","12","1","0","0","15","17","12","0","0","0","0","0","0","0","0","0","0","0"
"L349","OutputHandlerGifski","Cupscale.FFmpeg.OutputHandlerGifski(object, System.Diagnostics.DataReceivedEventArgs)void","L242","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpeg.cs","61","9","69","10","0","0","0","0","0","0","0","0","0","0","0","8","9","4","0","0","0","2","6","2","0","0","8","9","6","0","0","0","0","0","0","0","0","0","0","0"
"L352","RunAndGetOutput","Cupscale.FFmpeg.RunAndGetOutput(string)string","L242","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpeg.cs","71","9","84","10","0","0","0","0","0","0","0","0","0","0","0","12","14","2","0","0","0","2","9","1","0","0","12","14","9","0","0","0","0","0","0","0","0","0","0","0"
"L369","VideoToFrames","Cupscale.FFmpegCommands.VideoToFrames(string, string, bool, bool, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","15","9","28","10","0","0","0","0","0","0","0","0","0","0","0","14","14","5","0","0","0","3","13","5","0","0","14","14","13","0","0","0","0","0","0","0","0","0","0","0"
"L395","ExtractSingleFrame","Cupscale.FFmpegCommands.ExtractSingleFrame(string, int, bool, bool)void","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","30","9","39","10","0","0","0","0","0","0","0","0","0","0","0","10","10","3","0","0","0","3","7","4","0","0","10","10","7","0","0","0","0","0","0","0","0","0","0","0"
"L404","FramesToMp4","Cupscale.FFmpegCommands.FramesToMp4(string, bool, int, float, string, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","41","9","51","10","0","0","0","0","0","0","0","0","0","0","0","11","11","3","0","0","0","3","8","6","0","0","11","11","8","0","0","1","0","0","0","0","0","0","0","1"
"L432","FramesToOneFpsMp4","Cupscale.FFmpegCommands.FramesToOneFpsMp4(string, bool, int, int, string, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","53","9","63","10","0","0","0","0","0","0","0","0","0","0","0","11","11","3","0","0","0","3","8","6","0","0","11","11","8","0","0","1","0","0","0","0","0","0","0","1"
"L439","FramesToMp4Looped","Cupscale.FFmpegCommands.FramesToMp4Looped(string, bool, int, int, int, string, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","65","9","75","10","0","0","0","0","0","0","0","0","0","0","0","11","11","3","0","0","0","3","8","7","0","0","11","11","8","0","0","1","0","0","1","0","0","0","0","1"
"L447","FramesToApng","Cupscale.FFmpegCommands.FramesToApng(string, bool, int, string, bool)void","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","77","9","86","10","0","0","0","0","0","0","0","0","0","0","0","10","10","3","0","0","0","3","8","5","0","0","10","10","8","0","0","0","0","0","0","0","0","0","0","0"
"L453","FramesToGif","Cupscale.FFmpegCommands.FramesToGif(string, bool, int, string, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","88","9","97","10","0","0","0","0","0","0","0","0","0","0","0","10","10","3","0","0","0","3","8","5","0","0","10","10","8","0","0","0","0","0","0","0","0","0","0","0"
"L459","LoopVideo","Cupscale.FFmpegCommands.LoopVideo(string, int, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","99","9","107","10","0","0","0","0","0","0","0","0","0","0","0","9","9","2","0","0","0","2","6","3","0","0","9","9","6","0","0","0","0","0","0","0","0","0","0","0"
"L470","LoopVideoEnc","Cupscale.FFmpegCommands.LoopVideoEnc(string, int, bool, int, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","109","9","119","10","0","0","0","0","0","0","0","0","0","0","0","11","11","3","0","0","0","2","9","5","0","0","11","11","9","0","0","0","0","0","0","0","0","0","0","0"
"L476","ChangeSpeed","Cupscale.FFmpegCommands.ChangeSpeed(string, float, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","121","9","131","10","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","2","8","3","0","0","11","11","8","0","0","0","0","0","0","0","0","0","0","0"
"L487","Encode","Cupscale.FFmpegCommands.Encode(string, string, string, int, int, bool)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","133","9","151","10","0","0","0","0","0","0","0","0","0","0","0","19","19","4","0","0","0","2","15","6","0","0","19","19","15","0","0","1","0","0","0","0","0","0","0","1"
"L501","MergeAudio","Cupscale.FFmpegCommands.MergeAudio(string, string)System.Threading.Tasks.Task","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","153","9","166","10","0","0","0","0","0","0","0","0","0","0","0","14","14","2","0","0","0","3","9","2","0","0","14","14","9","0","0","0","0","0","0","0","0","0","0","0"
"L514","GetFramerate","Cupscale.FFmpegCommands.GetFramerate(string)float","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","168","9","184","10","0","0","0","0","0","0","0","0","0","0","0","17","17","3","0","0","0","2","10","1","0","0","17","17","10","0","0","0","0","0","0","0","0","0","0","0"
"L393","DeleteSource","Cupscale.FFmpegCommands.DeleteSource(string)void","L368","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\FFmpeg\FFmpegCommands.cs","186","9","194","10","0","0","0","0","0","0","0","0","0","0","0","8","9","5","0","0","0","2","5","1","0","0","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L2782","ConvertImageToOriginalFormat","Cupscale.ImageProcessing.ConvertImageToOriginalFormat(string, bool, bool, bool)System.Threading.Tasks.Task","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","29","9","64","10","0","0","0","0","0","0","0","0","0","0","0","27","36","11","0","0","0","5","21","4","0","0","27","36","21","0","0","1","0","0","2","0","1","0","0","0"
"L2791","GetTrimmedExtension","Cupscale.ImageProcessing.GetTrimmedExtension(System.IO.FileInfo)string","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","66","9","69","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2811","PreProcessImages","Cupscale.ImageProcessing.PreProcessImages(string, bool)System.Threading.Tasks.Task","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","71","9","83","10","0","0","0","0","0","0","0","0","0","0","0","13","13","2","0","0","0","4","8","2","0","0","13","13","8","0","0","0","0","0","0","0","0","0","0","0"
"L2816","PreProcessImage","Cupscale.ImageProcessing.PreProcessImage(string, bool)System.Threading.Tasks.Task","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","85","9","113","10","0","0","0","0","0","0","0","1","0","0","0","21","29","5","0","0","0","5","17","2","0","1","21","29","17","0","0","0","0","0","0","0","0","0","0","0"
"L1486","ConvertImage","Cupscale.ImageProcessing.ConvertImage(string, Cupscale.ImageProcessing.Format, bool, Cupscale.ImageProcessing.ExtMode, bool, string, bool)System.Threading.Tasks.Task","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","116","9","214","10","0.247126","1","6","0","1","0.242424","0.258065","1","0","24","24","93","99","21","0","0","0","10","61","7","0","1","93","99","61","0","0","10","0","0","3","7","1","0","0","2"
"L2852","GetOutPath","Cupscale.ImageProcessing.GetOutPath(string, string, Cupscale.ImageProcessing.ExtMode, string)string","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","216","9","231","10","0","0","0","0","0","0","0","0","0","0","0","12","16","5","0","0","0","0","9","4","0","0","12","16","9","0","0","0","0","0","0","0","0","0","0","0"
"L2825","CheckColorDepth","Cupscale.ImageProcessing.CheckColorDepth(string, ImageMagick.MagickImage)ImageMagick.MagickImage","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","233","9","247","10","0","0","0","0","0","0","0","0","0","0","0","14","15","2","0","0","0","2","9","2","0","0","14","15","9","0","0","0","0","0","0","0","0","0","0","0"
"L2808","PostProcessImage","Cupscale.ImageProcessing.PostProcessImage(string, Cupscale.ImageProcessing.Format, bool)System.Threading.Tasks.Task","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","249","9","346","10","0.267635","1","6","0","1","0.27551","0.296296","0","0","27","24","81","98","19","0","0","0","8","54","3","0","0","81","98","54","0","0","9","0","0","2","7","1","0","0","1"
"L2795","PostProcessDDS","Cupscale.ImageProcessing.PostProcessDDS(string)System.Threading.Tasks.Task","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","348","9","374","10","0","0","0","0","0","0","0","0","0","0","0","20","27","6","0","0","0","4","16","1","0","0","20","27","16","0","0","0","0","0","1","0","0","0","0","0"
"L2829","ResizeImagePre","Cupscale.ImageProcessing.ResizeImagePre(ImageMagick.MagickImage)ImageMagick.MagickImage","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","376","9","384","10","0","0","0","0","0","0","0","1","0","0","0","8","9","3","0","0","0","3","5","1","0","1","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L2931","ResizeImagePost","Cupscale.ImageProcessing.ResizeImagePost(ImageMagick.MagickImage)ImageMagick.MagickImage","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","386","9","394","10","0","0","0","0","0","0","0","1","0","0","0","8","9","3","0","0","0","3","5","1","0","1","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L1637","ResizeImageAdvancedMagick","Cupscale.ImageProcessing.ResizeImageAdvancedMagick(ImageMagick.MagickImage, int, Cupscale.Main.Upscale.ScaleMode, ImageMagick.FilterType, bool)ImageMagick.MagickImage","L1476","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\ImageUtils\ImageProcessing.cs","396","9","439","10","0","0","0","0","0","0","0","4","0","0","0","37","44","18","0","0","0","1","28","5","0","4","37","44","28","0","0","1","0","0","2","0","1","0","0","0"
"L3394","Init","Cupscale.Config.Init()void","L1546","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\Config.cs","19","9","24","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","3","3","0","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L3402","Reset","Cupscale.Config.Reset(int, Cupscale.Forms.SettingsForm)System.Threading.Tasks.Task","L1546","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\Config.cs","26","9","48","10","0","0","0","0","0","0","0","0","0","0","0","21","23","4","0","0","0","1","13","2","0","0","21","23","13","0","0","0","0","0","0","0","0","0","0","0"
"L3410","Set","Cupscale.Config.Set(Cupscale.Config.Key, string)void","L1546","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\Config.cs","50","9","53","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1975","Set","Cupscale.Config.Set(string, string)void","L1546","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\Config.cs","55","9","60","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","2","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L3426","Set","Cupscale.Config.Set(System.Collections.Generic.Dictionary<string, string>)void","L1546","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\Config.cs","62","9","70","10","0","0","0","0","0","0","0","0","0","0","0","7","9","2","0","0","0","2","4","1","0","0","7","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L3424","WriteConfig","Cupscale.Config.WriteConfig()void","L1546","L103","D:\DataCollection\repos\n00mkrad_cupscale\Code\IO\Config.cs","72","9","76","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
