"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L130","Controller","FreeControl.Controller","L104","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","12","5","181","6","0.142857","4","0","0.300878","2","5","0","5","0","0","52","0","11","5","0","0","280","347","0","0","0","0","0","0","0","11","0","6","0","11","0","0","0","5","0","169","0","6","0","1","6","16","0","52","288","380","0","0","0","0","11","0","6","0","11","169","0","6","0","20","0","0","18","0","0","2","10","1","0","0","2","0","5"
"L662","Loading","FreeControl.Loading","L104","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Loading.cs","15","5","49","6","0","0","0","0","0","0","0","0","0","0","32","0","8","3","0","0","65","109","0","0","0","0","0","0","0","5","0","2","0","5","0","0","0","0","0","38","0","2","0","0","3","5","0","32","65","109","0","0","0","0","5","0","2","0","5","38","0","2","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L807","Trusteeship","FreeControl.Trusteeship","L104","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Trusteeship.cs","13","5","25","6","0.5","2","0","0","0","0","0","0","0","0","15","0","11","2","0","0","37","62","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","2","0","19","0","1","0","1","1","5","0","15","37","62","0","0","0","0","3","0","1","0","3","19","0","1","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L239","Main","FreeControl.Main","L104","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Main.cs","17","5","870","6","0.666667","8","0","0.306135","7","32","0","17","0.0913349","0.115207","233","0","61","6","78","75","1350","1639","0","1","0","0","0","0","1","33","0","8","0","33","0","0","0","62","0","953","0","8","0","6","3","95","0","233","1350","1701","0","1","0","1","33","0","8","0","33","953","0","8","0","96","0","0","55","0","0","5","31","1","2","4","1","0","16"
"L2035","Program","FreeControl.Program","L104","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Program.cs","10","5","59","6","0","3","0","0","0","0","0","0","0","0","6","0","0","2","0","0","40","50","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","4","0","18","0","0","0","0","1","6","0","6","40","50","0","0","0","0","2","0","0","0","2","18","0","0","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L830","Setting","FreeControl.Setting","L104","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Setting.cs","9","5","177","6","0.469697","0","0","0","0","0","0","0","0","0","48","0","47","0","0","0","62","169","0","33","0","0","0","0","33","65","0","65","32","65","0","0","0","0","0","1","0","65","32","31","35","65","0","48","62","169","0","33","0","33","65","0","65","32","65","1","0","65","32","65","0","0","15","0","0","1","0","0","0","0","1","0","14"
"L753","Resources","FreeControl.Properties.Resources","L751","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Properties\Resources.Designer.cs","22","5","122","6","0","0","0","0","0","0","0","0","0","0","8","0","8","0","0","0","54","101","0","8","0","0","0","0","8","10","0","0","1","10","0","0","0","0","0","18","0","0","1","0","1","10","0","8","54","101","0","8","0","8","10","0","0","1","10","18","0","0","1","11","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L2551","Settings","FreeControl.Properties.Settings","L751","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Properties\Settings.Designer.cs","14","5","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","9","12","0","1","0","1","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L394","ADB","FreeControl.Utils.ADB","L2216","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Utils\ADB.cs","12","5","145","6","0.857143","4","0","0","0","0","0","0","0","0","24","0","24","4","0","0","95","134","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","2","0","29","0","6","0","6","1","8","0","24","95","134","0","0","0","0","6","0","6","0","6","29","0","6","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1588","FileHelper","FreeControl.Utils.FileHelper","L2216","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Utils\FileHelper.cs","10","5","48","6","0.5","0","0","0","0","0","0","0","0","0","5","0","4","1","0","0","32","39","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","15","0","1","0","1","1","1","0","5","32","39","0","0","0","0","1","0","1","0","1","15","0","1","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L891","JsonHelper","FreeControl.Utils.JsonHelper","L2216","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Utils\JsonHelper.cs","11","5","30","6","0.333333","0","0","0","0","0","0","0","0","0","7","0","5","2","0","0","13","20","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","4","0","2","0","1","2","2","0","7","13","20","0","0","0","0","2","0","2","0","2","4","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L918","Logger","FreeControl.Utils.Logger","L2216","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Utils\Logger.cs","10","5","76","6","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","46","67","0","0","0","0","0","0","0","6","0","5","0","6","0","0","0","0","0","16","0","5","0","0","6","6","0","6","46","67","0","0","0","0","6","0","5","0","6","16","0","5","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2389","Logger2","FreeControl.Utils.Logger2","L2216","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Utils\Logger.cs","78","5","183","6","0.666667","0","0","0","0","0","0","0","0","0","17","0","17","1","0","0","61","106","0","1","0","0","0","0","1","7","0","5","0","7","0","0","0","0","0","20","0","5","0","4","2","7","0","17","61","106","0","1","0","1","7","0","5","0","7","20","0","5","0","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2273","SysEnvironment","FreeControl.Utils.SysEnvironment","L2216","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Utils\SysEnvironment.cs","10","5","189","6","0.666667","0","0","0","0","0","0","0","0","0","39","0","33","3","0","0","123","180","0","0","0","0","0","0","0","9","0","8","0","9","0","0","0","0","0","61","0","8","0","6","3","9","0","39","123","180","0","0","0","0","9","0","8","0","9","61","0","8","0","27","0","0","2","0","0","0","0","1","0","0","1","0","0"
