"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L161","GetWindowRect","FreeControl.Controller.GetWindowRect(System.IntPtr, out FreeControl.Controller.Rect)bool","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","14","9","15","79","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L193",".ctor","FreeControl.Controller.Controller()void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","43","9","60","10","0","0","0","0","0","0","0","0","0","0","0","17","15","1","0","0","0","3","7","0","0","0","17","18","7","0","0","0","0","0","0","0","0","0","0","0"
"L251","StopTimer","FreeControl.Controller.StopTimer()void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","62","9","66","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L254","OnTimedEvent","FreeControl.Controller.OnTimedEvent(object, System.Timers.ElapsedEventArgs)void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","68","9","90","10","0","0","0","0","0","0","0","0","0","0","0","23","7","2","0","0","0","0","3","2","0","0","23","23","3","0","0","0","0","0","1","0","0","0","0","0"
"L201","InitFormSizeAndLocation","FreeControl.Controller.InitFormSizeAndLocation()void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","95","9","131","10","0","0","0","0","0","0","0","8","0","0","0","29","34","4","0","0","0","4","12","0","0","8","29","37","12","0","0","0","0","0","0","0","0","0","0","0"
"L199","InitButton","FreeControl.Controller.InitButton()void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","136","9","161","10","0","0","0","0","0","0","0","0","0","0","0","26","21","4","0","0","0","1","8","0","0","0","26","26","8","0","0","0","0","0","0","0","0","0","0","0"
"L442","ReleaseCapture","FreeControl.Controller.ReleaseCapture()bool","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","164","9","165","52","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L443","SendMessage","FreeControl.Controller.SendMessage(System.IntPtr, int, int, int)bool","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","166","9","167","94","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","4","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L451","DragWindow","FreeControl.Controller.DragWindow()void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.cs","175","9","179","10","0","0","0","0","0","0","0","3","3","0","0","5","5","1","0","0","0","2","2","0","0","3","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L464","Dispose","FreeControl.Controller.Dispose(bool)void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.Designer.cs","15","9","22","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L197","InitializeComponent","FreeControl.Controller.InitializeComponent()void","L130","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Controller.Designer.cs","30","9","200","10","0.412135","2","5","0","5","0.403509","0.394161","37","4","69","54","137","171","1","0","0","0","0","132","0","0","37","137","171","132","0","0","12","0","0","1","7","0","0","0","5"
"L667",".ctor","FreeControl.Loading.Loading(string)void","L662","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Loading.cs","19","9","23","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L672",".ctor","FreeControl.Loading.Loading()void","L662","L103","D:\DataCollection\repos\pdone_FreeControl\FreeControl\Loading.cs","25","9","28","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
