"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L125","ArrayEqualityComparer","Libplanet.Common.ArrayEqualityComparer<T>","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ArrayEqualityComparer.cs","13","5","97","6","1","0","0","0","0","0","0","0","0","0","17","0","17","1","0","0","68","85","0","1","0","0","0","0","1","4","0","4","0","4","0","0","0","0","0","24","0","4","0","5","0","4","0","17","68","85","0","1","0","1","4","0","4","0","4","24","0","4","0","18","0","0","1","0","0","1","0","0","1","0","0","0","0"
"L216","ByteArrayExtensions","Libplanet.Common.ByteArrayExtensions","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteArrayExtensions.cs","9","5","86","6","0.333333","0","0","0","0","0","0","0","0","0","5","0","3","2","0","0","56","78","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","23","0","2","0","1","2","2","0","5","56","78","0","0","0","0","2","0","2","0","2","23","0","2","0","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L247","ByteUtil","Libplanet.Common.ByteUtil","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteUtil.cs","18","5","235","6","0.125","0","0","0","0","0","0","0","0","0","5","0","3","6","0","0","102","218","0","0","0","0","0","0","0","7","0","7","0","7","0","0","0","0","0","43","0","7","0","1","7","7","0","5","102","218","0","0","0","0","7","0","7","0","7","43","0","7","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L397","EnumerableExtensions","Libplanet.Common.EnumerableExtensions","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\EnumerableExtensions.cs","11","5","101","6","0.5","0","0","0","0","0","0","0","0","0","14","0","14","1","0","0","28","91","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","12","0","1","0","1","1","1","0","14","28","91","0","0","0","0","1","0","1","0","1","12","0","1","0","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L434","FixedSizedQueue","Libplanet.Common.FixedSizedQueue<T>","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\FixedSizedQueue.cs","12","5","55","6","1","0","0","0","0","0","0","0","0","0","23","0","21","1","0","0","20","44","0","1","0","0","0","0","1","3","0","3","0","3","0","0","0","0","0","5","0","3","0","4","0","3","0","23","20","44","0","1","0","1","3","0","3","0","3","5","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L674","HashDigestExtensions","Libplanet.Common.HashDigestExtensions","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\HashDigest.cs","311","5","340","6","1","1","0","0","0","0","0","0","0","0","26","0","26","1","0","0","8","30","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","2","0","2","0","26","8","30","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L680","HashDigestTypeConverter","Libplanet.Common.HashDigestTypeConverter","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\HashDigest.cs","345","5","430","6","0.666667","0","0","0","0","0","0","0","0","0","6","0","6","4","0","0","70","86","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","14","0","5","0","4","2","5","0","6","70","86","0","0","0","0","5","0","5","0","5","14","0","5","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L802","HashDigestJsonConverter","Libplanet.Common.HashDigestJsonConverter","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\HashDigest.cs","434","5","488","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","49","55","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","12","0","3","0","0","4","3","0","0","49","55","0","0","0","0","3","0","3","0","3","12","0","3","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L883","NameValueCollectionExtensions","Libplanet.Common.NameValueCollectionExtensions","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\NameValueCollectionExtensions.cs","11","5","163","6","1","0","0","0","0","0","0","0","0","0","85","0","85","3","0","0","66","153","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","9","0","5","0","6","0","5","0","85","66","153","0","0","0","0","5","0","5","0","5","9","0","5","0","14","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L961","NonceJsonConverter","Libplanet.Common.NonceJsonConverter","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\Nonce.cs","99","5","129","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","29","31","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","4","0","2","0","0","3","4","0","0","29","31","0","0","0","0","2","0","2","0","2","4","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L993","TimeSpanExtensions","Libplanet.Common.TimeSpanExtensions","L104","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\TimeSpanExtensions.cs","5","5","60","6","0","0","0","0","0","0","0","0","0","0","14","0","0","1","0","0","37","56","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","0","0","14","0","2","0","0","3","3","0","14","37","56","0","0","0","0","3","0","2","0","3","14","0","2","0","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1150","AddressTypeConverter","Libplanet.Crypto.AddressTypeConverter","L1044","L1043","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Crypto\Address.cs","355","5","390","6","0.8","0","0","0","0","0","0","0","0","0","6","0","6","4","0","0","26","36","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","0","0","0","0","4","0","4","1","4","0","6","26","36","0","0","0","0","4","0","4","0","4","0","0","4","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1178","AddressJsonConverter","Libplanet.Crypto.AddressJsonConverter","L1044","L1043","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Crypto\Address.cs","392","5","422","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","29","31","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","4","0","2","0","0","3","3","0","0","29","31","0","0","0","0","2","0","2","0","2","4","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1191","AddressExtensions","Libplanet.Crypto.AddressExtensions","L1044","L1043","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Crypto\AddressExtensions.cs","8","5","40","6","1","3","0","0","0","0","0","0","0","0","26","0","26","2","0","0","11","33","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","2","0","2","0","3","0","4","0","26","11","33","0","0","0","0","2","0","2","0","2","2","0","2","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L1205","CryptoConfig","Libplanet.Crypto.CryptoConfig","L1044","L1043","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Crypto\CryptoConfig.cs","8","5","20","6","1","2","0","0","0","0","0","0","0","0","6","0","6","0","0","0","7","13","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","0","0","2","1","3","0","2","0","6","7","13","0","1","0","1","2","0","2","1","2","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1224","DefaultCryptoBackend","Libplanet.Crypto.DefaultCryptoBackend<T>","L1044","L1043","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Crypto\DefaultCryptoBackend.cs","11","5","68","6","0","4","0","0","0","0","0","0","0","0","0","1","0","2","0","0","52","58","0","0","0","0","0","0","0","2","0","2","0","4","1","0","0","2","1","23","0","4","0","0","3","4","0","0","52","58","0","0","0","0","2","0","2","0","4","23","0","4","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1239","GenerateKeyParamTriesExceedException","Libplanet.Crypto.GenerateKeyParamTriesExceedException","L1044","L1043","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Crypto\GenerateKeyParamTriesExceedException.cs","6","5","29","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","24","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","0","0","3","0","0","4","4","0","0","21","24","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1260","InvalidCiphertextException","Libplanet.Crypto.InvalidCiphertextException","L1044","L1043","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Crypto\InvalidCiphertextException.cs","6","5","31","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","26","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","0","0","3","0","0","4","4","0","0","23","26","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
