"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L143",".ctor","Libplanet.Common.ArrayEqualityComparer<T>.ArrayEqualityComparer(System.Collections.Generic.IEqualityComparer<T>?)void","L125","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ArrayEqualityComparer.cs","21","9","24","10","0","0","0","0","0","0","0","5","5","0","0","4","4","1","0","0","0","1","1","1","0","5","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L152","get_ElementComparer","Libplanet.Common.ArrayEqualityComparer<T>.ElementComparer.getSystem.Collections.Generic.IEqualityComparer<T>?","L125","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ArrayEqualityComparer.cs","29","56","29","60","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L157","Equals","Libplanet.Common.ArrayEqualityComparer<T>.Equals(T[]?, T[]?)bool","L125","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ArrayEqualityComparer.cs","32","9","69","10","0","0","0","0","0","0","0","1","1","0","0","36","38","11","0","0","0","1","14","2","0","1","36","38","14","0","0","1","0","0","1","0","1","0","0","0"
"L199","GetHashCode","Libplanet.Common.ArrayEqualityComparer<T>.GetHashCode(T[]?)int","L125","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ArrayEqualityComparer.cs","72","9","96","10","0","0","0","0","0","0","0","1","1","0","0","23","25","5","0","0","0","1","9","1","0","1","23","25","9","0","0","0","0","0","0","0","0","0","0","0"
"L218","StartsWith","Libplanet.Common.ByteArrayExtensions.StartsWith(byte[]?, byte[]?)bool","L216","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteArrayExtensions.cs","23","9","50","10","0","0","0","0","0","0","0","0","0","0","0","24","28","7","0","0","0","0","10","2","0","0","24","28","10","0","0","0","0","0","0","0","0","0","0","0"
"L244","IndexOf","Libplanet.Common.ByteArrayExtensions.IndexOf(byte[], byte[])int","L216","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteArrayExtensions.cs","52","9","85","10","0","0","0","0","0","0","0","2","0","0","0","29","34","8","0","0","0","0","13","2","0","2","29","34","13","0","0","0","0","0","0","0","0","0","0","0"
"L253","ParseHex","Libplanet.Common.ByteUtil.ParseHex(string)byte[]","L247","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteUtil.cs","44","9","63","10","0","0","0","0","0","0","0","0","0","0","0","18","20","3","0","0","0","0","6","1","0","0","18","20","6","0","0","0","0","0","0","0","0","0","0","0"
"L295","ParseHexToImmutable","Libplanet.Common.ByteUtil.ParseHexToImmutable(string)ImmutableArray<byte>","L247","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteUtil.cs","81","9","88","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","1","3","1","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L302","Hex","Libplanet.Common.ByteUtil.Hex(byte[])string","L247","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteUtil.cs","100","9","125","10","0","0","0","0","0","0","0","0","0","0","0","14","26","2","0","0","0","0","8","1","0","0","14","26","8","0","0","0","0","0","0","0","0","0","0","0"
"L333","Hex","Libplanet.Common.ByteUtil.Hex(in ImmutableArray<byte>)string","L247","L103","D:\DataCollection\repos\planetarium_libplanet\Libplanet.Common\ByteUtil.cs","137","9","139","81","0","0","0","0","0","0","0","0","0","0","0","3","3","2","0","0","0","0","0","1","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
