"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L179","App","SimpleMusicPlayer.App","L104","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\App.xaml.cs","24","5","118","6","0.5","7","0","0","0","0","0","0","0","0","15","0","3","3","0","0","53","89","0","0","0","0","0","0","0","5","0","1","0","5","0","0","0","9","0","23","0","1","0","1","1","14","0","15","53","95","0","0","0","0","5","0","1","0","5","23","0","1","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L4713","SafeDictionary","TinyIoC.SafeDictionary<TKey, TValue>","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","94","5","208","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","94","115","0","1","0","0","0","0","1","6","0","6","1","6","0","0","0","0","0","33","0","6","1","0","7","6","0","0","94","115","0","1","0","1","6","0","6","1","6","33","0","6","1","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4786","AssemblyExtensions","TinyIoC.AssemblyExtensions","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","299","5","327","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","25","29","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","7","0","1","0","0","2","1","0","0","25","29","0","0","0","0","1","0","1","0","1","7","0","1","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4802","TypeExtensions","TinyIoC.TypeExtensions","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","332","5","532","3","0.5","2","0","0","0","0","0","0","0","0","41","0","38","1","0","0","35","122","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","3","0","11","0","1","0","1","1","6","0","41","96","201","0","0","0","0","7","0","4","0","7","43","0","4","0","5","0","0","2","0","0","1","0","0","0","0","2","0","0"
"L4944","TinyIoCResolutionException","TinyIoC.TinyIoCResolutionException","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","552","5","567","6","0.333333","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","13","16","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","0","0","2","0","1","2","4","0","1","13","16","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4955","TinyIoCRegistrationTypeException","TinyIoC.TinyIoCRegistrationTypeException","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","572","5","587","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","0","0","2","0","0","3","4","0","0","13","16","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4965","TinyIoCRegistrationException","TinyIoC.TinyIoCRegistrationException","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","592","5","618","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","27","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","2","0","0","0","4","0","0","5","6","0","0","22","27","0","0","0","0","4","0","4","0","4","0","0","4","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4984","TinyIoCWeakReferenceException","TinyIoC.TinyIoCWeakReferenceException","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","623","5","638","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","0","0","2","0","0","3","4","0","0","13","16","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4992","TinyIoCConstructorResolutionException","TinyIoC.TinyIoCConstructorResolutionException","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","643","5","668","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","26","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","2","0","0","0","4","0","0","5","6","0","0","21","26","0","0","0","0","4","0","4","0","4","0","0","4","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L5005","TinyIoCAutoRegistrationException","TinyIoC.TinyIoCAutoRegistrationException","L4710","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","673","5","696","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","24","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","2","0","3","0","2","0","0","3","5","0","0","19","24","0","0","0","0","3","0","2","0","3","3","0","2","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
