"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L190",".ctor","SimpleMusicPlayer.App.App()void","L179","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\App.xaml.cs","27","9","72","10","0","0","0","0","0","0","0","11","0","0","0","24","46","2","0","0","0","7","16","0","0","11","24","46","16","0","0","0","0","0","0","0","0","0","0","0"
"L313","OnStartup","SimpleMusicPlayer.App.OnStartup(System.Windows.StartupEventArgs)void","L179","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\App.xaml.cs","74","9","80","10","0","0","0","0","0","0","0","0","0","0","0","6","7","2","0","0","0","2","3","1","0","0","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L338","OnExit","SimpleMusicPlayer.App.OnExit(System.Windows.ExitEventArgs)void","L179","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\App.xaml.cs","82","9","87","10","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","3","2","1","0","0","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L348","NewStartupArgs","SimpleMusicPlayer.App.NewStartupArgs(object, SimpleMusicPlayer.Core.SecondInstanceStartedEventArgs)void","L179","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\App.xaml.cs","99","9","103","10","0","0","0","0","0","0","0","1","0","0","0","4","5","1","0","0","0","2","1","2","0","1","4","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L356","ProcessCommandLineArgs","SimpleMusicPlayer.App.ProcessCommandLineArgs(System.Collections.Generic.IEnumerable<string>)void","L179","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\App.xaml.cs","107","9","117","10","0","0","0","0","0","0","0","0","0","0","0","11","5","3","0","0","0","0","1","1","0","0","11","11","1","0","0","0","0","0","0","0","0","0","0","0"
"L4728","set_Item","TinyIoC.SafeDictionary<TKey, TValue>.this[TKey].setvoid","L4713","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","103","13","124","14","0","0","0","0","0","0","0","0","0","0","0","19","22","3","0","0","0","0","9","2","0","0","19","22","9","0","0","0","0","0","0","0","0","0","0","0"
"L4747","TryGetValue","TinyIoC.SafeDictionary<TKey, TValue>.TryGetValue(TKey, out TValue)bool","L4713","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","127","9","138","10","0","0","0","0","0","0","0","0","0","0","0","12","12","1","0","0","0","0","4","2","0","0","12","12","4","0","0","0","0","0","0","0","0","0","0","0"
"L4754","Remove","TinyIoC.SafeDictionary<TKey, TValue>.Remove(TKey)bool","L4713","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","140","9","151","10","0","0","0","0","0","0","0","0","0","0","0","12","12","1","0","0","0","0","4","1","0","0","12","12","4","0","0","0","0","0","0","0","0","0","0","0"
"L4759","Clear","TinyIoC.SafeDictionary<TKey, TValue>.Clear()void","L4713","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","153","9","164","10","0","0","0","0","0","0","0","0","0","0","0","12","12","1","0","0","0","0","4","0","0","0","12","12","4","0","0","0","0","0","0","0","0","0","0","0"
"L4762","get_Keys","TinyIoC.SafeDictionary<TKey, TValue>.Keys.getSystem.Collections.Generic.IEnumerable<TKey>","L4713","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","168","13","179","14","0","0","0","0","0","0","0","0","0","0","0","12","12","1","0","0","0","0","4","0","0","0","12","12","4","0","0","0","0","0","0","0","0","0","0","0"
"L4779","Dispose","TinyIoC.SafeDictionary<TKey, TValue>.Dispose()void","L4713","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","184","9","205","10","0","0","0","0","0","0","0","0","0","0","0","19","22","2","0","0","0","0","8","0","0","0","19","22","8","0","0","0","0","0","0","0","0","0","0","0"
"L4787","SafeGetTypes","TinyIoC.AssemblyExtensions.SafeGetTypes(System.Reflection.Assembly)System.Type[]","L4786","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","303","9","326","10","0","0","0","0","0","0","0","0","0","0","0","21","24","4","0","0","0","0","7","1","0","0","21","24","7","0","0","0","0","0","0","0","0","0","0","0"
"L4810",".cctor","TinyIoC.TypeExtensions.TypeExtensions()void","L4802","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","338","9","341","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L4814","GetGenericMethod","TinyIoC.TypeExtensions.GetGenericMethod(System.Type, System.Reflection.BindingFlags, string, System.Type[], System.Type[])System.Reflection.MethodInfo","L4802","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","382","9","397","10","0","0","0","0","0","0","0","40","37","0","0","11","16","2","0","0","0","4","6","5","0","40","11","16","6","0","0","0","0","0","0","0","0","0","0","0"
"L4824","GetMethod","TinyIoC.TypeExtensions.GetMethod(System.Type, System.Reflection.BindingFlags, string, System.Type[], System.Type[])System.Reflection.MethodInfo","L4802","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","419","9","447","10","0","0","0","0","0","0","0","1","1","0","0","15","29","2","0","0","0","0","4","5","0","1","15","29","4","0","0","0","0","0","0","0","0","0","0","0"
"L4947",".ctor","TinyIoC.TinyIoCResolutionException.TinyIoCResolutionException(System.Type)void","L4944","L103","D:\DataCollection\repos\punker76_simple-music-player\src\SimpleMusicPlayer\TinyIoC.cs","558","9","561","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","0","1","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
