"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L7802","SomeMethods","SomeMethods","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","739","1","747","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","9","9","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","2","0","0","3","2","0","0","9","9","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L7821","GenericTest","GenericTest<T, T2>","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","755","1","759","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L7756","SealedObject","SealedObject","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","761","1","809","2","0","6","0","0","0","0","0","0","0","0","0","1","0","11","0","0","38","49","0","4","0","0","0","0","4","19","0","19","1","21","1","0","0","4","1","21","0","21","1","0","20","23","0","0","38","49","0","4","0","4","19","0","19","1","21","21","0","21","1","19","0","0","3","0","0","0","0","1","0","0","1","0","1"
"L7783","V8DotNetTesterFunction","V8DotNetTesterFunction","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","814","1","828","2","0.333333","10","0","0","0","0","0","0","0","0","4","4","3","2","0","0","12","15","0","30","0","0","0","0","0","2","0","2","0","119","9","0","0","1","7","3","0","109","11","1","2","3","0","4","12","15","0","30","0","0","2","0","2","0","119","3","0","109","11","3","0","0","10","0","0","0","0","1","0","0","1","2","6"
"L7780","V8DotNetTesterWrapper","V8DotNetTesterWrapper","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","834","1","844","2","0.5","8","0","0","0","0","0","0","0","0","5","3","4","1","0","0","10","11","0","26","0","0","0","0","0","1","0","1","0","105","7","0","0","2","6","3","0","95","9","1","1","3","0","5","10","11","0","26","0","0","1","0","1","0","105","3","0","95","9","1","0","0","9","0","0","0","0","0","0","0","1","2","6"
"L7786","V8DotNetTester","V8DotNetTester","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","846","1","1018","2","0","12","0","0","0","0","0","0","0","0","11","4","0","2","0","0","119","173","0","34","0","0","0","0","1","5","0","5","0","149","9","0","0","7","7","98","0","135","13","0","6","12","0","11","119","173","0","34","0","1","5","0","5","0","149","98","0","135","13","12","0","0","12","0","0","0","0","1","0","1","1","2","7"
"L7768","SamplePointFunctionTemplate","SamplePointFunctionTemplate","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","1020","1","1028","2","0","4","0","0","0","0","0","0","0","0","0","3","0","1","0","0","8","9","0","11","0","0","0","0","0","2","0","1","0","56","5","0","0","0","4","1","0","22","5","0","2","2","0","0","8","9","0","11","0","0","2","0","1","0","56","1","0","22","5","2","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L7772","UserSupportTesting","UserSupportTesting","L100","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\User Support Testing.cs","12","1","22","2","0.5","1","0","0","0","0","0","0","0","0","2","0","2","1","0","0","8","11","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","1","0","1","0","1","1","2","0","2","8","11","0","0","0","0","2","0","1","0","2","1","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L143","Context","V8.Net.Context","L104","L103, L6497","D:\DataCollection\repos\rjamesnw_v8dotnet\Source\V8.Net\Context.cs","61","5","76","6","0.5","3","0","0","0","0","0","0","0","0","45","0","45","3","0","0","13","16","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","1","0","4","0","3","0","2","2","5","0","45","14","16","0","0","0","0","4","0","3","0","4","4","0","3","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L200","DynamicHandle","V8.Net.DynamicHandle","L104","L103, L6497","D:\DataCollection\repos\rjamesnw_v8dotnet\Source\V8.Net\DynamicHandle.cs","27","5","371","6","0.9","8","0","0","0","0","0","0","0","0","35","0","11","15","0","0","215","341","0","0","0","0","0","0","0","31","0","19","0","31","0","0","0","8","0","253","0","19","0","18","2","39","0","35","215","345","0","0","0","0","31","0","19","0","31","253","0","19","0","96","0","0","5","0","0","2","0","1","1","0","1","0","2"
