"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L7817","StaticDoNothing","SomeMethods.StaticDoNothing()void","L7802","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","741","5","743","6","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L7818","InstanceDoNothing","SomeMethods.InstanceDoNothing()void","L7802","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","744","5","746","6","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L7826","get_StaticField","SealedObject.StaticField.getTestEnum","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","765","42","765","70","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7829","get_Item","SealedObject.this[int].getint","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","768","34","768","56","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7832","set_Item","SealedObject.this[int].setvoid","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","768","57","768","80","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7839","SetURI","SealedObject.SetURI(Uri)void","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","771","5","771","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7844","get_PropA","SealedObject.PropA.getint?","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","775","25","775","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7846","get_PropB","SealedObject.PropB.getstring","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","776","27","776","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7759",".ctor","SealedObject.SealedObject(V8.Net.InternalHandle, V8.Net.InternalHandle)void","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","781","5","785","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L7856","Test","SealedObject.Test(int, string)string","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","787","5","787","88","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","3","2","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0"
"L7859","SetHandle1","SealedObject.SetHandle1(V8.Net.InternalHandle)V8.Net.InternalHandle","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","788","5","788","77","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7861","SetHandle2","SealedObject.SetHandle2(V8.Net.Handle)V8.Net.Handle","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","789","5","789","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7863","SetEngine","SealedObject.SetEngine(V8.Net.V8Engine)V8.Net.InternalHandle","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","790","5","790","102","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","2","1","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0"
"L7866","Test","SealedObject.Test<t2, t>(t2, string)void","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","792","5","792","48","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L7873","Test","SealedObject.Test<t2, t>(t, string)void","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","793","5","793","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L7878","Test","SealedObject.Test(string, int)string","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","795","5","795","92","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","3","2","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0"
"L7881","Test","SealedObject.Test(params string[])void","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","797","5","797","83","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7883","TestD","SealedObject.TestD<T1, T2>()object[]","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","799","5","799","89","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7885","TestE","SealedObject.TestE(int, int)int[]","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","800","5","800","73","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L7889","Initialize","SealedObject.Initialize(V8.Net.V8NativeObject, bool, params V8.Net.InternalHandle[])void","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","802","5","804","6","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L7893","OnDispose","SealedObject.OnDispose()void","L7756","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","806","5","808","6","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L7895","Initialize","V8DotNetTesterFunction.Initialize(bool, params V8.Net.InternalHandle[])V8.Net.InternalHandle","L7783","L7725","D:\DataCollection\repos\rjamesnw_v8dotnet\Tests\V8.NET-Console\Program.cs","816","5","821","6","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","2","2","0","0","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
