"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L7922","get_Services","Lively.App.Services.getIServiceProvider","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","55","13","59","14","0","0","0","0","0","0","0","3","3","0","0","5","5","2","0","0","0","0","2","0","0","3","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L7927",".ctor","Lively.App.App()void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","62","9","216","10","0","0","0","0","0","0","0","16","0","0","0","121","142","18","0","0","0","5","64","0","0","16","121","155","64","0","0","4","0","0","1","0","1","0","0","3"
"L7934","ConfigureServices","Lively.App.ConfigureServices()IServiceProvider","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","218","9","261","10","0","0","0","0","0","0","0","16","0","0","0","27","44","1","0","0","0","0","2","0","0","16","27","44","2","0","0","0","0","0","0","0","0","0","0","0"
"L7937","ConfigureGrpcServer","Lively.App.ConfigureGrpcServer()NamedPipeServer","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","263","9","274","10","0","0","0","0","0","0","0","0","0","0","0","11","12","1","0","0","0","1","8","0","0","0","11","12","8","0","0","0","0","0","0","0","0","0","0","0"
"L8051","ChangeTheme","Lively.App.ChangeTheme(Lively.Common.AppTheme)void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","280","9","305","10","0","0","0","0","0","0","0","0","0","0","0","23","26","4","0","0","0","1","11","1","0","0","23","26","11","0","0","0","0","0","0","0","0","0","0","0"
"L8061","AppUpdateChecked","Lively.App.AppUpdateChecked(object, AppUpdaterEventArgs)void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","310","9","334","10","0","0","0","0","0","0","0","0","0","0","0","7","6","1","0","0","0","1","2","2","0","0","23","25","2","0","0","0","0","0","0","0","0","0","0","0"
"L8076","AppUpdateDialog","Lively.App.AppUpdateDialog(Uri, string)void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","337","9","349","10","0","0","0","0","0","0","0","0","0","0","0","13","13","2","0","0","0","1","5","2","0","0","13","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L8089","CreateWallpaperDir","Lively.App.CreateWallpaperDir(string)void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","351","9","356","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L7931","SetupUnhandledExceptionLogging","Lively.App.SetupUnhandledExceptionLogging()void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","358","9","370","10","0","0","0","0","0","0","0","1","0","0","0","9","12","1","0","0","0","0","3","0","0","1","9","13","3","0","0","0","0","0","0","0","0","0","0","0"
"L8094","LogUnhandledException","Lively.App.LogUnhandledException(Exception, string)void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","372","9","372","107","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L7929","ShutDown","Lively.App.ShutDown()void","L7905","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\App.xaml.cs","374","9","384","10","0","0","0","0","0","0","0","2","0","0","0","10","11","4","0","0","0","1","4","0","0","2","10","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L10012","ShowBalloonNotification","Lively.ISystray.ShowBalloonNotification(int, string, string)void","L7952","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\ISystray.cs","7","9","7","77","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10016","Visibility","Lively.ISystray.Visibility(bool)void","L7952","L7824","D:\DataCollection\repos\rocksdanister_lively\src\Lively\Lively\ISystray.cs","8","9","8","39","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
