"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L25039","Program","taskt.Program","L573","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Program.cs","23","5","134","6","0","3","0","0","0","0","0","0","0","0","4","0","0","2","0","0","88","112","0","1","0","0","0","0","1","5","0","2","1","5","0","0","0","4","0","45","0","2","1","0","3","9","0","4","88","112","0","1","0","1","5","0","2","1","5","45","0","2","1","15","0","0","4","0","0","1","0","1","1","0","1","0","1"
"L26256","frmUpdating","taskt_updater.frmUpdating","L26248","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","15","5","312","6","0","2","0","0","0","0","0","0","0","0","46","0","8","3","0","0","271","381","0","0","0","0","0","0","0","13","0","1","0","13","0","0","0","6","0","157","0","1","0","0","2","19","0","46","291","399","0","4","0","4","23","0","7","4","23","161","0","7","4","38","0","0","4","0","0","0","0","1","0","0","3","0","0"
"L26872","Program","taskt_updater.Program","L26248","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\Program.cs","9","5","38","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","24","30","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","7","0","0","0","0","1","2","0","0","24","30","0","0","0","0","1","0","0","0","1","7","0","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1831","ApplicationSettings","taskt.Core.ApplicationSettings","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\ApplicationSettings.cs","16","5","132","6","0","6","0","0","0","0","0","0","0","0","24","0","0","5","0","0","77","117","0","4","0","0","0","0","4","14","0","14","4","14","0","0","0","3","0","27","0","14","4","0","15","17","0","24","77","117","0","4","0","4","14","0","14","4","14","27","0","14","4","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1833","ServerSettings","taskt.Core.ServerSettings","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\ApplicationSettings.cs","136","5","152","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","17","0","8","0","0","0","0","8","17","0","17","8","17","0","0","0","0","0","1","0","17","8","0","18","17","0","0","16","17","0","8","0","8","17","0","17","8","17","1","0","17","8","17","0","0","4","0","0","0","0","0","0","0","1","0","3"
"L1841","EngineSettings","taskt.Core.EngineSettings","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\ApplicationSettings.cs","156","5","425","6","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","247","270","0","27","0","0","0","0","27","73","0","72","27","73","0","0","0","3","0","62","0","72","27","0","73","76","0","0","247","270","0","27","0","27","73","0","72","27","73","62","0","72","27","81","0","0","18","0","0","1","0","1","0","2","1","0","14"
"L1849","ClientSettings","taskt.Core.ClientSettings","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\ApplicationSettings.cs","429","5","570","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","124","142","0","37","0","0","0","0","37","76","0","76","37","76","0","0","0","0","0","45","0","76","37","0","77","76","0","0","124","142","0","37","0","37","76","0","76","37","76","45","0","76","37","82","0","0","18","0","0","1","0","0","0","2","1","0","15"
"L1857","LocalListenerSettings","taskt.Core.LocalListenerSettings","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\ApplicationSettings.cs","574","5","594","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","21","0","7","0","0","0","0","7","15","0","15","7","15","0","0","0","0","0","7","0","15","7","0","16","15","0","0","21","21","0","7","0","7","15","0","15","7","15","7","0","15","7","15","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L2482","WhiteListIP","taskt.Core.WhiteListIP","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\ApplicationSettings.cs","596","5","605","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","1","0","0","0","0","1","3","0","3","1","3","0","0","0","0","0","3","0","3","1","0","4","3","0","0","10","10","0","1","0","1","3","0","3","1","3","3","0","3","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L16966","CommandsTreeControls","taskt.Core.CommandsTreeControls","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\CommandsTreeControls.cs","10","5","337","6","0","4","0","0","0","0","0","0","0","0","5","0","0","6","0","0","287","328","0","0","0","0","0","0","0","8","0","6","0","8","0","0","0","8","0","131","0","6","0","0","7","16","0","5","287","328","0","2","0","2","10","0","8","0","10","131","0","8","0","62","0","0","7","0","0","2","0","1","2","0","2","0","2"
"L17035","DocumentationGeneration","taskt.Core.DocumentationGeneration","L572","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Core\DocumentationGeneration.cs","20","5","617","7","1","29","0","0","0","0","0","0","0","0","56","0","15","8","0","0","458","592","0","0","0","0","0","0","0","9","0","1","0","9","0","0","0","21","0","267","0","1","0","2","0","30","0","59","466","598","0","5","0","5","19","0","11","5","19","267","0","11","5","90","0","0","10","0","0","6","0","1","2","1","1","0","5"
