"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L26230","Main","taskt.Program.Main(string[])void","L25039","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Program.cs","28","9","122","10","0","0","0","0","0","0","0","4","0","0","0","78","95","11","0","0","0","7","44","1","0","4","78","95","44","0","0","2","0","0","1","0","1","0","0","1"
"L26232","SetProcessDPIAware","taskt.Program.SetProcessDPIAware()bool","L25039","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Program.cs","123","9","124","57","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L26238","CurrentDomain_UnhandledException","taskt.Program.CurrentDomain_UnhandledException(object, UnhandledExceptionEventArgs)void","L25039","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Program.cs","126","9","129","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25042","get_SplashForm","taskt.Program.SplashForm.gettaskt.UI.Forms.Supplemental.frmSplash","L25039","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Program.cs","131","68","131","72","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L26234","set_SplashForm","taskt.Program.SplashForm.setvoid","L25039","L103","D:\DataCollection\repos\saucepleez_taskt\taskt\Program.cs","131","73","131","77","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L26319",".ctor","taskt_updater.frmUpdating.frmUpdating(string, string)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","47","9","51","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L26333","frmUpdating_Load","taskt_updater.frmUpdating.frmUpdating_Load(object, System.EventArgs)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","53","9","56","10","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L26339","bgwUpdate_DoWork","taskt_updater.frmUpdating.bgwUpdate_DoWork(object, System.ComponentModel.DoWorkEventArgs)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","60","9","92","10","0","0","0","0","0","0","0","4","0","0","0","29","33","4","0","0","0","5","20","2","0","4","29","33","20","0","0","0","0","0","0","0","0","0","0","0"
"L26374","bgwUpdate_ProgressChanged","taskt_updater.frmUpdating.bgwUpdate_ProgressChanged(object, System.ComponentModel.ProgressChangedEventArgs)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","94","9","97","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L26385","bgwUpdate_RunWorkerCompleted","taskt_updater.frmUpdating.bgwUpdate_RunWorkerCompleted(object, System.ComponentModel.RunWorkerCompletedEventArgs)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","99","9","139","10","0","0","0","0","0","0","0","0","0","0","0","38","41","5","0","0","0","2","24","2","0","0","38","41","24","0","0","0","0","0","0","0","0","0","0","0"
"L26353","DownloadExtractNewRelease","taskt_updater.frmUpdating.DownloadExtractNewRelease(string)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","144","9","188","10","0","0","0","0","0","0","0","13","0","0","0","22","45","2","0","0","0","1","13","1","0","13","22","45","13","0","0","0","0","0","0","0","0","0","0","0"
"L26367","CopyNewRelease","taskt_updater.frmUpdating.CopyNewRelease(string)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","190","9","208","10","0","0","0","0","0","0","0","3","0","0","0","11","19","3","0","0","0","1","6","1","0","3","11","19","6","0","0","0","0","0","0","0","0","0","0","0"
"L26369","RemoveDownloadRelease","taskt_updater.frmUpdating.RemoveDownloadRelease()void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","210","9","220","10","0","0","0","0","0","0","0","2","0","0","0","6","11","1","0","0","0","1","3","0","0","2","6","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L26529","ExtractZipToDirectory","taskt_updater.frmUpdating.ExtractZipToDirectory(System.IO.Compression.ZipArchive, string, bool)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","222","9","240","10","0","0","0","0","0","0","0","1","0","0","0","17","19","4","0","0","0","0","9","3","0","1","17","19","9","0","0","0","0","0","0","0","0","0","0","0"
"L26545","CopyDirectory","taskt_updater.frmUpdating.CopyDirectory(string, string)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","242","9","280","10","0","0","0","0","0","0","0","0","0","0","0","36","39","7","0","0","0","3","15","2","0","0","36","39","15","0","0","0","0","0","0","0","0","0","0","0"
"L26547","DeleteDirectory","taskt_updater.frmUpdating.DeleteDirectory(string)void","L26256","L26247","D:\DataCollection\repos\saucepleez_taskt\taskt-updater\frmUpdating.cs","281","9","310","10","0","0","0","0","0","0","0","0","0","0","0","27","30","5","0","0","0","0","13","1","0","0","27","30","13","0","0","0","0","0","0","0","0","0","0","0"
