"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L11056","Maths","BrawlLib.Maths","L112","L103","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlLib\Maths.cs","6","5","385","6","0","3","0","0","0","0","0","0","0","0","0","0","0","32","0","0","320","380","0","0","0","0","0","0","0","33","0","33","0","33","0","0","0","16","0","132","0","33","0","0","34","49","0","0","320","380","0","0","0","0","33","0","33","0","33","132","0","33","0","69","0","0","6","0","0","0","0","1","0","0","1","0","4"
"L91183","Program","BrawlCrate.Program","L90630","L90623","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlCrate\Program.cs","27","5","1191","6","0","26","0","0.125603","4","26","0","9","0.151073","0.14899","10","0","0","2","176","118","791","1165","0","1","0","0","0","0","1","32","0","26","1","32","0","0","0","56","0","363","0","26","1","0","27","88","0","10","791","1165","0","1","0","1","32","0","26","1","32","363","0","26","1","160","0","0","77","0","0","4","53","1","5","5","1","0","12"
"L106076","IssueReporter","Updater.IssueReporter","L106065","L106064","D:\DataCollection\repos\soopercool101_BrawlCrate\Updater\IssueReporter.cs","13","5","139","6","0","2","0","0","0","0","0","0","0","0","3","0","0","1","0","0","113","127","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","2","0","37","0","1","0","0","2","3","0","3","113","127","0","0","0","0","1","0","1","0","1","37","0","1","0","17","0","0","5","0","0","1","0","0","1","0","1","0","3"
"L106092","Program","Updater.Program","L106065","L106064","D:\DataCollection\repos\soopercool101_BrawlCrate\Updater\Program.cs","12","5","160","6","0","2","0","0","0","0","0","0","0","0","14","0","0","1","0","0","129","149","0","1","0","0","0","0","1","2","0","0","0","2","0","0","0","14","0","78","0","0","0","0","1","16","0","14","129","149","0","1","0","1","2","0","0","0","2","78","0","0","0","36","0","0","5","0","0","1","0","0","1","1","1","0","2"
"L106083","Updater","Updater.Updater","L106065","L106064","D:\DataCollection\repos\soopercool101_BrawlCrate\Updater\Updater.cs","20","5","1416","6","0.0909091","3","0","0.0901639","7","129","0","17","0.105225","0.111012","103","0","9","1","147","124","1114","1397","0","0","0","0","0","0","0","21","0","21","0","21","0","0","0","2","0","516","0","21","0","2","20","23","0","103","1114","1397","0","0","0","0","21","0","21","0","21","516","0","21","0","237","0","0","59","0","0","10","23","0","9","0","1","0","26"
"L113","PerSessionSettings","BrawlLib.BrawlCrate.PerSessionSettings","L104","L103","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlLib\BrawlCrate\PerSessionSettings.cs","3","5","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L157","BitmapUtilities","BrawlLib.BrawlManagerLib.BitmapUtilities","L122","L103","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlLib\BrawlManagerLib\BitmapUtilities.cs","8","5","262","6","0.714286","1","0","0","0","0","0","0","0","0","36","0","35","9","0","0","194","255","0","0","0","0","0","0","0","14","0","13","0","14","0","0","0","1","0","84","0","13","0","10","4","15","0","36","194","255","0","0","0","0","14","0","13","0","14","84","0","13","0","57","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L380","BrawlSplitter","BrawlLib.BrawlManagerLib.BrawlSplitter","L122","L103","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlLib\BrawlManagerLib\BrawlSplitter.cs","8","5","218","6","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","189","211","0","7","0","0","0","0","7","20","0","14","7","20","0","0","0","0","0","74","0","14","7","0","15","20","0","5","189","211","0","7","0","7","20","0","14","7","20","74","0","14","7","35","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L652","ByteUtilities","BrawlLib.BrawlManagerLib.ByteUtilities","L122","L103","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlLib\BrawlManagerLib\ByteUtilities.cs","9","5","68","6","0.4","0","0","0","0","0","0","0","0","0","6","0","6","3","0","0","46","60","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","0","0","19","0","4","0","2","3","4","0","6","46","60","0","0","0","0","4","0","4","0","4","19","0","4","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L737","CopyDialog","BrawlLib.BrawlManagerLib.CopyDialog","L122","L103","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlLib\BrawlManagerLib\CopyDialog.cs","7","5","24","6","0","1","0","0.729261","8","8","0","8","0","0","38","0","8","2","0","0","125","176","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","1","0","100","0","1","0","0","2","4","0","38","125","176","0","0","0","0","3","0","1","0","3","100","0","1","0","6","0","0","14","0","0","1","10","1","0","0","1","0","2"
"L919","FileOperations","BrawlLib.BrawlManagerLib.FileOperations","L122","L103","D:\DataCollection\repos\soopercool101_BrawlCrate\BrawlLib\BrawlManagerLib\FileOperations.cs","11","5","322","6","0.5","5","0","0","0","0","0","0","0","0","14","0","12","4","0","0","114","148","0","0","0","0","0","0","0","8","0","5","0","8","0","0","0","1","0","41","0","5","0","3","3","9","0","14","141","312","0","0","0","0","8","0","5","0","8","41","0","5","0","18","0","0","4","0","0","1","0","1","0","0","3","0","0"
