"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L2929","GameEventSubscriber","FNPlugin.GameEventSubscriber","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\GameEventSubscriber.cs","10","5","152","6","0","13","0","0","0","0","0","0","0","0","13","0","0","8","0","0","106","143","0","0","0","0","0","0","0","10","0","0","0","10","0","0","0","5","0","63","0","0","0","0","1","15","0","13","106","143","0","0","0","0","10","0","0","0","10","63","0","0","0","17","0","0","3","0","0","1","0","1","0","1","1","0","0"
"L2713","PluginSettings","FNPlugin.PluginSettings","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\PluginSettings.cs","7","5","155","6","0.0930233","0","0","0","0","0","0","0","0","0","6","0","6","1","0","0","119","149","0","41","0","0","0","0","41","86","0","42","41","86","0","0","0","0","0","62","0","42","41","4","39","86","0","6","119","149","0","41","0","41","86","0","42","41","86","62","0","42","41","92","0","0","16","0","0","1","0","0","0","2","1","0","13"
"L4567","HideHiddenPartsFilter","FNPlugin.HideHiddenPartsFilter","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\HideHiddenPartsFilter.cs","6","5","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","9","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","1","0","0","9","9","0","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2934","Kerbalism","FNPlugin.Kerbalism","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\External\Kerbalism.cs","7","5","103","6","0.333333","0","0","0.4371","1","5","0","1","0.412371","0.438356","6","0","1","2","40","32","74","97","0","1","0","0","0","0","1","3","0","2","0","3","0","0","0","0","0","44","0","2","0","1","2","3","0","6","74","97","0","1","0","1","3","0","2","0","3","44","0","2","0","13","0","0","14","0","0","0","12","1","0","0","1","0","0"
"L5384","RDColoredUpgradeIcon","FNPlugin.RDColoredUpgradeIcon","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\RDColoredUpgradeIcon.cs","9","5","64","6","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","36","56","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","24","0","1","0","0","2","1","0","5","36","56","0","0","0","0","1","0","1","0","1","24","0","1","0","13","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L6869","UpgradeableModuleExtensions","FNPlugin.UpgradeableModuleExtensions","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\IUpgradeableModule.cs","11","5","17","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","2","0","1","0","1","0","0","2","3","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L8998","FNModuleRCSFX","FNPlugin.FNModuleRCSFX","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\Depricated\FNModuleRCSFX.cs","7","5","300","6","0","0","0","0","0","0","0","0","0","0","13","0","0","3","0","0","234","294","0","0","0","0","0","0","0","8","0","7","0","8","0","0","0","0","0","134","0","7","0","0","8","8","0","13","234","294","0","0","0","0","8","0","7","0","8","134","0","7","0","57","0","0","7","0","0","2","0","1","2","0","1","0","3"
"L9055","FnRcsSounds","FNPlugin.FnRcsSounds","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\Depricated\FNRCSSounds.cs","8","5","231","6","0.125","1","0","0","0","0","0","0","0","0","18","0","1","2","0","0","179","224","0","1","0","0","0","0","1","8","0","7","0","8","0","0","0","0","0","87","0","7","0","1","7","8","0","18","179","224","0","1","0","1","8","0","7","0","8","87","0","7","0","39","0","0","4","0","0","1","0","1","1","0","1","0","1"
"L14028","FNHabitat","FNPlugin.FNHabitat","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\External\FNHabitat.cs","10","5","928","6","0","1","0","0","0","0","0","0","0","0","50","0","31","3","0","0","718","919","0","2","0","0","0","0","2","44","0","20","0","44","0","0","0","2","0","335","0","20","0","0","21","46","0","50","718","919","0","2","0","2","44","0","20","0","44","335","0","20","0","156","0","0","8","0","0","1","0","1","2","0","1","0","4"
"L14550","FNLCMassSpectrometer","FNPlugin.FNLCMassSpectrometer","L111","L2651","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\FNPlugin\Science\FNLCMassSpectrometer.cs","7","5","102","6","0","2","0","0","0","0","0","0","0","0","5","0","0","2","0","0","86","96","0","0","0","0","0","0","0","6","0","4","0","6","0","0","0","2","0","39","0","4","0","0","5","8","0","5","86","96","0","0","0","0","6","0","4","0","6","39","0","4","0","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
