"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1057","get_WasteToReprocess","FNPlugin.INuclearFuelReprocessable.WasteToReprocess.getdouble","L1056","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\INuclearFuelReprocessable.cs","10","35","10","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1058","ReprocessFuel","FNPlugin.INuclearFuelReprocessable.ReprocessFuel(double)double","L1056","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\INuclearFuelReprocessable.cs","12","9","12","43","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1061","get_DisplayName","FNPlugin.IPowerSupply.DisplayName.getstring","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","5","30","5","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1062","set_DisplayName","FNPlugin.IPowerSupply.DisplayName.setvoid","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","5","35","5","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1064","get_PowerPriority","FNPlugin.IPowerSupply.PowerPriority.getint","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","6","29","6","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1065","set_PowerPriority","FNPlugin.IPowerSupply.PowerPriority.setvoid","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","6","34","6","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1067","ConsumeMegajoulesFixed","FNPlugin.IPowerSupply.ConsumeMegajoulesFixed(double, double)double","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","7","9","7","83","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1070","ConsumeMegajoulesPerSecond","FNPlugin.IPowerSupply.ConsumeMegajoulesPerSecond(double)double","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","8","9","8","64","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1072","getResourceManagerDisplayName","FNPlugin.IPowerSupply.getResourceManagerDisplayName()string","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","9","9","9","48","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1073","SupplyMegajoulesPerSecondWithMax","FNPlugin.IPowerSupply.SupplyMegajoulesPerSecondWithMax(double, double)void","L1060","L103","D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended\Redist\Interfaces\IPowerSupply.cs","11","9","11","80","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
