"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L104","AllFeatureMapsDisplay","AllFeatureMapsDisplay","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\AllFeatureMaps.cs","8","1","106","2","0.2","3","0","0","0","0","0","0","0","0","5","0","3","1","0","0","76","99","0","0","0","0","0","0","0","6","0","4","0","6","0","0","0","1","0","49","0","4","0","1","4","7","0","5","76","99","0","0","0","0","6","0","4","0","6","49","0","4","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L235","FeatureMap","FeatureMap","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","24","1","306","2","0.111111","4","0","0","0","0","0","0","0","0","12","0","8","3","0","0","217","283","0","0","0","0","0","0","0","12","0","8","0","12","0","0","0","6","0","116","0","8","0","1","8","18","0","12","217","283","0","0","0","0","12","0","8","0","12","116","0","8","0","40","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L350","GlobalManager","GlobalManager","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\GlobalManager.cs","8","1","244","2","0.461538","6","0","0","0","0","0","0","0","0","28","0","28","2","0","0","173","237","0","1","0","0","0","0","1","13","0","12","0","13","0","0","0","5","0","77","0","12","0","6","7","18","0","28","173","237","0","1","0","1","13","0","12","0","13","77","0","12","0","38","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L511","GuiManager","GuiManager","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\GuiManager.cs","15","1","143","2","0.615385","3","0","0","0","0","0","0","0","0","34","0","34","13","0","0","78","129","0","0","0","0","0","0","0","15","0","12","0","15","0","0","0","11","0","22","0","12","0","8","5","26","0","34","78","129","0","0","0","0","15","0","12","0","15","22","0","12","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L436","ConvLayer","ConvLayer","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Layer\ConvLayer.cs","9","1","397","2","0.117647","10","0","0","0","0","0","0","0","0","33","2","25","2","0","0","285","389","0","0","0","0","0","0","0","20","0","16","0","49","3","0","0","25","2","146","0","34","0","2","15","45","0","33","285","389","0","0","0","0","20","0","16","0","49","146","0","34","0","56","0","0","11","0","0","2","0","1","2","1","1","1","5"
"L441","FCLayer","FCLayer","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Layer\FCLayer.cs","9","1","490","2","0.142857","8","0","0","0","0","0","0","0","0","65","2","49","2","0","0","329","482","0","0","0","0","0","0","0","23","0","13","0","51","2","0","0","16","1","168","0","30","0","2","12","39","0","65","329","482","0","0","0","0","23","0","13","0","51","168","0","30","0","60","0","0","9","0","0","1","0","1","1","1","1","0","5"
"L412","ImageLayer","ImageLayer","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Layer\ImageLayer.cs","6","1","291","2","0","9","0","0","0","0","0","0","0","0","1","1","0","1","0","0","231","286","0","0","0","0","0","0","0","17","0","10","0","41","2","0","0","17","2","109","0","27","0","0","11","34","0","1","231","286","0","0","0","0","17","0","10","0","41","109","0","27","0","40","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L422","InputAcceptingLayer","InputAcceptingLayer","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Layer\InputAcceptingLayer.cs","10","1","109","2","0","5","0","0","0","0","0","0","0","0","10","1","10","3","0","0","76","100","0","0","0","0","0","0","0","5","0","1","0","28","1","3","3","10","1","30","0","17","0","0","2","15","0","10","76","100","0","0","0","0","5","0","1","0","28","30","0","17","0","12","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L361","Layer","Layer","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Layer\Layer.cs","7","1","256","2","0.588235","1","0","0","0","0","0","0","0","0","47","0","47","4","0","0","154","250","0","0","0","0","0","0","0","23","0","16","0","23","0","2","5","1","0","52","0","16","0","10","7","24","0","47","154","250","0","0","0","0","23","0","16","0","23","52","0","16","0","34","0","0","5","0","0","1","0","1","0","0","1","0","3"
"L444","MaxPoolLayer","MaxPoolLayer","L100","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Layer\MaxPoolLayer.cs","6","1","305","2","0.166667","10","0","0","0","0","0","0","0","0","31","2","25","1","0","0","216","300","0","0","0","0","0","0","0","15","0","11","0","44","3","0","0","21","2","113","0","29","0","2","10","36","0","31","216","300","0","0","0","0","15","0","11","0","44","113","0","29","0","43","0","0","5","0","0","1","0","0","1","0","1","1","2"
