"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L135",".ctor","AllFeatureMapsDisplay.AllFeatureMapsDisplay(Vector3, int, float, Vector2)void","L104","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\AllFeatureMaps.cs","17","5","23","6","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","4","4","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L147","Update","AllFeatureMapsDisplay.Update(Vector3, int, float, Vector2)void","L104","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\AllFeatureMaps.cs","25","5","31","6","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","4","4","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L152","GetInterpolatedFilterPositions","AllFeatureMapsDisplay.GetInterpolatedFilterPositions()Vector3[]","L104","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\AllFeatureMaps.cs","33","5","41","6","0","0","0","0","0","0","0","1","0","0","0","8","9","1","0","0","0","1","5","0","0","1","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L166","AddPolysToLists","AllFeatureMapsDisplay.AddPolysToLists(System.Collections.Generic.List<Vector3>, System.Collections.Generic.List<int>)void","L104","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\AllFeatureMaps.cs","43","5","66","6","0","0","0","0","0","0","0","1","0","0","0","17","24","2","0","0","0","2","12","2","0","1","17","24","12","0","0","0","0","0","0","0","0","0","0","0"
"L211","AddLinesToLists","AllFeatureMapsDisplay.AddLinesToLists(System.Collections.Generic.List<Vector3>, System.Collections.Generic.List<int>, Vector3[])void","L104","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\AllFeatureMaps.cs","68","5","88","6","0","0","0","0","0","0","0","0","0","0","0","17","21","1","0","0","0","2","14","3","0","0","17","21","14","0","0","0","0","0","0","0","0","0","0","0"
"L194","SquareAtPosition","AllFeatureMapsDisplay.SquareAtPosition(Vector3, Vector2)Vector3[]","L104","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\AllFeatureMaps.cs","90","5","104","6","0","0","0","0","0","0","0","0","0","0","0","13","15","1","0","0","0","0","10","2","0","0","13","15","10","0","0","0","0","0","0","0","0","0","0","0"
"L231","GetFeatureMapInfo","I2DMapLayer.GetFeatureMapInfo(int)FeatureMapInfo","L230","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","22","5","22","59","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L252",".ctor","FeatureMap.FeatureMap(I2DMapLayer, int)void","L235","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","48","5","60","6","0","0","0","0","0","0","0","0","0","0","0","12","13","1","0","0","0","2","9","2","0","0","12","13","9","0","0","0","0","0","0","0","0","0","0","0"
"L272","GetPixelGrid","FeatureMap.GetPixelGrid()GridShape","L235","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","62","5","65","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L274","GetFilterGrids","FeatureMap.GetFilterGrids(Vector2Int, Vector2, Vector2Int, float)System.Collections.Generic.List<Shape>","L235","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","75","5","107","6","0","0","0","0","0","0","0","9","8","0","0","30","33","7","0","0","0","3","16","4","0","9","30","33","16","0","0","0","0","0","0","0","0","0","0","0"
"L305","GetFilterGrids","FeatureMap.GetFilterGrids(Vector2Int, Vector2, Vector2Int, float, int)System.Collections.Generic.List<Shape>","L235","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","109","5","156","6","0","0","0","0","0","0","0","1","0","0","0","40","48","8","0","0","0","5","23","5","0","1","40","48","23","0","0","0","0","0","0","0","0","0","0","0"
"L282","GetOutputGridOffset","FeatureMap.GetOutputGridOffset(Vector2, Vector2Int)Vector3","L235","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","159","5","168","6","0","0","0","0","0","0","0","0","0","0","0","10","10","4","0","0","0","1","5","2","0","0","10","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L325","GetInputGrid","FeatureMap.GetInputGrid(float)Shape","L235","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","170","5","188","6","0","0","0","0","0","0","0","0","0","0","0","17","19","3","0","0","0","2","7","1","0","0","17","19","7","0","0","0","0","0","0","0","0","0","0","0"
"L270","InitGrids","FeatureMap.InitGrids()void","L235","L103","D:\DataCollection\repos\stefsietz_nn-visualizer\CNN Visualizer Project\CNN Visualizer\Assets\Scripts\Featuremaps\FeatureMap.cs","190","5","220","6","0","0","0","0","0","0","0","1","0","0","0","25","31","4","0","0","0","3","14","0","0","1","25","31","14","0","0","0","0","0","0","0","0","0","0","0"
