"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L101511","Auction","Auction","L100","L100815, L116544, L130612","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\Auction.cs","3","1","124","2","0","1","0","0","0","0","0","0","0","0","3","0","0","4","0","0","268","344","0","5","0","0","0","0","5","16","0","15","5","16","0","0","0","0","0","32","0","15","5","0","16","16","0","3","274","348","0","5","0","5","16","0","15","5","16","32","0","15","5","18","0","0","3","0","0","0","0","0","1","0","0","2","0","0"
"L101558","BalanceTest","BalanceTest","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\BalanceTest.cs","3","1","10","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","8","8","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L101562","ShouldHave0Balance","ShouldHave0Balance","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\BalanceTest.cs","12","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L101567","BasicParameters","BasicParameters","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\BasicParameters.cs","3","1","15","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","2","0","1","0","0","2","1","0","0","12","13","0","0","0","0","1","0","1","0","1","2","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0"
"L100993","BasicReceive","BasicReceive","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\BasicReceive.cs","3","1","21","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","16","19","0","0","0","0","2","0","2","0","2","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","2","0","0"
"L100989","BasicTransfer","BasicTransfer","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\BasicTransfer.cs","3","1","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","11","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","1","0","2","0","0","3","2","0","0","10","11","0","0","0","0","2","0","2","0","2","1","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L100863","BehaviourTest","BehaviourTest","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\BehaviourTest.cs","3","1","52","2","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","32","50","0","1","0","0","0","0","1","6","0","5","1","6","0","0","0","0","0","11","0","5","1","0","6","6","0","5","32","50","0","1","0","1","6","0","5","1","6","11","0","5","1","6","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L101606","CallContract","CallContract","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\CallContract.cs","3","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","31","40","0","1","0","0","0","0","1","6","0","6","1","6","0","0","0","0","0","9","0","6","1","0","7","6","0","0","31","40","0","1","0","1","6","0","6","1","6","9","0","6","1","6","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L101058","CallWithAllParameters","CallWithAllParameters","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\CallWithAllParameters.cs","3","1","61","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","49","59","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","30","0","2","0","0","3","2","0","0","49","59","0","0","0","0","2","0","2","0","2","30","0","2","0","2","0","0","2","0","0","1","0","0","0","0","0","1","0","1"
"L101634","ConstructorLoop","ConstructorLoop","L100","L100815","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.SmartContracts.IntegrationTests\SmartContracts\ConstructorLoop.cs","3","1","11","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","8","9","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","1","8","9","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
