"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L7603","Interop","Interop","L100","L518, L13368","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM.Core\Interop.WinHttp\Interop.SafeWinHttpHandle.cs","10","1","58","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","467","550","0","0","0","0","43","0","42","0","43","13","0","42","0","0","0","0","22","0","0","3","0","2","0","0","9","0","11"
"L114","MockServer","MockServer.MockServer","L104","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","12","5","164","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","138","147","0","2","0","0","0","0","2","10","0","10","2","10","0","0","0","5","0","58","0","10","2","0","11","15","0","0","138","153","0","2","0","2","10","0","10","2","10","58","0","10","2","23","0","0","2","0","0","1","0","0","0","0","1","0","1"
"L171","RequestHandler","MockServer.RequestHandler","L104","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","12","5","102","6","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","84","89","0","5","0","0","0","0","5","12","0","11","5","12","0","0","0","0","0","38","0","11","5","0","12","12","0","1","84","91","0","5","0","5","12","0","11","5","12","38","0","11","5","28","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L7528","YDLOutputParser","YDLWrapper.YDLOutputParser","L5580","L518, L13368","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM.Core\YDLWrapper\YDLOutputParser.cs","7","5","207","6","0","6","0","0","0","0","0","0","0","0","28","0","0","2","0","0","172","201","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","35","0","65","0","1","0","0","2","41","0","28","172","201","0","0","0","0","6","0","1","0","6","65","0","1","0","41","0","0","6","0","0","3","0","1","1","2","1","0","1"
"L3659","YDLProcess","YDLWrapper.YDLProcess","L5580","L518, L13368","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM.Core\YDLWrapper\YDLProcess.cs","11","5","192","6","0.0714286","5","0","0","0","0","0","0","0","0","10","0","8","1","0","0","154","170","0","5","0","0","0","0","5","14","0","13","5","14","0","0","0","7","0","73","0","13","5","1","13","21","0","10","154","182","0","5","0","5","14","0","13","5","14","73","0","13","5","32","0","0","3","0","0","0","0","0","0","1","1","0","1"
"L3284","Log","TraceLog.Log","L6890","L518, L13368","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM.Core\TraceLog\Log.cs","6","5","35","6","0","0","0","0","0","0","0","0","0","0","6","0","0","3","0","0","25","30","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","8","0","3","0","0","4","3","0","6","25","30","0","0","0","0","3","0","3","0","3","8","0","3","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L675","TextResource","Translations.TextResource","L6899","L518, L13368","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM.Core\Translations\TextResource.cs","7","5","54","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","42","48","0","0","0","0","0","0","0","5","0","3","0","5","0","0","0","0","0","16","0","3","0","0","4","5","0","0","42","48","0","0","0","0","5","0","3","0","5","16","0","3","0","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L7608","WinHttp","Interop.WinHttp","L7603","L518, L13368","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM.Core\Interop.WinHttp\Interop.SafeWinHttpHandle.cs","12","5","57","6","0","7","0","0","0","0","0","0","0","0","0","0","0","39","0","0","376","450","0","0","0","0","0","0","0","39","0","39","0","39","0","0","0","0","0","0","0","39","0","0","40","39","0","3","454","537","0","0","0","0","43","0","42","0","43","13","0","42","0","39","0","0","18","0","0","3","0","2","0","0","7","0","9"
"L7628","Libraries","Interop.Libraries","L7603","L518, L13368","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM.Core\Interop.WinHttp\Interop.winhttp.cs","10","5","13","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L289","ConfigTest","XDM.SystemTests.ConfigTest","L276","L275","D:\DataCollection\repos\subhra74_xdm\app\XDM\XDM_Tests\ConfigTest.cs","10","5","35","6","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","26","26","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","12","0","1","0","0","2","1","0","1","26","26","0","0","0","0","1","0","1","0","1","12","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
