"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L144","get_NonResumable","MockServer.MockServer.NonResumable.getbool","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","22","36","22","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L150","set_NonResumable","MockServer.MockServer.NonResumable.setvoid","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","22","41","22","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L155","get_HasContentLength","MockServer.MockServer.HasContentLength.getbool","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","23","40","23","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","set_HasContentLength","MockServer.MockServer.HasContentLength.setvoid","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","23","45","23","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L161","GetHash","MockServer.MockServer.GetHash(string)string","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","28","9","31","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L164","StartAsync","MockServer.MockServer.StartAsync()void","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","33","9","40","10","0","0","0","0","0","0","0","0","0","0","0","7","8","1","0","0","0","0","4","0","0","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L166","Stop","MockServer.MockServer.Stop()void","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","42","9","60","10","0","0","0","0","0","0","0","0","0","0","0","19","19","4","0","0","0","0","9","0","0","0","19","19","9","0","0","0","0","0","0","0","0","0","0","0"
"L170","Start","MockServer.MockServer.Start()void","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","62","9","91","10","0","0","0","0","0","0","0","0","0","0","0","23","24","3","0","0","0","7","4","0","0","0","28","30","4","0","0","0","0","0","0","0","0","0","0","0"
"L197","AddMockHandler","MockServer.MockServer.AddMockHandler(string, long, Dictionary<string, string>, int, int, byte[], long)(string File, string Hash, long Size)","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","93","9","158","10","0","0","0","0","0","0","0","0","0","0","0","62","66","9","0","0","0","0","39","7","0","0","62","66","39","0","0","1","0","0","1","0","0","0","0","1"
"L224","Dispose","MockServer.MockServer.Dispose()void","L114","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\MockServer.cs","160","9","163","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L174","get_FilePath","MockServer.RequestHandler.FilePath.getstring","L171","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","16","34","16","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","set_FilePath","MockServer.RequestHandler.FilePath.setvoid","L171","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","16","39","16","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","get_Hash","MockServer.RequestHandler.Hash.getstring","L171","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","17","30","17","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","set_Hash","MockServer.RequestHandler.Hash.setvoid","L171","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","17","35","17","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L181","get_CancellationToken","MockServer.RequestHandler.CancellationToken.getCancellationToken","L171","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","19","54","19","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L244","set_CancellationToken","MockServer.RequestHandler.CancellationToken.setvoid","L171","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","19","59","19","63","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L183","get_NonResumable","MockServer.RequestHandler.NonResumable.getbool","L171","L103","D:\DataCollection\repos\subhra74_xdm\app\XDM\MockServer\RequestHandler.cs","21","36","21","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
