"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L1594","GCodeForBarcode","GrblPlotter.GCodeForBarcode","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","39","5","385","6","0","10","0","0.452734","108","115","0","115","0","0","199","0","8","1","0","0","742","972","0","0","0","0","0","0","0","19","0","3","0","19","0","0","0","39","0","517","0","3","0","0","4","58","0","199","742","972","0","0","0","0","19","0","3","0","19","517","0","3","0","55","0","0","25","0","0","2","12","0","1","3","1","0","8"
"L2398","GCodeFromImage","GrblPlotter.GCodeFromImage","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromImageMisc.cs","37","5","999","6","0.333333","17","0","0.348965","306","456","0","438","0.113188","0.122765","1108","0","95","3","109","103","4528","5641","0","2","0","0","0","0","2","117","0","11","1","117","0","0","0","107","0","3314","0","11","1","4","8","224","0","1109","4544","5658","0","5","0","5","126","0","20","4","126","3321","0","20","4","616","0","0","117","0","0","19","48","1","14","13","2","0","39"
"L3215","MyUserState","GrblPlotter.MyUserState","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\GraphicClasses.cs","44","5","48","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","0","0","4","2","0","5","4","0","0","5","5","0","2","0","2","4","0","4","2","4","0","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1734","Graphic","GrblPlotter.Graphic","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\GraphicClasses.cs","50","5","840","6","0.116279","29","0","0.0239553","3","37","0","4","0","0","734","0","30","1","0","0","3887","4709","0","0","0","0","0","0","0","116","0","42","0","116","0","0","0","243","0","2765","0","42","0","5","38","359","0","812","4528","5616","0","104","0","78","314","0","232","78","374","3158","0","288","104","1019","0","0","205","0","0","39","23","0","29","38","12","0","103"
"L5598","GraphicWorker","GrblPlotter.GraphicWorker","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\GraphicWorker.cs","28","5","165","6","0","1","0","0.512616","1","1","0","1","0.347826","0.336735","27","0","4","2","48","33","99","138","0","0","0","0","0","0","0","7","0","1","0","7","0","0","0","2","0","63","0","1","0","0","2","9","0","27","99","138","0","0","0","0","7","0","1","0","7","63","0","1","0","10","0","0","14","0","0","0","12","1","0","0","1","0","0"
"L5754","GCodeFromCsv","GrblPlotter.GCodeFromCsv","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\ImportFromFile\GCodeFromCsv.cs","55","5","291","6","0.25","5","0","0","0","0","0","0","0","0","17","0","5","1","0","0","212","237","0","1","0","0","0","0","1","4","0","3","1","4","0","0","0","27","0","125","0","3","1","1","3","31","0","17","212","237","0","1","0","1","4","0","3","1","4","125","0","3","1","37","0","0","8","0","0","1","0","0","1","1","1","0","5"
"L6208","GCodeFromGerber","GrblPlotter.GCodeFromGerber","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\ImportFromFile\GCodeFromGerber.cs","61","5","841","6","0.5","8","0","0","0","0","0","0","0","0","64","0","5","1","0","0","605","731","0","0","0","0","0","0","0","23","0","1","0","23","0","0","0","23","0","433","0","1","0","1","1","46","0","69","648","781","0","0","0","0","26","0","3","0","26","459","0","3","0","162","0","0","16","0","0","4","0","0","5","1","2","0","8"
"L6477","GCodeFromSvg","GrblPlotter.GCodeFromSvg","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\ImportFromFile\GCodeFromSVGText.cs","46","5","975","6","0","9","0","0.0115696","1","9","0","1","0.0333333","0.0347938","247","0","38","1","31","27","1938","2306","0","2","0","0","0","0","2","43","0","7","2","43","0","0","0","55","0","1411","0","7","2","0","8","98","0","292","2449","2922","0","2","0","2","73","0","30","2","73","1779","0","30","2","496","0","0","81","0","0","18","11","0","17","9","2","0","42"
"L6848","Gcode","GrblPlotter.Gcode","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\Graphic2GCodeMove.cs","28","5","242","6","0.0898876","10","0","0","0","0","0","0","0","0","171","0","11","3","0","0","1384","1647","0","21","0","0","0","0","21","102","0","88","21","102","0","0","0","102","0","1012","0","88","21","8","81","204","0","171","1384","1647","0","21","0","21","102","0","88","21","102","1012","0","88","21","473","0","0","69","0","0","20","0","1","12","12","1","0","43"
"L7017","XmlMarker","GrblPlotter.XmlMarker","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\XmlMarker.cs","40","5","785","6","0.111111","7","0","0.073543","1","24","0","3","0.120643","0.137825","43","0","8","1","90","90","630","720","0","0","0","0","0","0","0","53","0","44","0","53","0","0","0","40","0","390","0","44","0","5","40","93","0","44","656","746","0","22","0","22","97","0","88","22","97","390","0","88","22","214","0","0","50","0","0","4","23","0","4","2","2","0","19"
"L7544","AboutForm","GrblPlotter.AboutForm","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GUI\AboutForm.cs","36","5","83","6","0","5","0","0.150403","2","2","0","2","0","0","49","0","13","5","0","0","135","197","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","7","0","91","0","1","0","0","2","15","0","49","135","197","0","0","0","0","8","0","1","0","8","91","0","1","0","13","0","0","14","0","0","0","10","1","0","0","1","0","2"
"L7882","GCodeFromFont","GrblPlotter.GCodeFromFont","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromFontHershey.cs","71","5","196","6","0","4","0","0","0","0","0","0","0","0","64","0","3","2","0","0","684","772","0","16","0","0","0","0","16","46","0","36","16","46","0","0","0","19","0","363","0","36","16","0","37","65","0","64","704","788","0","24","0","24","65","0","43","24","65","373","0","43","24","171","0","0","31","0","0","5","0","1","5","2","3","0","20"
"L8280","GCodeFromHpgl","GrblPlotter.GCodeFromHpgl","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\ImportFromFile\GCodeFromHpgl.cs","71","5","633","6","0.2","7","0","0","0","0","0","0","0","0","52","0","5","1","0","0","496","563","0","1","0","0","0","0","1","27","0","4","1","27","0","0","0","29","0","328","0","4","1","1","4","56","0","52","496","563","0","1","0","1","27","0","4","1","27","328","0","4","1","132","0","0","10","0","0","2","0","0","2","1","1","0","6"
"L8580","Vectorize","GrblPlotter.Vectorize","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromImageOutline.cs","36","5","430","6","0.5","0","0","0.141414","1","16","0","2","0.156962","0.17971","83","0","15","1","62","62","346","395","0","0","0","0","0","0","0","12","0","1","0","12","0","0","0","0","0","255","0","1","0","1","1","12","0","83","346","395","0","0","0","0","12","0","1","0","12","255","0","1","0","86","0","0","17","0","0","4","11","0","3","0","1","0","2"
"L8787","ImportMath","GrblPlotter.ImportMath","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\ImportMath.cs","32","5","730","6","0.2","1","0","0","0","0","0","0","0","0","17","0","4","1","0","0","130","178","0","0","0","0","0","0","0","6","0","4","0","6","0","0","0","2","0","96","0","4","0","1","4","8","0","133","432","699","0","5","0","5","26","0","21","0","26","264","0","21","0","28","0","0","14","0","0","4","0","0","2","1","5","0","6"
"L5582","Graphic2GCode","GrblPlotter.Graphic2GCode","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\Graphic2GCode.cs","55","5","1151","6","0","19","0","0.0646273","1","14","0","2","0.0510483","0.0502857","154","0","25","1","56","44","876","1097","0","2","0","0","0","0","2","30","0","8","2","30","0","0","0","152","0","669","0","8","2","0","9","182","0","154","876","1097","0","2","0","2","30","0","8","2","30","669","0","8","2","251","0","0","51","0","0","10","16","0","8","11","1","0","15"
"L9795","MainForm","GrblPlotter.MainForm","L114","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GUI\MainFormExceptionHandling.cs","37","5","153","6","0.454545","90","0","0.246786","432","948","0","868","0","0","2377","0","294","7","0","0","11736","14534","0","0","0","0","0","0","0","413","0","10","0","413","0","0","0","601","0","8125","0","10","0","5","6","1014","0","2377","11736","14548","0","0","0","0","413","0","10","0","413","8125","0","10","0","2147","0","0","308","0","0","67","128","1","54","39","1","0","85"
