"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1626",".ctor","GrblPlotter.GCodeForBarcode.GCodeForBarcode()void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","48","9","53","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","2","3","0","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L1644","GCodeForBarcode_Load","GrblPlotter.GCodeForBarcode.GCodeForBarcode_Load(object, System.EventArgs)void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","55","9","60","10","0","0","0","0","0","0","0","0","0","0","0","6","6","2","0","0","0","2","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L1674","ComboBox1_SelectedIndexChanged","GrblPlotter.GCodeForBarcode.ComboBox1_SelectedIndexChanged(object, System.EventArgs)void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","62","9","65","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1681","BtnCheckBarcode1D_Click","GrblPlotter.GCodeForBarcode.BtnCheckBarcode1D_Click(object, System.EventArgs)void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","67","9","83","10","0","0","0","0","0","0","0","4","0","0","0","13","17","2","0","0","0","3","7","2","0","4","13","17","7","0","0","0","0","0","0","0","0","0","0","0"
"L1711","BtnGenerateBarcodeClick","GrblPlotter.GCodeForBarcode.BtnGenerateBarcodeClick(object, System.EventArgs)void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","84","9","101","10","0","0","0","0","0","0","0","4","0","0","0","14","18","2","0","0","0","6","8","2","0","4","14","18","8","0","0","0","0","0","0","0","0","0","0","0"
"L1729","GenerateGCode1D","GrblPlotter.GCodeForBarcode.GenerateGCode1D(string, string, double)void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","103","9","180","10","0","0","0","0","0","0","0","10","0","0","0","68","78","11","0","0","0","17","45","3","0","10","68","78","45","0","0","3","0","0","1","0","1","1","0","1"
"L1814","BtnCheckBarcode2D_Click","GrblPlotter.GCodeForBarcode.BtnCheckBarcode2D_Click(object, System.EventArgs)void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","182","9","186","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L1819","BtnGenerateQRCode_Click","GrblPlotter.GCodeForBarcode.BtnGenerateQRCode_Click(object, System.EventArgs)void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","188","9","193","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","2","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L1817","GenerateQR","GrblPlotter.GCodeForBarcode.GenerateQR()void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","194","9","234","10","0","0","0","0","0","0","0","6","0","0","0","34","41","6","0","0","0","2","25","0","0","6","34","41","25","0","0","0","0","0","0","0","0","0","0","0"
"L1822","GenerateGCode2D","GrblPlotter.GCodeForBarcode.GenerateGCode2D()void","L1594","L103","D:\DataCollection\repos\svenhb_GRBL-Plotter\GRBL-Plotter\GCodeCreation\CreateFromForm\GCodeFromBarcode.cs","236","9","286","10","0","0","0","0","0","0","0","2","0","0","0","46","51","6","0","0","0","15","37","0","0","2","46","51","37","0","0","1","0","0","0","0","0","1","0","0"
