"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L716","CPKREDIRConfig","HedgeModManager.CPKREDIRConfig","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","13","5","92","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","58","80","0","14","0","0","0","0","14","31","0","30","14","31","0","0","0","3","0","8","0","30","14","0","31","34","0","0","58","80","0","14","0","14","31","0","30","14","31","8","0","30","14","34","0","0","9","0","0","0","0","0","1","0","0","1","0","7"
"L818","RegistryConfig","HedgeModManager.RegistryConfig","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\RegistryConfig.cs","7","5","77","6","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","62","71","0","7","0","0","0","0","7","16","0","15","6","16","0","0","0","0","0","35","0","15","6","0","16","16","0","1","62","71","0","7","0","7","16","0","15","6","16","35","0","15","6","26","0","0","4","0","0","0","0","0","0","0","1","1","0","2"
"L498","CryptoProvider","HedgeModManager.CryptoProvider","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\CryptoProvider.cs","11","5","94","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","71","84","0","0","0","0","0","0","0","6","0","5","0","6","0","0","0","0","0","31","0","5","0","0","6","6","0","0","71","84","0","0","0","0","6","0","5","0","6","31","0","5","0","6","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L1671","DependsHandler","HedgeModManager.DependsHandler","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\DependsHandler.cs","21","5","114","6","0","5","0","0","0","0","0","0","0","0","2","0","0","1","0","0","82","67","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","3","0","30","0","2","0","0","3","6","0","2","82","94","0","0","0","0","3","0","2","0","3","30","0","2","0","14","0","0","1","0","0","1","0","0","0","0","0","1","0","0"
"L1748","DummyLogger","HedgeModManager.DummyLogger","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\DummyLogger.cs","9","5","22","6","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","10","14","0","1","0","0","0","0","1","3","0","3","0","5","1","0","0","0","1","0","0","5","0","0","4","3","0","0","10","14","0","1","0","1","3","0","3","0","5","0","0","5","0","3","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L1761","Epic","HedgeModManager.Epic","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Epic.cs","10","5","150","6","0","8","0","0","0","0","0","0","0","0","3","0","0","1","0","0","85","123","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","6","0","53","0","3","0","0","4","9","0","3","109","141","0","11","0","11","25","0","25","11","25","53","0","25","11","29","0","6","11","2","0","2","8","0","0","2","0","4","0","5"
"L1987","FolderBrowserDialog","HedgeModManager.FolderBrowserDialog","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\FolderBrowserDialog.cs","10","5","34","6","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","22","25","0","2","0","0","0","0","2","6","0","4","2","6","0","0","0","5","0","10","0","4","2","0","5","11","0","0","22","25","0","2","0","2","6","0","4","2","6","10","0","4","2","7","0","0","1","0","0","1","0","0","0","0","0","1","0","0"
"L1883","Games","HedgeModManager.Games","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Game.cs","15","5","162","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","138","148","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","8","0","1","0","0","2","1","0","0","138","148","0","0","0","0","1","0","1","0","1","8","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L2081","EmbeddedLoaders","HedgeModManager.EmbeddedLoaders","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Game.cs","164","5","193","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","28","22","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","11","0","0","0","0","1","3","0","0","28","30","0","0","0","0","1","0","0","0","1","11","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L2059","Game","HedgeModManager.Game","L125","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Game.cs","195","5","213","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","18","19","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","18","19","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
