"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L720","get_Enabled","HedgeModManager.CPKREDIRConfig.Enabled.getbool","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","17","31","17","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L723","set_Enabled","HedgeModManager.CPKREDIRConfig.Enabled.setvoid","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","17","36","17","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L725","get_PlaceTocAtEnd","HedgeModManager.CPKREDIRConfig.PlaceTocAtEnd.getbool","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","20","37","20","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L728","set_PlaceTocAtEnd","HedgeModManager.CPKREDIRConfig.PlaceTocAtEnd.setvoid","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","20","42","20","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L730","get_HandleCpksWithoutExtFiles","HedgeModManager.CPKREDIRConfig.HandleCpksWithoutExtFiles.getbool","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","23","49","23","53","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L733","set_HandleCpksWithoutExtFiles","HedgeModManager.CPKREDIRConfig.HandleCpksWithoutExtFiles.setvoid","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","23","54","23","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L735","get_LogFile","HedgeModManager.CPKREDIRConfig.LogFile.getstring","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","26","33","26","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L738","set_LogFile","HedgeModManager.CPKREDIRConfig.LogFile.setvoid","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","26","38","26","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L740","get_ReadBlockSizeKB","HedgeModManager.CPKREDIRConfig.ReadBlockSizeKB.getint","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","29","38","29","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L743","set_ReadBlockSizeKB","HedgeModManager.CPKREDIRConfig.ReadBlockSizeKB.setvoid","L716","L103","D:\DataCollection\repos\thesupersonic16_HedgeModManager\HedgeModManager\Config\CPKREDIRConfig.cs","29","43","29","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
