"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L104","ThisAssembly","ThisAssembly","L100","L103, L4696, L8216","D:\DataCollection\repos\veldrid_veldrid\bin\obj\Veldrid.OpenGLBindings\Debug\netstandard2.0\Veldrid.OpenGLBindings.Version.cs","17","1","32","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","39","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L27266","Program","Program","L100","L26959","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.Tests\Program.cs","4","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","15","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","7","0","0","0","0","1","1","0","0","15","15","0","0","0","0","1","0","0","0","1","7","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4740","HashHelper","Veldrid.HashHelper","L139","L4696, L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\HashHelper.cs","3","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","61","72","0","0","0","0","0","0","0","10","0","10","0","10","0","0","0","0","0","16","0","10","0","0","11","10","0","0","61","72","0","0","0","0","10","0","10","0","10","16","0","10","0","15","0","0","7","0","0","4","0","1","0","0","1","0","5"
"L11166","BackendInfoD3D11","Veldrid.BackendInfoD3D11","L139","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\BackendInfoD3D11.cs","12","5","44","6","1","2","0","0","0","0","0","0","0","0","11","0","11","1","0","0","13","33","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","1","0","1","0","2","0","2","0","11","13","33","0","0","0","0","2","0","1","0","2","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11181","BackendInfoMetal","Veldrid.BackendInfoMetal","L139","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\BackendInfoMetal.cs","14","5","28","6","1","2","0","0","0","0","0","0","0","0","5","0","5","0","0","0","12","15","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","2","0","0","0","1","0","2","0","5","12","15","0","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11198","BackendInfoOpenGL","Veldrid.BackendInfoOpenGL","L139","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\BackendInfoOpenGL.cs","15","5","93","6","1","2","0","0","0","0","0","0","0","0","20","0","20","4","0","0","17","79","0","0","0","0","0","0","0","5","0","4","0","5","0","0","0","0","0","2","0","4","0","5","0","5","0","20","17","79","0","0","0","0","5","0","4","0","5","2","0","4","0","5","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L11227","BackendInfoVulkan","Veldrid.BackendInfoVulkan","L139","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\BackendInfoVulkan.cs","14","5","147","6","1","8","0","0","0","0","0","0","0","0","22","0","22","3","0","0","61","120","0","0","0","0","0","0","0","5","0","3","0","5","0","0","0","8","0","19","0","3","0","4","0","13","0","22","75","134","0","0","0","0","7","0","5","0","7","22","0","5","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L11431","BlendHelper","Veldrid.BlendHelper","L139","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\BlendHelper.cs","3","5","11","6","0.5","1","0","0","0","0","0","0","0","0","5","0","5","1","0","0","4","9","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","1","1","0","5","4","9","0","0","0","0","1","0","1","0","1","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11515","DeviceBuffer","Veldrid.DeviceBuffer","L139","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\Buffer.cs","10","5","37","6","1","4","0","0","0","0","0","0","0","0","21","1","21","0","0","0","8","28","0","5","0","0","0","0","4","6","0","6","1","8","3","4","4","0","3","0","0","8","2","7","0","6","0","21","8","28","0","5","0","4","6","0","6","1","8","0","0","8","2","6","0","0","1","0","0","0","0","0","0","0","0","1","0"
"L11603","CommandList","Veldrid.CommandList","L139","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\CommandList.cs","24","5","1237","6","1","26","0","0","0","0","0","0","0","0","442","1","442","18","0","0","627","1214","0","3","0","0","0","0","2","81","0","52","1","83","1","4","4","31","1","208","0","54","2","53","0","112","0","442","627","1214","0","3","0","2","81","0","52","1","83","208","0","54","2","167","0","0","21","0","0","7","0","1","5","4","0","0","11"
