"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L27268","Main","Program.Main(string[])int","L27266","L26959","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.Tests\Program.cs","6","5","17","6","0","0","0","0","0","0","0","0","0","0","0","12","12","2","0","0","0","0","7","1","0","0","12","12","7","0","0","0","0","0","0","0","0","0","0","0"
"L4741","Combine","Veldrid.HashHelper.Combine(int, int)int","L4740","L4696, L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\HashHelper.cs","5","9","9","10","0","0","0","0","0","0","0","0","0","0","0","10","10","1","0","0","0","0","2","2","0","0","10","10","2","0","0","0","0","0","0","0","0","0","0","0"
"L15660","Combine","Veldrid.HashHelper.Combine(int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","13","9","16","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","3","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L15664","Combine","Veldrid.HashHelper.Combine(int, int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","18","9","21","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","4","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L15669","Combine","Veldrid.HashHelper.Combine(int, int, int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","23","9","26","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","5","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L15675","Combine","Veldrid.HashHelper.Combine(int, int, int, int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","28","9","31","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","6","0","0","4","4","1","0","0","1","0","0","0","0","0","0","0","1"
"L15682","Combine","Veldrid.HashHelper.Combine(int, int, int, int, int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","33","9","36","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","7","0","0","4","4","1","0","0","1","0","0","1","0","0","0","0","1"
"L15690","Combine","Veldrid.HashHelper.Combine(int, int, int, int, int, int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","38","9","41","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","8","0","0","4","4","1","0","0","1","0","0","1","0","0","0","0","1"
"L15699","Combine","Veldrid.HashHelper.Combine(int, int, int, int, int, int, int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","43","9","46","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","9","0","0","4","4","1","0","0","1","0","0","1","0","0","0","0","1"
"L15709","Combine","Veldrid.HashHelper.Combine(int, int, int, int, int, int, int, int, int, int)int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","48","9","51","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","10","0","0","4","4","1","0","0","1","0","0","1","0","0","0","0","1"
"L11471","Array","Veldrid.HashHelper.Array<T>(T[])int","L4740","L10894","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid\HashHelper.cs","53","9","67","10","0","0","0","0","0","0","0","0","0","0","0","13","15","6","0","0","0","0","6","1","0","0","13","15","6","0","0","0","0","0","0","0","0","0","0","0"
"L4762","get_KeyEvents","Veldrid.InputSnapshot.KeyEvents.getSystem.Collections.Generic.IReadOnlyList<Veldrid.KeyEvent>","L4761","L4696","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\InputSnapshot.cs","8","45","8","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4770","get_MouseEvents","Veldrid.InputSnapshot.MouseEvents.getSystem.Collections.Generic.IReadOnlyList<Veldrid.MouseEvent>","L4761","L4696","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\InputSnapshot.cs","9","49","9","53","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4777","get_KeyCharPresses","Veldrid.InputSnapshot.KeyCharPresses.getSystem.Collections.Generic.IReadOnlyList<char>","L4761","L4696","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\InputSnapshot.cs","10","46","10","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4784","IsMouseDown","Veldrid.InputSnapshot.IsMouseDown(Veldrid.MouseButton)bool","L4761","L4696","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\InputSnapshot.cs","11","9","11","46","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4789","get_MousePosition","Veldrid.InputSnapshot.MousePosition.getSystem.Numerics.Vector2","L4761","L4696","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\InputSnapshot.cs","12","33","12","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4793","get_WheelDelta","Veldrid.InputSnapshot.WheelDelta.getfloat","L4761","L4696","D:\DataCollection\repos\veldrid_veldrid\src\Veldrid.SDL2\InputSnapshot.cs","13","28","13","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
