"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L211","Command","Robots.Command","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Commands\Command.cs","3","1","53","2","0","5","0","0","0","0","0","0","0","0","0","1","0","2","0","0","38","51","0","3","0","0","0","0","2","9","0","3","1","13","1","9","9","5","1","19","0","5","2","0","4","14","0","0","38","51","0","3","0","2","9","0","3","1","13","19","0","5","2","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L704","File3dmCleaner","Robots.File3dmCleaner","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\CleanFile3dm.cs","8","1","153","2","0.5","1","0","0","0","0","0","0","0","0","8","0","3","1","0","0","78","141","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","44","0","1","0","1","1","1","0","8","78","146","0","0","0","0","1","0","1","0","1","44","0","1","0","16","0","0","4","0","0","1","0","0","1","0","1","0","2"
"L707","FileIO","Robots.FileIO","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\FileIO.cs","10","1","463","2","0.142857","26","0","0","0","0","0","0","0","0","6","0","6","5","0","0","334","447","0","1","0","0","0","0","1","30","0","6","0","30","0","0","0","27","0","189","0","6","0","1","6","57","0","6","334","454","0","1","0","1","30","0","6","0","30","189","0","6","0","79","0","0","5","0","0","2","0","1","0","2","1","0","1"
"L1032","FileDto","Robots.FileDto","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\OnlineLibrary.cs","6","1","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","0","0","4","2","0","5","4","0","0","5","5","0","2","0","2","4","0","4","2","4","0","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1043","LibraryItem","Robots.LibraryItem","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\OnlineLibrary.cs","12","1","27","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","16","0","4","0","0","0","0","4","8","0","3","3","8","0","0","0","0","0","1","0","3","3","0","4","8","0","0","14","16","0","4","0","4","8","0","3","3","8","1","0","3","3","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1065","OnlineLibrary","Robots.OnlineLibrary","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\IO\OnlineLibrary.cs","29","1","190","2","0","4","0","0","0","0","0","0","0","0","0","0","0","6","0","0","128","162","0","1","0","0","0","0","1","12","0","5","0","12","0","0","0","4","0","73","0","5","0","0","6","16","0","0","128","162","0","1","0","1","12","0","5","0","12","73","0","5","0","27","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1125","CustomKinematics","Robots.CustomKinematics","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\CustomKinematics.cs","5","1","30","2","0","6","0","0","0","0","0","0","0","0","0","1","0","2","0","0","22","26","0","0","0","0","0","0","0","3","0","0","0","10","1","0","0","6","1","6","0","0","0","0","1","9","0","0","22","26","0","0","0","0","3","0","0","0","10","6","0","0","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1157","FrankaAnalyticalKinematics","Robots.FrankaAnalyticalKinematics","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaAnalyticalKinematics.cs","7","1","220","2","0","7","0","0","0","0","0","0","0","0","10","2","3","2","0","0","154","214","0","0","0","0","0","0","0","3","0","1","0","17","2","0","0","4","1","120","0","1","0","0","2","7","0","10","154","214","0","0","0","0","3","0","1","0","17","120","0","1","0","20","0","0","8","0","0","2","0","1","1","0","1","0","5"
"L1200","FrankaKdlKinematics","Robots.FrankaKdlKinematics","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaKdlKinematics.cs","7","1","122","6","0","6","0","0","0","0","0","0","0","0","0","2","0","1","0","0","92","111","0","0","0","0","0","0","0","4","0","1","0","18","2","0","0","5","1","64","0","1","0","0","2","9","0","0","92","116","0","0","0","0","4","0","1","0","18","64","0","1","0","13","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1289","FrankaNumericalKinematics","Robots.FrankaNumericalKinematics","L104","L103","D:\DataCollection\repos\visose_Robots\src\Robots\Kinematics\FrankaNumericalKinematics.cs","12","1","127","10","0.5","5","0","0","0","0","0","0","0","0","5","2","3","1","0","0","90","116","0","0","0","0","0","0","0","2","0","1","0","16","2","0","0","2","1","49","0","1","0","1","1","4","0","5","90","116","0","0","0","0","2","0","1","0","16","49","0","1","0","11","0","0","1","0","0","1","0","0","0","0","1","0","0"
